seed,update,training_episodes,environment_steps,reward_gradient_norm,unscaled_barrier_gradient_norm,unscaled_entropy_gradient_norm,unscaled_barrier_to_reward_ratio,unscaled_entropy_to_reward_ratio
221,0,8,4000,332.5725402832031,0.12653231620788574,0.11920604109764099,0.00038046531472543335,0.00035843621062680263
221,1,8,4000,226.41116333007812,0.11930375546216965,0.11350955814123154,0.0005269340685655161,0.0005013425860797743
221,2,8,4000,175.31471252441406,0.12175349146127701,0.11748357862234116,0.0006944853042172476,0.0006701296025339605
221,3,8,4000,204.73922729492188,0.11411507427692413,0.11067552119493484,0.0005573679054309615,0.0005405682274824133
221,4,8,4000,244.03863525390625,0.11354546248912811,0.11034256219863892,0.00046527658364828783,0.0004521520212725116
222,0,8,4000,222.7584686279297,0.14096735417842865,0.12389936298131943,0.0006328260157591783,0.0005562049503413797
222,1,8,4000,420.0726623535156,0.15380027890205383,0.13286682963371277,0.00036612779808228017,0.0003162948735804607
222,2,8,4000,244.17990112304688,0.16424596309661865,0.1437825858592987,0.0006726432533603657,0.0005888387422470285
222,3,8,4000,250.8092498779297,0.1557522416114807,0.134070485830307,0.0006209987936540867,0.0005345516000528684
222,4,8,4000,315.8673400878906,0.15337629616260529,0.13290321826934814,0.0004855718736857317,0.0004207564423481313
223,0,8,4000,178.8939666748047,0.13058744370937347,0.11967246234416962,0.0007299712010229875,0.0006689575091244495
223,1,8,4000,115.3814468383789,0.12838704884052277,0.11771301925182343,0.0011127183126795205,0.0010202075158297372
223,2,8,4000,159.35890197753906,0.12653104960918427,0.11636357009410858,0.0007940005110415373,0.0007301981166418272
223,3,8,4000,295.7571716308594,0.12728779017925262,0.11713307350873947,0.00043037938683739897,0.0003960447446222392
223,4,8,4000,116.48310852050781,0.1234830766916275,0.11402421444654465,0.0010600942768443315,0.0009788905524140416
224,0,8,4000,178.59210205078125,0.10184302181005478,0.09797855466604233,0.0005702549028797283,0.0005486163919957832
224,1,8,4000,297.60919189453125,0.11128856986761093,0.10690716654062271,0.0003739419779314146,0.00035921997523016423
224,2,8,4000,219.7595977783203,0.12489517778158188,0.12052925676107407,0.0005683263850326496,0.0005484595802848912
224,3,8,4000,149.07040405273438,0.13030996918678284,0.126618430018425,0.0008741505063653349,0.0008493867768254865
224,4,8,4000,587.6676635742188,0.12033721059560776,0.11980849504470825,0.0002047708561395261,0.00020387117153261095
225,0,8,4000,526.9132690429688,0.1880333423614502,0.17898911237716675,0.0003568582410212874,0.00033969368944202947
225,1,8,4000,443.2257385253906,0.172658309340477,0.16120687127113342,0.0003895493748059626,0.000363712792960688
225,2,8,4000,324.716796875,0.1782808005809784,0.16544124484062195,0.0005490347351806619,0.0005094939542173074
225,3,8,4000,427.29864501953125,0.1706109493970871,0.1575523316860199,0.00039927800236597686,0.0003687171338416446
225,4,8,4000,307.25677490234375,0.1660943478345871,0.15348802506923676,0.0005405717998809865,0.0004995431756322388
