update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
0,0,235.48934936523438,0.17163823544979095,93.78544616699219,0.6115729808807373,True,546.4135158976487
1,3826,271.3576965332031,0.16354668140411377,89.36412811279297,0.04981546103954315,True,546.4135158976487
2,7679,303.3816833496094,0.15782292187213898,86.236572265625,0.37626785039901733,True,546.4135158976487
3,11576,168.24942016601562,0.14808692038059235,80.91671752929688,-0.44330546259880066,True,546.4135158976487
4,15318,206.96034240722656,0.14255204796791077,77.89236450195312,0.021671274676918983,True,546.4135158976487
5,19311,266.5919494628906,0.1362076848745346,74.42572784423828,-0.029397329315543175,True,546.4135158976487
6,23311,259.18267822265625,0.13118179142475128,71.67950439453125,0.0682988315820694,True,546.4135158976487
7,26968,206.5182647705078,0.1257055401802063,68.68719482421875,0.5388473272323608,True,546.4135158976487
8,30786,233.15672302246094,0.13270851969718933,72.51374053955078,-0.3635459244251251,True,546.4135158976487
9,34371,172.20187377929688,0.1262183040380478,68.96736907958984,0.12869589030742645,True,546.4135158976487
10,38106,210.781982421875,0.1161070317029953,63.44244384765625,-0.06811129301786423,True,546.4135158976487
11,41911,245.74517822265625,0.11363629996776581,62.09239959716797,-0.5451648831367493,True,546.4135158976487
12,45506,265.7005920410156,0.11775776743888855,64.34442138671875,-0.40803638100624084,True,546.4135158976487
13,49428,394.5249328613281,0.11133463680744171,60.83474349975586,-0.6728171110153198,True,546.4135158976487
14,53340,210.173583984375,0.09814955294132233,53.63024139404297,0.3236886262893677,True,546.4135158976487
15,57098,179.0892333984375,0.10579497367143631,57.80781936645508,-0.15131187438964844,True,546.4135158976487
16,60548,356.00543212890625,0.12160514295101166,66.44668579101562,-0.9274938702583313,True,546.4135158976487
17,63909,392.1200256347656,0.11394194513559341,62.25940704345703,-0.5827324390411377,True,546.4135158976487
18,67505,475.0468444824219,0.10268733650445938,56.1097412109375,-0.4766000807285309,True,546.4135158976487
19,71217,306.5877380371094,0.13481058180332184,73.66232299804688,-0.8422762751579285,True,546.4135158976487
20,74671,203.3796844482422,0.13385748863220215,73.14151763916016,-0.17056626081466675,True,546.4135158976487
21,78348,200.67617797851562,0.14798492193222046,80.86096954345703,-0.3139575123786926,True,546.4135158976487
22,81402,157.73069763183594,0.13421759009361267,73.33831024169922,-0.4886583983898163,True,546.4135158976487
23,84401,353.91015625,0.1450214833021164,79.2417221069336,-0.47295552492141724,True,546.4135158976487
24,87540,214.22860717773438,0.13944095373153687,76.19242095947266,-0.3714768588542938,True,546.4135158976487
25,90387,133.02203369140625,0.15662813186645508,85.58374786376953,-0.21366605162620544,True,546.4135158976487
26,93325,521.9605102539062,0.15014797449111938,82.04287719726562,-0.9269996285438538,True,546.4135158976487
27,95884,401.0999755859375,0.1755124181509018,95.90233612060547,-0.9413138031959534,True,546.4135158976487
28,98828,255.60903930664062,0.17316938936710358,94.62210083007812,-0.38515999913215637,True,546.4135158976487
29,101655,424.4577331542969,0.16645769774913788,90.95472717285156,-0.9591739773750305,True,546.4135158976487
30,104299,376.06341552734375,0.19595083594322205,107.07017517089844,-0.8925340175628662,True,546.4135158976487
31,106823,352.6225280761719,0.2124851942062378,116.10478210449219,-0.49481502175331116,True,546.4135158976487
32,109388,333.5558776855469,0.21991801261901855,120.16618347167969,-0.8827931880950928,True,546.4135158976487
33,111563,255.80638122558594,0.2696540951728821,147.3426971435547,-0.5380750298500061,True,546.4135158976487
34,113816,224.78834533691406,0.22338970005512238,122.06317138671875,-0.9394820928573608,True,546.4135158976487
35,115948,175.8531494140625,0.24310807883739471,132.83750915527344,-0.03347024694085121,True,546.4135158976487
36,118263,231.13778686523438,0.2548339366912842,139.24468994140625,-0.26917940378189087,True,546.4135158976487
37,120800,224.2150115966797,0.2692180275917053,147.10433959960938,-0.8311643600463867,True,546.4135158976487
38,122788,435.62030029296875,0.276094526052475,150.8617401123047,-0.8974176049232483,True,546.4135158976487
39,125150,453.6115417480469,0.31095486879348755,169.9099884033203,-0.8288419246673584,True,546.4135158976487
40,127105,273.3075866699219,0.27108702063560486,148.12554931640625,-0.8811531662940979,True,546.4135158976487
41,129118,349.39349365234375,0.2656971514225006,145.18048095703125,-0.8309166431427002,True,546.4135158976487
42,131111,209.9600067138672,0.2993927299976349,163.59222412109375,-0.09252752363681793,True,546.4135158976487
43,132760,189.46714782714844,0.3228185772895813,176.3924560546875,-0.727513313293457,True,546.4135158976487
44,134704,152.19090270996094,0.28413447737693787,155.25491333007812,-0.46720415353775024,True,546.4135158976487
45,136595,184.0638427734375,0.31787243485450745,173.68983459472656,-0.1467253565788269,True,546.4135158976487
46,138003,255.4175567626953,0.3153296709060669,172.30043029785156,-0.795099675655365,True,546.4135158976487
47,139765,172.2562255859375,0.32604050636291504,178.15296936035156,0.2371983677148819,True,546.4135158976487
48,141491,146.558837890625,0.3436836004257202,187.79335021972656,0.2992958724498749,True,546.4135158976487
49,143091,258.3352966308594,0.3284011781215668,179.44285583496094,-0.6391207575798035,True,546.4135158976487
50,144798,253.7947235107422,0.3068818151950836,167.68438720703125,-0.8297139406204224,True,546.4135158976487
51,146580,364.1340026855469,0.35277509689331055,192.7611541748047,-0.8340299725532532,True,546.4135158976487
52,148405,176.59690856933594,0.3896968364715576,212.93565368652344,0.25791555643081665,True,546.4135158976487
53,150214,309.110107421875,0.29002150893211365,158.47169494628906,-0.7201852798461914,True,546.4135158976487
54,151943,199.9454345703125,0.31236720085144043,170.68162536621094,0.28769171237945557,True,546.4135158976487
