method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
sampled_npg_logbarrier_fixed,uniform,4,91002,True,0,0.7025453287233059,0.7791746941474588,0.8149477119281808,False,8,0.016
sampled_npg_logbarrier_fixed,uniform,4,91003,True,0,0.6738976222906907,0.7682860419049677,0.7788379217284587,False,18,0.0245
sampled_npg_logbarrier_fixed,uniform,4,91004,True,0,0.6997918475063416,0.7677607824715379,0.8173151532835715,False,5,0.00825
sampled_npg_logbarrier_fixed,uniform,4,91005,True,0,0.7152721048145473,0.8261323193318755,0.7935790558591554,False,6,0.01225
sampled_npg_logbarrier_fixed,uniform,4,91006,True,0,0.7165189228987044,0.7794221542838882,0.8264231029251442,False,4,0.0055
sampled_npg_logbarrier_fixed,uniform,4,91007,True,0,0.7766194172989077,0.8513657144664537,0.8056566055491374,False,12,0.01725
sampled_npg_logbarrier_fixed,uniform,4,91008,True,0,0.7223958763933033,0.7925293846981045,0.803615997889755,False,9,0.034
sampled_npg_logbarrier_fixed,uniform,4,91009,False,1,0.29999999999999993,0.3333333333333333,0.3333333333333333,False,,0.0
sampled_npg_logbarrier_fixed,uniform,4,91010,True,0,0.7281216173645032,0.7763644057717107,0.8424391151811843,False,10,0.02
sampled_npg_logbarrier_fixed,uniform,4,91011,True,0,0.6238341436426311,0.6463467465576558,0.7736122181606863,False,4,0.01525
sampled_npg_logbarrier_fixed,uniform,4,91012,True,0,0.7260714219675277,0.7924896783905421,0.8288098269986532,False,17,0.01475
sampled_npg_logbarrier_fixed,uniform,4,91013,True,0,0.6294198832187605,0.6742300239148342,0.7733053498821109,False,13,0.034
sampled_npg_logbarrier_fixed,uniform,4,91014,True,0,0.6773308812477654,0.6865990859593052,0.8233015050016308,False,37,0.0125
sampled_npg_logbarrier_fixed,uniform,4,91015,True,0,0.6729279005484603,0.7352815425068403,0.7888356267955248,False,28,0.02275
sampled_npg_logbarrier_fixed,uniform,4,91016,True,0,0.7216133811698466,0.7928568386037782,0.8273272348108089,False,13,0.03525
sampled_npg_logbarrier_fixed,uniform,4,91017,True,0,0.6673230552940584,0.7122089201975755,0.7958372295979772,False,6,0.04125
