comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,20,-0.01112136275340583,-0.008759373203288977,-0.01776413489986873,-0.004478590606942929,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,near_optimal_basin,20,-0.35,0.0,-0.5790277568787783,-0.1209722431212217,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,exact_mcnemar_p,20,0.015625,,,,7,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_return,20,0.48426102291355494,0.4842909946916542,0.4841801828059084,0.48434186302120147,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_q,20,0.9857917704378687,0.9858276093121293,0.9856875545104212,0.9858959863653162,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_pi1_good,20,0.9732390960329994,0.9732792738457697,0.9731827633846797,0.9732954286813191,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,20,-0.8965249999999999,-0.89575,-0.8988243514922453,-0.8942256485077545,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,near_optimal_basin,20,1.0,1.0,1.0,1.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,20,1.9073486328125e-06,,,,0,20
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_return,20,0.47442563938883353,0.49001918072508743,0.4562743840381704,0.4925768947394967,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_q,20,0.9645061085436264,0.9780240116756768,0.9452008153770204,0.9838114017102324,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_pi1_good,20,0.9766933959188595,0.9829839619358611,0.9697263185949792,0.9836604732427399,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,zero_s1_batch_fraction,20,-0.7439832239744101,-0.7921153016443938,-0.8153017934573168,-0.6726646544915034,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,near_optimal_basin,20,0.9,1.0,0.7559482051653257,1.0440517948346744,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,exact_mcnemar_p,20,7.62939453125e-06,,,,0,18
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_return,20,0.0019065269454188016,0.003496233223428291,0.00012016197051010775,0.0036928919203274954,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_q,20,-0.0006272803840368772,-0.0007314688437431864,-0.0008601349644996717,-0.0003944258035740827,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_pi1_good,20,-0.0011773370931579103,-0.000906339471280793,-0.0017372511605357884,-0.0006174230257800322,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,20,-0.16033805777555776,-0.12226785714285715,-0.2325142032042915,-0.08816191234682404,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,near_optimal_basin,20,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,20,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_return,20,-0.007928856579302535,0.00694783686460293,-0.025918626052487834,0.010060912893882765,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_q,20,-0.021912942278279317,-0.008327628969436673,-0.0411683203224206,-0.0026575642341380365,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_pi1_good,20,0.002276962792702475,0.009277377378729967,-0.004829316917945055,0.009383242503350006,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,zero_s1_batch_fraction,20,-0.0077962817499678625,-0.00775840458513662,-0.008495785103734325,-0.0070967783962014004,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,near_optimal_basin,20,-0.1,0.0,-0.24405179483467437,0.04405179483467436,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,exact_mcnemar_p,20,0.5,,,,2,0
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,final_return,20,-0.3601824171246567,-0.3605581099156456,-0.3617245967451201,-0.3586402375041933,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,final_q,20,-0.364203460091736,-0.36490105694840724,-0.3676186762953602,-0.36078824388811176,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,final_pi1_good,20,-0.22276272112743256,-0.2229797888037891,-0.22346324394271108,-0.22206219831215404,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,zero_s1_batch_fraction,20,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,near_optimal_basin,20,-1.0,-1.0,-1.0,-1.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,exact_mcnemar_p,20,1.9073486328125e-06,,,,20,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,final_return,20,-0.33531797624082316,-0.3427064248381561,-0.35330187124373624,-0.31733408123791007,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,final_q,20,-0.31535468607515826,-0.3232995274546506,-0.34199931875289474,-0.2887100533974218,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,final_pi1_good,20,-0.2126437691319031,-0.21145903227420387,-0.2202272927130642,-0.205060245550742,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,zero_s1_batch_fraction,20,-0.0003662182500321368,-0.00036610998057443544,-0.0004248129244241912,-0.00030762357564008235,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,near_optimal_basin,20,-0.9,-1.0,-1.0440517948346744,-0.7559482051653257,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,exact_mcnemar_p,20,7.62939453125e-06,,,,18,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,128,final_return,20,0.48428726205714545,0.48427893584463344,0.4842502677772456,0.4843242563370453,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,128,final_q,20,0.9858414954076155,0.9858563402289704,0.9857894019555663,0.9858935888596646,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,128,final_pi1_good,20,0.973238776094829,0.973250263097979,0.9732044440413697,0.9732731081482883,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,128,zero_s1_batch_fraction,20,-0.6964875,-0.6985,-0.7004707765113517,-0.6925042234886484,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,128,near_optimal_basin,20,1.0,1.0,1.0,1.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,128,exact_mcnemar_p,20,1.9073486328125e-06,,,,0,20
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,128,final_return,20,0.4849455438112721,0.4841944781221894,0.4783988505530725,0.49149223706947165,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,128,final_q,20,0.9646217413222008,0.965493316419783,0.9556439800137794,0.9735995026306222,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,128,final_pi1_good,20,0.9788371802330522,0.9778984744917352,0.9770765045782769,0.9805978558878276,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,128,zero_s1_batch_fraction,20,-0.4977942904309889,-0.4664202398554296,-0.5520606921564882,-0.4435278887054896,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,128,near_optimal_basin,20,1.0,1.0,1.0,1.0,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,128,exact_mcnemar_p,20,1.9073486328125e-06,,,,0,20
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,128,final_return,20,-0.004356958863860533,-0.004106794588237733,-0.005146741513756076,-0.00356717621396499,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,128,final_q,20,0.001228724116066427,0.0012223629676753759,0.0008804920154268829,0.001576956216705971,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,128,final_pi1_good,20,-0.00026707427591588195,-0.0010413749423787613,-0.001025689051120097,0.0004915404992883333,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,128,zero_s1_batch_fraction,20,-0.19930676937441638,-0.21633333333333332,-0.25287032002812393,-0.1457432187207088,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,128,near_optimal_basin,20,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,128,exact_mcnemar_p,20,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,final_return,20,-0.0036986771097338444,-0.0038524830353171557,-0.010111042355607489,0.0027136881361398005,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,final_q,20,-0.019991029969348206,-0.018954009156766816,-0.028939738522157782,-0.011042321416538632,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,final_pi1_good,20,0.005331329862307654,0.004984358530921829,0.003770132627405819,0.0068925270972094894,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,zero_s1_batch_fraction,20,-0.0006135598054054475,-0.000625,-0.0008291946337958521,-0.00039792497701504295,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,near_optimal_basin,20,0.0,0.0,0.0,0.0,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,exact_mcnemar_p,20,1.0,,,,0,0
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,final_return,20,-0.36111187217703195,-0.3609521171653153,-0.36184822833947294,-0.36037551601459095,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,final_q,20,-0.36461480956398307,-0.364304405922776,-0.3659750870524562,-0.36325453207550995,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,final_pi1_good,20,-0.22422764494292108,-0.22413083390023703,-0.2248374941174174,-0.22361779576842475,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,zero_s1_batch_fraction,20,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,near_optimal_basin,20,-1.0,-1.0,-1.0,-1.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,exact_mcnemar_p,20,1.9073486328125e-06,,,,20,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,final_return,20,-0.3565076186481132,-0.35037997676015925,-0.36713629426680994,-0.34587894302941646,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,final_q,20,-0.33784818751766943,-0.3269708254518424,-0.35461073961666945,-0.3210856354186694,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,final_pi1_good,20,-0.23154317664163476,-0.2297659258691125,-0.2384680990234183,-0.2246182542598512,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,zero_s1_batch_fraction,20,-3.644019459455256e-05,0.0,-7.809278318127071e-05,5.212393992165597e-06,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,near_optimal_basin,20,-1.0,-1.0,-1.0,-1.0,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,128,exact_mcnemar_p,20,1.9073486328125e-06,,,,20,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,final_return,20,-0.008759070354616299,-0.00879444752863534,-0.008905205055993933,-0.008612935653238665,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,final_q,20,-0.0059403776094191394,-0.005898991278303289,-0.006121813336845711,-0.005758941881992568,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,final_pi1_good,20,-0.004668334506135724,-0.004659821543420706,-0.004752494330428419,-0.004584174681843029,,
