iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
21,186.9797,186.9797,4.115079e-03,1.301550e+01,5.158571e+01,2.655605,0.586808,94.2462,49.9525,101.29,4.0362,0.1181,4.1542
22,207.2576,207.2576,2.846737e-03,6.826529e+00,4.673572e+01,2.666234,0.588977,99.9226,50.2247,109.12,4.4117,0.2063,4.618
23,211.6091,211.6091,3.893650e-03,1.322089e+01,5.191524e+01,2.656981,0.587077,102.2914,51.6264,111.1,4.4609,0.2476,4.7084
24,208.5719,211.6091,7.262067e-03,1.774976e+01,5.658758e+01,2.641445,0.583987,100.7237,51.4612,110.16,4.0814,0.0912,4.1726
25,215.4167,215.4167,6.146667e-03,1.185561e+01,6.266681e+01,2.636181,0.583134,102.0465,50.2069,112.42,4.138,0.2516,4.3896
26,230.1788,230.1788,4.584695e-03,1.181448e+01,5.898144e+01,2.63436,0.582692,108.0972,52.6478,119.14,4.6693,0.1133,4.7826
27,239.047,239.047,5.163955e-03,1.199628e+01,5.778499e+01,2.63258,0.582223,110.4308,52.9466,124.25,4.6261,0.0644,4.6906
28,238.5365,239.047,7.955432e-03,1.228270e+01,5.929819e+01,2.630176,0.58204,111.255,54.0894,122.98,4.9767,0.1463,5.123
29,247.4483,247.4483,6.762541e-03,2.523434e+01,6.109692e+01,2.632044,0.58221,114.9942,55.3063,126.79,5.1234,0.1109,5.2344
30,267.4652,267.4652,7.119074e-03,1.357862e+01,6.301942e+01,2.651402,0.586082,123.5618,57.2286,132.97,4.9343,0.2428,5.1771
31,274.0321,274.0321,7.797126e-03,1.428008e+01,5.952059e+01,2.666752,0.589063,126.1336,57.6464,136.41,5.2043,0.1858,5.3901
32,275.5485,275.5485,5.053179e-03,1.677442e+01,6.180902e+01,2.662441,0.588064,127.1377,58.681,136.2,5.8359,0.3118,6.1477
33,277.8878,277.8878,1.618202e-02,1.631046e+01,7.239342e+01,2.673268,0.590495,128.7935,58.9336,136.95,4.8631,0.2394,5.1025
34,289.4159,289.4159,7.803629e-03,1.934121e+01,6.215128e+01,2.687873,0.593263,133.1546,60.4809,142.47,6.915,0.2756,7.1907
35,296.5091,296.5091,1.360095e-02,2.368460e+01,6.944331e+01,2.677797,0.591184,135.4029,61.2517,147.72,5.8765,0.3608,6.2373
36,322.0965,322.0965,1.843388e-02,2.526725e+01,8.196091e+01,2.657456,0.587121,145.313,65.9073,158.75,8.0736,0.2332,8.3068
37,320.407,322.0965,1.608764e-02,2.624242e+01,7.583474e+01,2.649501,0.585338,145.1247,69.5844,156.34,7.3139,0.1192,7.4331
38,349.6723,349.6723,1.281581e-02,2.022346e+01,7.603453e+01,2.660766,0.58738,156.8979,76.181,165.45,7.2445,0.2173,7.4618
39,364.3306,364.3306,1.614201e-02,2.787633e+01,8.551192e+01,2.658638,0.587211,162.7837,78.9879,169.19,6.9259,0.1787,7.1046
40,407.1522,407.1522,1.622487e-02,2.721373e+01,8.364127e+01,2.671,0.589724,180.2859,88.0341,184.97,7.4138,0.2172,7.631
41,477.6736,477.6736,2.508223e-02,3.615724e+01,9.549491e+01,2.646285,0.584742,203.5358,96.9461,212.37,10.5033,0.2132,10.7165
42,485.3406,485.3406,1.755072e-02,4.927027e+01,8.970495e+01,2.641953,0.584279,206.9688,103.5692,216.6,10.9095,0.2216,11.1311
43,690.5703,690.5703,4.768482e-02,3.729326e+01,1.239093e+02,2.619407,0.579497,255.9839,113.2685,296.54,11.8366,0.4023,12.239
44,752.7568,752.7568,3.511411e-02,2.745885e+01,1.224169e+02,2.597834,0.575522,274.5005,122.1422,312.16,12.0852,0.3525,12.4377
45,621.7796,752.7568,2.722569e-02,6.868478e+01,1.090525e+02,2.600388,0.575829,252.1344,115.8777,250.86,11.6826,0.1216,11.8042
