seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
10000,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5803960,70.40502526446213,48.95880534349536,-26.1284325592282,
10000,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5180495,93.23041805476106,1.1802730997435855,-56.16027243002082,0.16541149877011777
10001,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,6105566,36.72666969910751,73.31022642522998,-9.947755655533584,
10001,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5919624,42.49214663673636,-4.3805899075112205,-58.141907553657674,0.12001907825469971
10002,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5797557,36.79440881376995,59.66290691394687,-63.82088853550297,
10002,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5629312,59.09682587488913,57.07345815353945,-67.92495543684487,0.1883652001619339
10003,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5634567,62.89783378617155,62.5562826452002,-35.270158892474996,
10003,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,4977924,104.43426222441803,92.85298949223755,-20.25413328070364,0.22107901349663733
10004,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,6004123,21.25794044801215,66.92003876933765,-43.308880944827564,
10004,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5672758,9.403291172958328,-3.1715645628859863,-67.7265460609066,0.19005172044038773
10005,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5413540,58.74801088423322,-27.21333901274975,-106.82850436577696,
10005,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5613303,58.37694186249796,45.00376094169238,-65.01113681600242,0.18100695922970772
10006,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5667601,12.76074360013838,36.23350011034585,-51.174321879699505,
10006,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,4741298,94.1493109305705,84.3518289779216,-38.33023832089043,0.21147883385419847
10007,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5538884,73.16136125012699,92.83464677128961,-43.015196262557325,
10007,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5595665,82.8093546913671,69.03447425257042,-11.870647548943847,0.17506260618567468
10008,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5597635,58.98496396519133,45.101096748599446,-55.899241837934916,
10008,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5662891,42.16604605384246,7.702912715056542,-58.925496518433135,0.1762722872197628
10009,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5795749,59.81073306006752,29.939064254096152,-47.24605976426665,
10009,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5660659,46.92923115083111,52.362961734757334,-51.756005675506685,0.16937654986977577
10010,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5732568,69.0504859115926,58.76847703852518,-15.057697586742211,
10010,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5715458,64.00722221925628,64.18969553573972,-31.725758912252363,0.20930769830942153
10011,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5622280,42.567863922061406,-6.61905801758325,-58.46191680898903,
10011,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5491585,31.44226417600026,8.347442734690564,-56.39607848574093,0.16264249727129937
10012,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5699656,63.49699033784198,73.60245505891963,-21.00530573422023,
10012,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5522896,41.16212590056226,62.139066504212586,-43.99855628908493,0.21075896725058554
10013,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5344031,78.2513297597205,35.49871504710393,-67.1527395613424,
10013,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5696324,45.651181048156715,37.286945611249664,-57.82226502361368,0.17999595269560814
10014,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5731175,47.931987956060226,50.4309728106999,-56.50632590985214,
10014,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5867931,23.730940127678085,14.415282743920148,-58.72207766000989,0.18992858350276948
10015,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,4738002,47.6717182728525,99.00840237782074,-41.23743926802989,
10015,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,4633667,125.90129692017408,165.92798965030937,-2.96699080485198,0.19792269557714462
10016,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5747920,57.46317022179115,88.88117537324518,49.69472173252771,
10016,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5896718,11.450582426577078,48.286188261804156,-35.84376001092804,0.17613645762205124
10017,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5703075,64.15095878593013,76.33834764390933,-46.04590653104,
