Update 0001/1200 | return 7.9398 | logdet -3745.98 | lambda_min 5.670e-09 | 27.8s
Update 0002/1200 | return 9.5132 | logdet -3575.66 | lambda_min 7.006e-09 | 29.3s
Update 0003/1200 | return 11.1753 | logdet -3538.42 | lambda_min 9.445e-09 | 29.3s
Update 0004/1200 | return 13.2922 | logdet -3496.08 | lambda_min 9.766e-09 | 29.3s
Update 0005/1200 | return 14.7044 | logdet -3464.29 | lambda_min 6.357e-09 | 28.9s
Update 0006/1200 | return 17.2454 | logdet -3459.02 | lambda_min 9.783e-09 | 29.2s
Update 0007/1200 | return 17.5469 | logdet -3480.87 | lambda_min 6.257e-09 | 29.3s
Update 0008/1200 | return 17.0319 | logdet -3444.94 | lambda_min 7.030e-09 | 29.4s
Update 0009/1200 | return 19.7967 | logdet -3451.69 | lambda_min 7.741e-09 | 30.3s
Update 0010/1200 | return 20.8945 | logdet -3462.48 | lambda_min 6.604e-09 | 29.9s
Update 0011/1200 | return 21.7100 | logdet -3423.82 | lambda_min 7.914e-09 | 29.1s
Update 0012/1200 | return 23.2207 | logdet -3385.14 | lambda_min 7.027e-09 | 29.8s
Update 0013/1200 | return 24.6989 | logdet -3396.91 | lambda_min 7.999e-09 | 29.4s
Update 0014/1200 | return 24.3133 | logdet -3419.11 | lambda_min 7.417e-09 | 29.2s
Update 0015/1200 | return 24.1512 | logdet -3416.04 | lambda_min 6.238e-09 | 30.3s
Update 0016/1200 | return 23.8802 | logdet -3378.72 | lambda_min 5.303e-09 | 29.3s
Update 0017/1200 | return 24.7941 | logdet -3360.07 | lambda_min 6.278e-09 | 30.0s
Update 0018/1200 | return 24.8935 | logdet -3354.20 | lambda_min 5.682e-09 | 29.9s
Update 0019/1200 | return 26.2495 | logdet -3363.25 | lambda_min 6.372e-09 | 28.9s
Update 0020/1200 | return 25.4841 | logdet -3356.64 | lambda_min 4.497e-09 | 29.4s
Update 0021/1200 | return 26.5251 | logdet -3368.23 | lambda_min 5.313e-09 | 30.0s
Update 0022/1200 | return 25.7738 | logdet -3367.18 | lambda_min 3.696e-09 | 31.7s
Update 0023/1200 | return 26.4423 | logdet -3340.93 | lambda_min 4.257e-09 | 29.6s
Update 0024/1200 | return 25.6188 | logdet -3345.85 | lambda_min 4.523e-09 | 29.6s
