initialization,n_trajectories,method,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,completed_all_updates_rate,last_update_median,last_update_min,zero_s1_batch_fraction_mean,reached_safe_positive_rate
adverse,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4728,0.4728,1.0,500,500,0.9611,0.0
adverse,4,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4148,0.4148,1.0,500,500,0.6629,0.0
adverse,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3067,0.3069,1.0,500,500,0.5395,0.0
adverse,4,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,0.0,0,0,0.8505,0.0
adverse,4,sampled_npg_logbarrier_handoff,100,0.56,0.462,0.653,0.8711,0.9547,0.01,260,250,0.152,1.0
adverse,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6722,0.6882,1.0,500,500,0.0964,1.0
adverse,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4728,0.4728,1.0,500,500,0.7278,0.0
adverse,32,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4156,0.4157,1.0,500,500,0.0923,0.0
adverse,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3088,0.3088,1.0,500,500,0.071,0.0
adverse,32,sampled_npg_reward_only,100,0.0,0.0,0.037,0.4981,0.5,0.0,10,10,0.7542,0.0
adverse,32,sampled_npg_logbarrier_handoff,100,0.89,0.814,0.937,0.9769,0.9917,0.0,270,260,0.0056,1.0
adverse,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.64,0.6436,1.0,500,500,0.003,1.0
adverse,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4728,0.4728,1.0,500,500,0.2968,0.0
adverse,128,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4157,0.4157,1.0,500,500,0.0054,0.0
adverse,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3089,0.3089,1.0,500,500,0.0053,0.0
adverse,128,sampled_npg_reward_only,100,0.0,0.0,0.037,0.4908,0.4905,0.0,10,10,0.4902,0.0
adverse,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,0.978,0.9772,0.0,270,270,0.0007,1.0
adverse,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6208,0.6219,1.0,500,500,0.0004,1.0
uniform,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.6946,0.7057,1.0,500,500,0.1272,1.0
uniform,4,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.6676,0.674,1.0,500,500,0.1233,1.0
uniform,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5116,0.5105,1.0,500,500,0.1388,1.0
uniform,4,sampled_npg_reward_only,100,0.31,0.228,0.406,0.6702,0.5,0.0,40,10,0.2033,0.68
uniform,4,sampled_npg_logbarrier_handoff,100,0.54,0.443,0.634,0.8398,0.9667,0.0,260,250,0.1179,0.95
uniform,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6551,0.6826,0.94,500,420,0.076,0.95
uniform,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.7048,0.7051,1.0,500,500,0.0,1.0
uniform,32,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.6664,0.6665,1.0,500,500,0.0,1.0
uniform,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5059,0.506,1.0,500,500,0.0,1.0
uniform,32,sampled_npg_reward_only,100,0.97,0.915,0.99,0.9845,0.9879,0.0,40,30,0.0,1.0
uniform,32,sampled_npg_logbarrier_handoff,100,0.89,0.814,0.937,0.9769,0.9917,0.0,270,260,0.0,1.0
uniform,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.64,0.6436,1.0,500,500,0.0,1.0
uniform,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.7034,0.7051,1.0,500,500,0.0,1.0
uniform,128,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.6637,0.6647,1.0,500,500,0.0,1.0
uniform,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5049,0.5048,1.0,500,500,0.0,1.0
uniform,128,sampled_npg_reward_only,100,1.0,0.963,1.0,0.9809,0.9796,0.0,40,40,0.0,1.0
uniform,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,0.978,0.977,0.0,270,270,0.0,1.0
uniform,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6208,0.6219,1.0,500,500,0.0,1.0
