method,seed,update,true_environment_steps,stochastic_return,deterministic_return,stochastic_termination_rate,deterministic_termination_rate,stochastic_episode_length,entropy,mean_min_probability,global_min_probability,minimum_probability_q01,minimum_probability_q05,minimum_probability_q10,action_margin_mean,action_margin_q10,beta,barrier_active
gpomdp_reward_only,723,0,0,-500.0,-500.0,0.0,0.0,500.0,1.0603864192962646,0.23334771394729614,0.15474462509155273,0.17526432871818542,0.19044263660907745,0.19937381148338318,0.12864600121974945,0.0677974745631218,0.0,False
gpomdp_reward_only,723,50,199917,-500.0,-500.0,0.0,0.0,500.0,1.0623416900634766,0.2275652289390564,0.10643061250448227,0.13356615602970123,0.15676943957805634,0.16955041885375977,0.0712200477719307,0.03202449530363083,0.0,False
gpomdp_reward_only,723,100,399879,-500.0,-500.0,0.0,0.0,500.0,1.0652165412902832,0.22569839656352997,0.12265244871377945,0.15595215559005737,0.1776389330625534,0.18934978544712067,0.05296454206109047,0.006890809629112482,0.0,False
gpomdp_reward_only,723,150,599879,-500.0,-500.0,0.0,0.0,500.0,1.033997893333435,0.1840885877609253,0.1134524866938591,0.1299692839384079,0.143382266163826,0.15106657147407532,0.09026622772216797,0.01820390112698078,0.0,False
gpomdp_reward_only,723,200,799879,-500.0,-500.0,0.0,0.0,500.0,1.0570217370986938,0.21942803263664246,0.1517862230539322,0.16913090646266937,0.1824643313884735,0.19116155803203583,0.10051392018795013,0.02090413309633732,0.0,False
gpomdp_reward_only,723,249,995879,-500.0,-500.0,0.0,0.0,500.0,1.0355132818222046,0.18682841956615448,0.11485680192708969,0.12864679098129272,0.1406351774930954,0.14954598248004913,0.08821607381105423,0.015608781948685646,0.0,False
gpomdp_reward_only,723,250,999879,-500.0,-500.0,0.0,0.0,500.0,1.0365229845046997,0.1868659406900406,0.11585547775030136,0.13525134325027466,0.14703041315078735,0.15390220284461975,0.08562766760587692,0.015055042691528797,0.0,False
gpomdp_reward_only,723,251,1003879,-500.0,-500.0,0.0,0.0,500.0,1.0371514558792114,0.18763160705566406,0.1153688132762909,0.13388927280902863,0.14761918783187866,0.15483184158802032,0.08485691994428635,0.014794913120567799,0.0,False
gpomdp_reward_only,723,300,1199879,-500.0,-500.0,0.0,0.0,500.0,1.044173002243042,0.19922247529029846,0.1275952011346817,0.1531822830438614,0.16558928787708282,0.17308266460895538,0.10033628344535828,0.018507463857531548,0.0,False
gpomdp_reward_only,723,350,1399879,-500.0,-500.0,0.0,0.0,500.0,1.063413143157959,0.23558248579502106,0.13859732449054718,0.1643015593290329,0.18125131726264954,0.1933237761259079,0.10617237538099289,0.02137651853263378,0.0,False
gpomdp_reward_only,723,400,1599879,-500.0,-500.0,0.0,0.0,500.0,1.0636718273162842,0.2302199751138687,0.13957446813583374,0.15833336114883423,0.17183943092823029,0.18325909972190857,0.08425489068031311,0.016021545976400375,0.0,False
gpomdp_reward_only,723,450,1799879,-500.0,-500.0,0.0,0.0,500.0,1.0555033683776855,0.23248031735420227,0.1556822657585144,0.16930381953716278,0.18395762145519257,0.1949503868818283,0.14521346986293793,0.03939015418291092,0.0,False
gpomdp_reward_only,723,500,1999879,-500.0,-500.0,0.0,0.0,500.0,1.0621157884597778,0.23878878355026245,0.14819756150245667,0.1637667715549469,0.18065065145492554,0.19331295788288116,0.12615427374839783,0.03534547984600067,0.0,False
gpomdp_reward_only,723,600,2399879,-500.0,-500.0,0.0,0.0,500.0,1.0332101583480835,0.21568180620670319,0.14123284816741943,0.15669475495815277,0.1740199327468872,0.18556419014930725,0.19832482933998108,0.061388108879327774,0.0,False
gpomdp_reward_only,723,750,2999879,-500.0,-500.0,0.0,0.0,500.0,0.9622253775596619,0.1726168543100357,0.10456491261720657,0.11457717418670654,0.12227573245763779,0.12831349670886993,0.3203538954257965,0.2238876074552536,0.0,False
gpomdp_reward_only,723,850,3399879,-500.0,-500.0,0.0,0.0,500.0,0.9713093638420105,0.18146243691444397,0.10420355200767517,0.11621739715337753,0.12567800283432007,0.13322898745536804,0.30947422981262207,0.14855535328388214,0.0,False
gpomdp_reward_only,723,1000,3999879,-500.0,-500.0,0.0,0.0,500.0,1.0019676685333252,0.17355862259864807,0.10279574245214462,0.1099630668759346,0.11667703837156296,0.12230857461690903,0.20060566067695618,0.1416940689086914,0.0,False
