update,reward_only_return,barrier_return,return_gain,minimum_eigenvalue_gain_orders,conditioning_gain_orders,normalized_logdet_gain,effective_rank_gain
50,18.803455444781903,24.524207481227574,5.7207520364456705,0.4882781460370329,-0.6114897555911478,-0.7965296075960424,0.10074843943923062
100,36.71513223023146,42.107862908009906,5.392730677778445,0.1821031812973528,0.040982471832086156,0.6203073279482947,-0.06682397406340623
150,64.78456025609859,81.16477760111802,16.38021734501943,-0.005339852951593379,-0.17854406887890334,1.1481847002985734,-0.10269140573858859
200,84.44415829698454,88.99050626314174,4.5463479661571995,0.35845168788653575,0.20959232614450846,0.46595262263838944,-0.11539533136060398
250,88.08781037634236,90.78357647890707,2.695766102564704,0.28989517480412524,0.11170245270812618,0.6016269657882534,-0.08593912139570503
