method,beta,q,p_good,dq_dt,dp_good_dt,speed,pooled_regularizer_dq_dt,joint_regularizer_dq_dt,joint_correction_dq_dt,cosine_pooled_joint_regularizer,cosine_pooled_joint_defined
reward_only,0.0,0.03,0.03,-0.0018943845375,7.409587499999993e-06,0.0018943990281632876,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999951347226718,True
reward_only,0.0,0.03,0.08875,-0.0018384156890625001,0.00016547037019958485,0.0018458474176391544,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999966021568284,True
reward_only,0.0,0.03,0.1475,-0.001782446840625,0.00045324039975585926,0.0018391692688887816,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999979211726105,True
reward_only,0.0,0.03,0.20625,-0.0017264779921875005,0.0008070837306976315,0.0019058096457580935,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.999998984790421,True
reward_only,0.0,0.03,0.265,-0.00167050914375,0.0011730141773437501,0.002041216073717281,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999996982836113,True
reward_only,0.0,0.03,0.32375,-0.0016145402953125,0.0015066953138031009,0.0022083639043020058,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999999939996039,True
reward_only,0.0,0.03,0.38249999999999995,-0.001558571446875,0.0017734404739746087,0.002360982013854683,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999998429493271,True
reward_only,0.0,0.03,0.44125,-0.0015026025984375,0.0019482127515472413,0.0024603551560948267,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999992600092973,True
reward_only,0.0,0.03,0.5,-0.0014466337500000002,0.0020156249999999996,0.0024810266720178688,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.999998301234901,True
reward_only,0.0,0.03,0.55875,-0.0013906649015625002,0.001969939832601929,0.002411350619986557,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999970540664528,True
reward_only,0.0,0.03,0.6174999999999999,-0.001334696053125,0.0018150696224121096,0.0022529738765530976,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999956231623018,True
reward_only,0.0,0.03,0.67625,-0.0012787272046875,0.0015645765022796626,0.0020206540761579083,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999941154449555,True
reward_only,0.0,0.03,0.735,-0.0012227583562500002,0.0012416723648437497,0.0017426669961285984,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999926275205737,True
reward_only,0.0,0.03,0.79375,-0.0011667895078125,0.0008792188625335695,0.0014609666538891843,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.9999912373456867,True
reward_only,0.0,0.03,0.8525,-0.0011108206593750001,0.0005197274075683585,0.0012263927248120957,0.04977901092233009,0.04926516990291262,-0.0005138410194174756,0.999990000537862,True
