run_id,protocol,initialization,method,alpha,beta,updates,t_escape,q_at_escape,maximum_q,update_of_maximum_q,intervals_above_q_two_thirds,fraction_time_above_q_two_thirds,final_return,final_q,final_p_good
same_beta__uniform__pooled_policy_logdet__beta_0p01,same_beta,uniform,pooled_policy_logdet,0.05,0.01,2000,118,0.3479099082629328,0.97450383365061,2000,1552,0.776,0.9612233510298112,0.97450383365061,0.9793037190619706
same_beta__uniform__pooled_policy_logdet__beta_0p1,same_beta,uniform,pooled_policy_logdet,0.05,0.1,2000,122,0.3983735180532805,0.8386499248450314,2000,1542,0.771,0.7951885551878477,0.8386499248450314,0.8734805978035076
same_beta__uniform__pooled_policy_logdet__beta_0p2,same_beta,uniform,pooled_policy_logdet,0.05,0.2,2000,131,0.437841057447662,0.679114076787398,2000,1053,0.5265,0.622710904825125,0.679114076787398,0.7293194428829222
same_beta__uniform__reward_only__beta_0,same_beta,uniform,reward_only,0.05,0.0,2000,117,0.3409849790389514,0.9830560206182654,2000,1541,0.7705,0.9734716851141371,0.9830560206182654,0.986105039802255
same_beta__uniform__state_distribution_only__beta_0p01,same_beta,uniform,state_distribution_only,0.05,0.01,2000,117,0.3459288864438582,0.9831665921214727,2000,1556,0.778,0.973609373439747,0.9831665921214727,0.9861974050921054
same_beta__uniform__state_distribution_only__beta_0p1,same_beta,uniform,state_distribution_only,0.05,0.1,2000,111,0.3829646594661221,0.9835545778507547,2000,1638,0.819,0.9741689359508964,0.9835545778507547,0.986667677299648
same_beta__uniform__state_distribution_only__beta_0p2,same_beta,uniform,state_distribution_only,0.05,0.2,2000,106,0.4145899590826209,0.9834858754066733,2000,1685,0.8425,0.9742413964909158,0.9834858754066733,0.9869045319086001
same_beta__uniform__statewise_conditional_barrier__beta_0p01,same_beta,uniform,statewise_conditional_barrier,0.05,0.01,2000,118,0.34158694530501577,0.9740853878341225,2000,1533,0.7665,0.9610256924153938,0.9740853878341225,0.9793717219182575
same_beta__uniform__statewise_conditional_barrier__beta_0p1,same_beta,uniform,statewise_conditional_barrier,0.05,0.1,2000,125,0.3461680906270165,0.8239433752702157,2000,1395,0.6975,0.7936995734216172,0.8239433752702157,0.8824747845566825
same_beta__uniform__statewise_conditional_barrier__beta_0p2,same_beta,uniform,statewise_conditional_barrier,0.05,0.2,2000,134,0.35038590942983144,0.6207081519732863,2000,0,0.0,0.6157700523541865,0.6207081519732863,0.7632880624907258
