environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active,entropy_coefficient,entropy_bonus_active
Acrobot-v1,gpomdp_entropy_handoff,1012,0,0,-500.0,-496.3125,0.0,20.859650045003153,500.0,0.0,0.03125,1.0896610021591187,0.27821800112724304,0.25324007868766785,-1.1077030897140503,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1012,50,199575,-500.0,-498.09375,0.0,10.78337841309485,500.0,0.0,0.03125,1.0964208841323853,0.3042985200881958,0.2825556695461273,-1.1008350849151611,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1012,100,399404,-340.3125,-500.0,101.06479477016457,0.0,341.09375,0.78125,0.0,1.0965956449508667,0.309158593416214,0.25057387351989746,-1.1006619930267334,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1012,150,598737,-500.0,-490.40625,0.0,42.458221875612146,500.0,0.0,0.0625,1.0968376398086548,0.31364235281944275,0.2535885274410248,-1.100394606590271,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1012,200,795843,-500.0,-475.46875,0.0,51.39661365461046,500.0,0.0,0.3125,1.0917431116104126,0.28920623660087585,0.23014310002326965,-1.1056699752807617,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1012,249,950395,-113.25,-268.15625,47.41307836451879,59.6614693702674,114.25,1.0,1.0,1.0597699880599976,0.24387681484222412,0.16204345226287842,-1.1382794380187988,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1012,250,952627,-99.5625,-290.59375,29.228728134954775,69.01232212321732,100.5625,1.0,0.96875,1.058761715888977,0.2431340515613556,0.160086527466774,-1.1394585371017456,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1012,251,954708,-100.15625,-258.75,28.209023236111594,60.83823076471443,101.15625,1.0,0.96875,1.0563151836395264,0.23994529247283936,0.15906347334384918,-1.1419610977172852,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1012,300,1032274,-84.21875,-150.65625,21.76670196690645,58.941528913366014,85.21875,1.0,1.0,0.8813827633857727,0.14271238446235657,0.06416948139667511,-1.3449125289916992,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1012,350,1083314,-85.59375,-110.1875,24.481539292475716,20.073152508086597,86.59375,1.0,1.0,0.7132278084754944,0.09237552434206009,0.02947315201163292,-1.5938231945037842,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1012,400,1128129,-87.0,-100.28125,24.84792455797284,20.6151124882506,88.0,1.0,1.0,0.6106773614883423,0.06968090683221817,0.01766742579638958,-1.7873718738555908,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1012,450,1171092,-82.5625,-98.46875,11.004214735067826,39.43061228898013,83.5625,1.0,1.0,0.4964880645275116,0.05050729960203171,0.010024825111031532,-2.039447546005249,0.0,False,0.0,False
