update,checkpoint,trajectory_count,transition_count,parameter_count,fisher_dtype,score_dtype,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,logdet_positive_spectrum,normalized_logdet_positive_spectrum,effective_rank,stable_rank,components_90,components_95,components_99,rank_tolerance,psd_tolerance,mean_return,std_return,mean_episode_length,elapsed_seconds
50,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/full_sweep/runs/beta_5e-5/seed_101/checkpoints/update_0050.pt,4096,366071,16,torch.float64,torch.float64,15,3.616016716902946e-14,206.27877495678032,30016134121732.992,-172.92919981558285,-10.808074988473928,2.0633033849895654,1.73302820894186,2,2,2,7.328494254351637e-13,2.062787749567803e-10,14.238146967589309,51.237814861838864,89.372802734375,39.321360846981406
100,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/full_sweep/runs/beta_5e-5/seed_101/checkpoints/update_0100.pt,4096,368033,16,torch.float64,torch.float64,16,8.554103615117783e-12,213.81144787352508,24995190319609.082,-165.5630965439284,-10.347693533995525,2.1343202701622035,1.6890798119120072,2,2,3,7.596108555444128e-13,2.1381144787352508e-10,14.945060897814127,50.61847054014597,89.851806640625,35.640509387943894
150,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/full_sweep/runs/beta_5e-5/seed_101/checkpoints/update_0150.pt,4096,289453,16,torch.float64,torch.float64,16,2.25587902034408e-09,191.82711331268337,85034308836.04066,-114.74780248030467,-7.171737655019042,2.427336240661455,1.5125824045377028,2,3,3,6.815068094307839e-13,1.9182711331268335e-10,58.70697350157137,45.315174902382736,70.667236328125,36.40867131901905
200,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/full_sweep/runs/beta_5e-5/seed_101/checkpoints/update_0200.pt,4096,198074,16,torch.float64,torch.float64,16,3.3564134009575646e-08,403.758461585146,12029461611.312723,-81.46101053798208,-5.09131315862388,2.122626810814471,1.057989173023914,2,3,4,1.4344382094049948e-12,4.03758461585146e-10,85.76393760027439,10.658163763943652,48.35791015625,29.405030431924388
250,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/full_sweep/runs/beta_5e-5/seed_101/checkpoints/update_0250.pt,4096,164165,16,torch.float64,torch.float64,16,8.050764018923867e-08,598.0886787595325,7428967950.789322,-72.17957043987387,-4.511223152492117,1.9502080261135042,1.0239396690724967,2,3,4,2.1248378301647098e-12,5.980886787595325e-10,89.41160562836733,3.71775488034593,40.079345703125,22.853214121074416
