environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active,entropy_coefficient,entropy_bonus_active
Acrobot-v1,gpomdp_entropy_handoff,1015,0,0,-500.0,-498.0625,0.0,8.522976535944357,500.0,0.0,0.0625,1.0465251207351685,0.20471492409706116,0.1446506828069687,-1.1547937393188477,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1015,50,200000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0895415544509888,0.2856677174568176,0.24750252068042755,-1.1076538562774658,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1015,100,400000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.094821572303772,0.30281633138656616,0.26144540309906006,-1.1023892164230347,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1015,150,600000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0971404314041138,0.3154768943786621,0.2668339014053345,-1.1000758409500122,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1015,200,800000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0969094038009644,0.3131900727748871,0.2793489992618561,-1.1003106832504272,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1015,249,996000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0967981815338135,0.31102514266967773,0.2675774395465851,-1.1004295349121094,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1015,250,1000000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0969676971435547,0.3119872808456421,0.27111002802848816,-1.1002604961395264,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,251,1004000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0970221757888794,0.3134336769580841,0.2686246633529663,-1.1002000570297241,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,300,1200000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.097312331199646,0.3153392970561981,0.27718472480773926,-1.0999077558517456,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,350,1398818,-205.59375,-489.6875,103.02986080618538,33.41762862959917,206.5,0.90625,0.125,1.0961174964904785,0.3129207193851471,0.25224024057388306,-1.1010775566101074,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,400,1583947,-209.28125,-333.625,188.01067820995632,96.09194185946386,210.0,0.71875,0.875,1.0621706247329712,0.2594205141067505,0.19500653445720673,-1.134339451789856,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,450,1652483,-100.78125,-136.5,76.56695757267285,71.9529416108307,101.75,0.96875,1.0,0.7169749736785889,0.0897812619805336,0.03148399293422699,-1.5864654779434204,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,500,1698993,-90.03125,-104.9375,28.567389907533244,26.575440396314498,91.03125,1.0,1.0,0.6492476463317871,0.07719607651233673,0.021251477301120758,-1.7139086723327637,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,550,1743211,-80.65625,-104.3125,14.790165378909185,37.76022613040546,81.65625,1.0,1.0,0.5530067086219788,0.0562811903655529,0.013900714926421642,-1.908632755279541,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,600,1783807,-84.03125,-93.09375,27.275753589423843,16.163198691332227,85.03125,1.0,1.0,0.4925553798675537,0.04888683557510376,0.009503060951828957,-2.0610947608947754,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,650,1823606,-90.21875,-98.65625,36.3998709453579,41.81727484911531,91.21875,1.0,1.0,0.42808255553245544,0.03896137326955795,0.007252450101077557,-2.2341041564941406,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,700,1861679,-84.53125,-93.90625,15.933297200435927,19.54211230204674,85.53125,1.0,1.0,0.42199572920799255,0.03856278210878372,0.006355028599500656,-2.2563369274139404,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,750,1899359,-86.53125,-92.6875,23.515244712121703,19.409737330159995,87.53125,1.0,1.0,0.41049209237098694,0.039778679609298706,0.005771194584667683,-2.2995924949645996,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,800,1937633,-86.46875,-92.1875,27.8764374719768,25.23110919019895,87.46875,1.0,1.0,0.358091801404953,0.03296694532036781,0.004081562161445618,-2.4660067558288574,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,850,1974184,-82.53125,-93.03125,12.360145042994883,33.29679280787149,83.53125,1.0,1.0,0.32041242718696594,0.02824411168694496,0.0031566405668854713,-2.609713315963745,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,900,2009640,-95.03125,-86.03125,28.507479918265705,15.85515968729667,96.03125,1.0,1.0,0.2907114028930664,0.02423267997801304,0.0022941287606954575,-2.734060287475586,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,950,2044901,-94.09375,-87.96875,47.043808941001146,17.12098198683558,95.09375,1.0,1.0,0.2737056612968445,0.02352673001587391,0.002011022064834833,-2.8240127563476562,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1015,1000,2081322,-82.84375,-85.03125,14.46934328714646,21.521908380126998,83.84375,1.0,1.0,0.2628680467605591,0.02299751341342926,0.0017443002434447408,-2.885998249053955,0.0,False,0.0,False
