experiment,label,method,alpha,beta,updates,run,finite,final_return,final_q,final_p_good,final_min_pi0,final_min_pi1,final_lambda_min_f_pool,final_logdet_f_pool
main,uniform,reward_only,0.05,0.0,20,0,1,0.3105891523126476,0.33344555103525664,0.3510586179512298,0.3222821962485258,0.32080337523911506,0.027537546518517378,-9.94259219418163
main,uniform_beta_0.01,detached_conditional,0.05,0.01,20,0,1,0.3105761734381292,0.3334589131227799,0.3510394395803912,0.32229531998835403,0.32082003458265856,0.02753854654698784,-9.94254330245282
main,uniform_beta_0.01,complete_weighted,0.05,0.01,20,0,1,0.3105761725659945,0.3334587933380826,0.35103943817936795,0.32229534124360504,0.3208200355624614,0.027538539150717564,-9.942543668274492
main,uniform_beta_0.01,uniform_action,0.05,0.01,20,0,1,0.3105733751778632,0.3334540706206593,0.35101999966379216,0.32229101868226934,0.3208368701624723,0.027538423472397572,-9.942554094881324
main,uniform_beta_0.01,visitation_only,0.05,0.01,20,0,1,0.31059938526204595,0.33439828232319835,0.3510830123560346,0.3221142160024515,0.32078630893538973,0.027596121234828797,-9.93969910823589
main,uniform_beta_0.01,full_pooled_fisher,0.05,0.01,20,0,1,0.31058369566721034,0.3344046459611309,0.35104432443770095,0.3221231290403034,0.3208198569730355,0.027596865950499195,-9.93966786303445
main,uniform_beta_0.1,detached_conditional,0.05,0.1,20,0,1,0.3104604509133415,0.3335755286057705,0.35086804201279875,0.32241249801558586,0.3209688631571627,0.027547308981613713,-9.942115817923174
main,uniform_beta_0.1,complete_weighted,0.05,0.1,20,0,1,0.3104604413001788,0.33357435481607417,0.3508680284284422,0.3224127088415768,0.3209688726251987,0.027547236511584975,-9.942119397209394
main,uniform_beta_0.1,uniform_action,0.05,0.1,20,0,1,0.31043308418422066,0.33352920339311204,0.35067750609578735,0.32236999649364345,0.32113372163005105,0.02754616980100969,-9.94221862577789
main,uniform_beta_0.1,visitation_only,0.05,0.1,20,0,1,0.3107218877720993,0.34287551225362384,0.3513010825928721,0.320560776573284,0.32063376867820126,0.028113529311725883,-9.915178007049573
main,uniform_beta_0.1,full_pooled_fisher,0.05,0.1,20,0,1,0.31057278316155473,0.3427480710574001,0.3509131361935103,0.3206606106718697,0.3209693262354863,0.028109371459941735,-9.915419478164695
main,uniform_beta_0.2,detached_conditional,0.05,0.2,20,0,1,0.31033412546223454,0.33369767645689014,0.35068012767872203,0.32254074969145996,0.3211319146416534,0.027556559929329046,-9.941666367220295
main,uniform_beta_0.2,complete_weighted,0.05,0.2,20,0,1,0.3103341043632183,0.3336953819611758,0.3506801014296844,0.32254116729712057,0.3211319328671087,0.02755641828103145,-9.941673352661091
main,uniform_beta_0.2,uniform_action,0.05,0.2,20,0,1,0.3102807311861522,0.3336095008224072,0.350307435395907,0.32245686302579585,0.32145404133536865,0.027554476216109097,-9.941861111551825
main,uniform_beta_0.2,visitation_only,0.05,0.2,20,0,1,0.3109176414285666,0.3520881208452402,0.35154023801902035,0.3187558623628985,0.32046652373355206,0.028668218841586587,-9.890946048398554
main,uniform_beta_0.2,full_pooled_fisher,0.05,0.2,20,0,1,0.3106299729514337,0.35142808551217364,0.35076228521307595,0.31899011299432994,0.32113759219732646,0.02863593744219804,-9.892392522019215
main,adverse,reward_only,0.05,0.0,20,0,1,0.43934772307149333,0.01508934115050643,0.015877367741943184,0.01508934115050643,0.015877367741943184,0.00020457719691766395,-21.395794952054935
main,adverse_beta_0.01,detached_conditional,0.05,0.01,20,0,1,0.4384858197784444,0.015436287928919714,0.01588307358789019,0.015436287928919714,0.01588307358789019,0.0002092800276966566,-21.317172564731564
main,adverse_beta_0.01,complete_weighted,0.05,0.01,20,0,1,0.43848561409544623,0.015436397376110994,0.015883073602275605,0.015436397376110994,0.015883073602275605,0.0002092814891545295,-21.31714921712834
main,adverse_beta_0.01,uniform_action,0.05,0.01,20,0,1,0.4389107927254581,0.015264713289049301,0.016062818498774993,0.015264713289049301,0.016062818498774993,0.0002091867823132093,-21.338772881424624
main,adverse_beta_0.01,visitation_only,0.05,0.01,20,0,1,0.4388729262021458,0.015341503263265149,0.015877376609877192,0.015341503263265149,0.015877376609877192,0.0002079443539644258,-21.34120817202166
main,adverse_beta_0.01,full_pooled_fisher,0.05,0.01,20,0,1,0.43843370962392086,0.01551940610398594,0.016062827736751998,0.01551940610398594,0.016062827736751998,0.00021262381075141517,-21.284302183215893
main,adverse_beta_0.1,detached_conditional,0.05,0.1,20,0,1,0.4304059499556621,0.01885659507425797,0.01594024242008054,0.01885659507425797,0.01594024242008054,0.0002556533427402059,-20.62845091965655
main,adverse_beta_0.1,complete_weighted,0.05,0.1,20,0,1,0.43041641171763073,0.018850497544118387,0.015940236115134027,0.018850497544118387,0.015940236115134027,0.000255572109191482,-20.629505013134214
main,adverse_beta_0.1,uniform_action,0.05,0.1,20,0,1,0.43489053324602805,0.016920013501343645,0.017813248657040707,0.016920013501343645,0.017813248657040707,0.00025504088549032494,-20.832560538862694
main,adverse_beta_0.1,visitation_only,0.05,0.1,20,0,1,0.4344813748423273,0.017784201254270597,0.01587746034448791,0.017784201254270597,0.01587746034448791,0.0002404757839609322,-20.856312732317377
main,adverse_beta_0.1,full_pooled_fisher,0.05,0.1,20,0,1,0.429801565109902,0.019887852808758207,0.017813386260681848,0.019887852808758207,0.017813386260681848,0.000298905187034238,-20.305260236063326
main,adverse_beta_0.2,detached_conditional,0.05,0.2,20,0,1,0.42080199544197794,0.023322323091210406,0.016017530546444614,0.023322323091210406,0.016017530546444614,0.000316250249292992,-19.904636403577285
main,adverse_beta_0.2,complete_weighted,0.05,0.2,20,0,1,0.42086227041821767,0.023283460565754092,0.01601745644242643,0.023283460565754092,0.01601745644242643,0.0003157338992360041,-19.910002128542942
main,adverse_beta_0.2,uniform_action,0.05,0.2,20,0,1,0.43024354913640217,0.018927742268453313,0.019936157795818154,0.018927742268453313,0.019936157795818154,0.0003162602802326169,-20.285200729837044
main,adverse_beta_0.2,visitation_only,0.05,0.2,20,0,1,0.42935550895008684,0.02089148447862712,0.015877562124569634,0.02089148447862712,0.015877562124569634,0.0002816333181213247,-20.331710664482618
main,adverse_beta_0.2,full_pooled_fisher,0.05,0.2,20,0,1,0.41940028486465575,0.025908294232409552,0.01993657617694167,0.025908294232409552,0.01993657617694167,0.0004299573523956508,-19.272300435693495
magnitude,adverse_magnitude,reward_only,0.05,0.0,20,0,1,0.43934772307149333,0.01508934115050643,0.015877367741943184,0.01508934115050643,0.015877367741943184,0.00020457719691766395,-21.395794952054935
magnitude,adverse_magnitude,detached_conditional,0.05,0.030139063695336907,20,0,1,0.4367277464564691,0.016154638435794098,0.015894940890085918,0.016154638435794098,0.015894940890085918,0.0002190177465338008,-21.16008834355993
magnitude,adverse_magnitude,complete_weighted,0.05,0.030139063695336907,20,0,1,0.4367278530550601,0.016154580547946818,0.015894940870237635,0.016154580547946818,0.015894940870237635,0.00021901697394116203,-21.160100117555423
magnitude,adverse_magnitude,uniform_action,0.05,0.04196224136210663,20,0,1,0.43750106767627145,0.015836582514220557,0.01666755665898495,0.015836582514220557,0.01666755665898495,0.00022455032714636017,-21.15755129050706
magnitude,adverse_magnitude,visitation_only,0.05,0.043496407454146575,20,0,1,0.43726330594117213,0.01621361162062377,0.015877406939518425,0.01621361162062377,0.015877406939518425,0.00021957687331918216,-21.159380941696494
magnitude,adverse_magnitude,full_pooled_fisher,0.05,0.02335128732898775,20,0,1,0.43719910401757783,0.016110106495341933,0.016313220725717302,0.016110106495341933,0.016313220725717302,0.00022381268420118116,-21.136268207204157
robustness,uniform_alpha_0.025,reward_only,0.025,0.0,40,0,1,0.3105904589344263,0.3334522594345466,0.3510650868693315,0.3222821094796003,0.3207985005501998,0.027537873331538155,-9.942573093161952
robustness,uniform_alpha_0.025,detached_conditional,0.025,0.1,40,0,1,0.31045844082447277,0.3335851789971378,0.35086948877444685,0.32241577457230086,0.3209683424202392,0.027547863478599673,-9.942085710561813
robustness,uniform_alpha_0.025,complete_weighted,0.025,0.1,40,0,1,0.31045843059545036,0.333583956320461,0.35086947362851356,0.32241599403454,0.3209683529759162,0.02754778800745035,-9.94208943831197
robustness,uniform_alpha_0.025,uniform_action,0.025,0.1,40,0,1,0.3104303151435136,0.3335376197771871,0.35067394313000116,0.32237222879285654,0.32113749467578595,0.027546695047983412,-9.942191242716897
robustness,uniform_alpha_0.025,visitation_only,0.025,0.1,40,0,1,0.31072414411414645,0.3428838093934032,0.3513141831484225,0.320562538639783,0.3206242481640449,0.028113837305926266,-9.91515783297756
robustness,uniform_alpha_0.025,full_pooled_fisher,0.025,0.1,40,0,1,0.31057105764074633,0.3427524929558566,0.35091563419722427,0.32066496366774866,0.32096889105776244,0.028109546179172766,-9.915406966511187
robustness,uniform_alpha_0.05,reward_only,0.05,0.0,20,0,1,0.3105891523126476,0.33344555103525664,0.3510586179512298,0.3222821962485258,0.32080337523911506,0.027537546518517378,-9.94259219418163
robustness,uniform_alpha_0.05,detached_conditional,0.05,0.1,20,0,1,0.3104604509133415,0.3335755286057705,0.35086804201279875,0.32241249801558586,0.3209688631571627,0.027547308981613713,-9.942115817923174
robustness,uniform_alpha_0.05,complete_weighted,0.05,0.1,20,0,1,0.3104604413001788,0.33357435481607417,0.3508680284284422,0.3224127088415768,0.3209688726251987,0.027547236511584975,-9.942119397209394
robustness,uniform_alpha_0.05,uniform_action,0.05,0.1,20,0,1,0.31043308418422066,0.33352920339311204,0.35067750609578735,0.32236999649364345,0.32113372163005105,0.02754616980100969,-9.94221862577789
robustness,uniform_alpha_0.05,visitation_only,0.05,0.1,20,0,1,0.3107218877720993,0.34287551225362384,0.3513010825928721,0.320560776573284,0.32063376867820126,0.028113529311725883,-9.915178007049573
robustness,uniform_alpha_0.05,full_pooled_fisher,0.05,0.1,20,0,1,0.31057278316155473,0.3427480710574001,0.3509131361935103,0.3206606106718697,0.3209693262354863,0.028109371459941735,-9.915419478164695
robustness,uniform_alpha_0.1,reward_only,0.1,0.0,10,0,1,0.31058654232935023,0.3334322164715932,0.35104571799167744,0.32228237163733015,0.32081309924663115,0.027536897292993284,-9.942630157030907
robustness,uniform_alpha_0.1,detached_conditional,0.1,0.1,10,0,1,0.3104644847390936,0.33355623264088874,0.3508651824688539,0.32240593647719784,0.3209698811417624,0.027546199702104774,-9.94217603924876
robustness,uniform_alpha_0.1,complete_weighted,0.1,0.1,10,0,1,0.3104644762683343,0.33355515377676764,0.35086517169430365,0.32240613051224953,0.3209698886524721,0.027546133063249927,-9.942179330137218
robustness,uniform_alpha_0.1,uniform_action,0.1,0.1,10,0,1,0.310438629970088,0.3335123733980658,0.35068466649922386,0.3223655347154753,0.32112614548827084,0.027545119146511483,-9.942273400525544
robustness,uniform_alpha_0.1,visitation_only,0.1,0.1,10,0,1,0.3107173950097476,0.3428590247900555,0.35127495976117845,0.32055724181959344,0.320652755037617,0.02811291843045712,-9.915218092037552
