method,initialization,damping,step_size,update,beta,barrier_active,return,q,v1,delta_safe,pi1_good,pi0_a0,pi0_a1,pi0_a2,pi1_a0,pi1_a1,pi1_a2,analytic_direction_0,analytic_direction_1,analytic_direction_2,analytic_direction_3,fisher_eigenvalue_0,fisher_eigenvalue_1,fisher_eigenvalue_2,fisher_eigenvalue_3,fisher_condition_number,fisher_min_eigenvalue,fisher_numerically_positive_definite,solve_trustworthy,mu0,mu1,finite,invalid_reason,attenuation_0,attenuation_1,attenuation_2,attenuation_3,statewise_attenuation_s0_0,statewise_attenuation_s0_1,statewise_attenuation_s1_0,statewise_attenuation_s1_1,first_update_v1_above_half,first_update_q_above_half,first_update_q_above_090,reward_gradient_0,reward_gradient_1,reward_gradient_2,reward_gradient_3,reward_gradient_norm,barrier_gradient_0,barrier_gradient_1,barrier_gradient_2,barrier_gradient_3,barrier_gradient_norm,natural_direction_0,natural_direction_1,natural_direction_2,natural_direction_3,natural_direction_norm,direction_vs_analytic_relative_error,predicted_delta_log_odds_explore_safe,predicted_delta_log_odds_good_medium,predicted_delta_log_odds_good_reference,realized_delta_log_odds_explore_safe,realized_delta_log_odds_good_medium,realized_delta_log_odds_good_reference,phi_before_update_0,solve_residual,damped_condition_number
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,0,0.0,False,0.29999999999999993,0.3333333333333333,0.39999999999999997,-0.10000000000000003,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5333333333333332,1.3333333333333333,0.26666666666666666,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.25,9.0,0.027777777777777776,True,True,0.75,0.25,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,10,0.0,False,0.3052706078664905,0.333356217641061,0.40750614910110283,-0.09249385089889717,0.34208296765115387,0.3388517986733453,0.333356217641061,0.3277919836855937,0.34208296765115387,0.3271159072497449,0.3308011250991013,0.666675584552398,0.5423355140995919,1.333351169104796,0.26667023382095917,0.027666047052479003,0.08262503834822446,0.08363300865026976,0.2520650475463042,9.110988897986351,0.027666047052479003,True,True,0.7499871277978318,0.2500128722021682,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.0660567937758878,0.03400343716987792,0.06747590608070274,-0.022587680478425094,0.10287339283859188,-0.011183947583776423,-4.012994897898589e-05,-0.005898579385647331,0.0041936519594438,0.01332149576793815,0.0660567937758878,0.03400343716987792,0.06747590608070274,-0.022587680478425094,0.10287339283859188,0.9438813301470858,-0.0062170035226403,0.05333404676419184,0.06666755845523979,-0.0016026678303004936,0.004503179327956394,0.0033737953040351397,0.029880788932828226,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,20,0.0,False,0.3105891523126476,0.33344555103525664,0.4152192929990528,-0.0847807070009472,0.3510586179512298,0.3442722527162176,0.33344555103525664,0.3222821962485258,0.3510586179512298,0.32080337523911506,0.3281380068096552,0.6667166123342172,0.5526263480018403,1.3334332246684344,0.2666866449336869,0.027537546518517378,0.08188930902405397,0.08391684370777545,0.25408877715137745,9.226994023614912,0.027537546518517378,True,True,0.7499368828548139,0.2500631171451861,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.06529070094458618,0.03480492310756404,0.06836543079008534,-0.022983188938650305,0.1033262667634057,-0.02340239021648328,-0.0002247386668936002,-0.01261605670216572,0.008922945469378088,0.02804471818140994,0.06529070094458618,0.03480492310756404,0.06836543079008534,-0.022983188938650305,0.1033262667634057,0.9435984319679396,-0.0057045132166188475,0.053337328986737376,0.06667166123342172,-0.0015242888918510986,0.004567430986436777,0.003418271539504261,0.06274069401581893,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,30,0.0,False,0.31595279372038443,0.3336156734361103,0.423137545309567,-0.07686245469043301,0.36025723470358556,0.34957495317166115,0.3336156734361103,0.31680937339222853,0.36025723470358556,0.31440155302990713,0.3253412122665074,0.666797300786607,0.5632257553202823,1.333594601573214,0.26671892031464284,0.027392835022329108,0.08112772129935365,0.08418428005999716,0.25606729681402357,9.347966232969016,0.027392835022329108,True,True,0.7498412173152276,0.2501587826847724,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.0644296804497708,0.03566862980712411,0.06924434065369697,-0.023367017476117944,0.10375081249547721,-0.03535682988934365,-0.0005877383717045942,-0.01950704086506753,0.013723877340230643,0.04265349116753128,0.0644296804497708,0.03566862980712411,0.06924434065369697,-0.023367017476117944,0.10375081249547721,0.9433370972216848,-0.00517857727331624,0.05334378406292857,0.06667973007866071,-0.0014380525321323265,0.004630567906490739,0.0034622170326848445,0.09519626571594308,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,40,0.0,False,0.32135897130160973,0.3338816692261381,0.43125828158916424,-0.06874171841083576,0.369674944876608,0.3547394727540474,0.3338816692261381,0.3113788580198144,0.369674944876608,0.307916683562781,0.32240837156061103,0.6669251551116505,0.5741387746866218,1.333850310223301,0.2667700620446602,0.027232559439199874,0.08034185227884294,0.08443482947235788,0.2579970647459043,9.473845648695463,0.027232559439199874,True,True,0.7496916878542591,0.2503083121457409,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.06347213960820476,0.03659689840704793,0.07011229130361353,-0.023738662660619823,0.10415038634693917,-0.04699890385701422,-0.001162747167366676,-0.02657344396306828,0.018595055282282575,0.05711543530207539,0.06347213960820476,0.03659689840704793,0.07011229130361353,-0.023738662660619823,0.10415038634693917,0.9430973430493456,-0.004639319021251438,0.05335401240893204,0.06669251551116505,-0.001343762060057846,0.00469254769821166,0.0035056145651806703,0.12719966973355187,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,50,0.0,False,0.3268054858723298,0.3342593571217912,0.4395781264378329,-0.060421873562167105,0.3793070440103024,0.35974476784883674,0.3342593571217912,0.3059958750293721,0.3793070440103024,0.3013554121376525,0.3193375438520451,0.6671080481649578,0.5853703595877884,1.3342160963299157,0.26684321926598314,0.027057446586048167,0.0795332608853571,0.08466807914383452,0.25987489595862334,9.604560989602936,0.027057446586048167,True,True,0.7494794731341877,0.2505205268658124,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.062416778048094014,0.03759203188504739,0.0709691016973776,-0.024097712921504328,0.10452907828413782,-0.05827844875699444,-0.0019849025933894723,-0.03381774536842245,0.023535538117998057,0.07139943195946358,0.062416778048094014,0.03759203188504739,0.0709691016973776,-0.024097712921504328,0.10452907828413782,0.9428790166291507,-0.00408688442885847,0.05336864385319663,0.06671080481649579,-0.0012412373081523292,0.004753340730944085,0.003548455084868868,0.1587023413408292,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,60,0.0,False,0.3322905854140931,0.33476528126644894,0.44809294717622533,-0.05190705282377467,0.38914799570488195,0.364569247838264,0.33476528126644894,0.3006654708952871,0.38914799570488195,0.29472475735671694,0.31612724693840105,0.6673542159205508,0.5969254220289971,1.3347084318411016,0.2669416863682203,0.026868293789122144,0.07870346779943413,0.0848836948916945,0.2616979536870835,9.740028739489,0.026868293789122144,True,True,0.7491953934036869,0.2508046065963131,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.06126258148785928,0.038656295559151656,0.07181476146810259,-0.024443852668263977,0.10489172977361635,-0.06914370505239355,-0.003090784043084046,-0.04124308849364073,0.02854490088035659,0.08547636286797092,0.06126258148785928,0.038656295559151656,0.07181476146810259,-0.024443852668263977,0.10489172977361635,0.9426817955956467,-0.0035214396945776843,0.05338833727364406,0.06673542159205507,-0.0011303142964353835,0.004812930706818319,0.0035907380734051253,0.1896551303622955,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,70,0.0,False,0.3378130525448855,0.3354167044250086,0.4567978542497995,-0.04320214575020048,0.39919143859420014,0.3691908433680047,0.3354167044250086,0.29539245220698673,0.39919143859420014,0.2880320782779968,0.31277648312780315,0.6676722539447975,0.6088088853591725,1.335344507889595,0.267068901577919,0.02666595827735621,0.0778539349055738,0.08508142195603281,0.26346372410570534,9.880152116244382,0.02666595827735621,True,True,0.7488299320252781,0.25117006797472197,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.06000881029665798,0.03979191828685789,0.07264943547909501,-0.024776864762587014,0.1052439431846934,-0.07954153674916548,-0.004518327392771484,-0.048853377938694695,0.033623296908061956,0.0993199374840507,0.06000881029665798,0.03979191828685789,0.07264943547909501,-0.024776864762587014,0.1052439431846934,0.9425051919164876,-0.002943168429281248,0.0534137803155838,0.06676722539447975,-0.0010108446004900018,0.0048713150120841126,0.0036324717739547596,0.22000844185051313,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,80,0.0,False,0.3433722930304567,0.33623160403308444,0.4656872083432323,-0.034312791656767705,0.409430200684454,0.3735870719830451,0.33623160403308444,0.2901813239838705,0.409430200684454,0.2812850382938915,0.3092847610216545,0.6680711152639253,0.6210257461841688,1.3361422305278505,0.2672284461055701,0.026451345593383,0.07698604448476529,0.08526108310808418,0.26516997302945877,10.02481979955655,0.026451345593383,True,True,0.7483732587836925,0.2516267412163075,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.05865498345779564,0.041001093788572904,0.07347346526620507,-0.025096631216947354,0.1055920819614678,-0.08941766377940591,-0.006306732465317387,-0.05665337537674573,0.03877151576735339,0.11290761199597023,0.05865498345779564,0.041001093788572904,0.07347346526620507,-0.025096631216947354,0.1055920819614678,0.9423485593661781,-0.0023522684539878233,0.05344568922111403,0.06680711152639253,-0.0008826944834611217,0.004928504824157617,0.003673673263310251,0.2497123699765212,,
exact_pg_reward_only_fixed_step,uniform,0.0,0.05,90,0.0,False,0.34896842449589893,0.3372286716501379,0.47475463401078993,-0.025245365989210067,0.41985632074317125,0.3777350998173857,0.3372286716501379,0.2850362285324763,0.41985632074317125,0.27449156633809346,0.3056521129187353,0.668560109911782,0.6335811450207668,1.337120219823564,0.2674240439647128,0.02622539722728435,0.07610107840895361,0.0854225737789921,0.2668146835487215,10.173904373548751,0.02622539722728435,True,True,0.7478152549376628,0.2521847450623373,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.05720085882550342,0.04228598133798328,0.07428736707085316,-0.025403132023970536,0.10594326071552829,-0.09871690483446448,-0.008496363529818866,-0.06464879237925747,0.04399103583009643,0.12622160307502325,0.05720085882550342,0.04228598133798328,0.07428736707085316,-0.025403132023970536,0.10594326071552829,0.9422111046731324,-0.0017489482445507605,0.05348480879294257,0.0668560109911782,-0.0007457438743760092,0.004984524954741193,0.003714368353542663,0.27871682302572265,,
