conditional_exact_bias_norm,conditional_exact_sd_norm,conditional_mc_bias_norm,conditional_mc_mean_cosine,conditional_mc_rmse,exact_mu1_bias,exact_mu1_mean,exact_mu1_variance,fisher_exact_bias_fro,fisher_full_rank_fraction,fisher_logdet_defined_fraction,fisher_logdet_mean_when_defined,fisher_mc_bias_fro,fisher_mc_rmse_fro,fisher_min_eigenvalue_mean,fisher_rank_mean,mc_mu1_mean,mc_mu1_variance,mc_zero_s1_fraction,n,p_good,policy,population_mu1,q,repetitions,reward_exact_bias_norm,reward_mc_bias_norm,reward_mc_rmse,zero_s1_probability
0.0,0.0,0.0,nan,0.0,-0.08333333333333334,0.16666666666666666,0.055555555555555566,0.05237828008789242,0.0,0.0,nan,0.05131294448387206,0.29696614098056523,0.0,1.338,0.169,0.055939,0.662,1,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0028455249683808676,0.4080388204722018,0.6666666666666667
0.0,0.0,0.0,nan,0.0,-0.04629629629629631,0.2037037037037037,0.03566529492455418,0.029099044493273565,0.0,0.0,nan,0.031045593711328628,0.21072357217053997,-1.004057947895376e-18,2.2782,0.19980000000000003,0.03564662666666666,0.4544,2,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0007839792451271432,0.2860698459994053,0.44444444444444453
0.0,0.0,0.0,nan,0.0,-0.02372134038800705,0.22627865961199295,0.018749257361838197,0.014909796130839226,0.2944,0.2944,-10.1381139259953,0.014333295590046827,0.1449889792599007,0.007661724423999961,3.0796,0.22796000000000002,0.018491000304761897,0.1914,4,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.00022033924461168958,0.20376612259168447,0.19753086419753096
0.0,0.0,0.0,nan,0.0,-0.011848385488074348,0.23815161451192565,0.009224021630865322,0.00744717664420426,0.6718,0.6718,-10.241984705858806,0.008014828769600472,0.10070750270494973,0.01593671951454626,3.6302,0.23688295704295706,0.009380138479646992,0.0416,8,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0012008420399612382,0.14140480973449732,0.039018442310623416
0.0,0.0,0.0,nan,0.0,-0.00589874222074005,0.24410125777925995,0.004518867886558043,0.003707591666450333,0.9464,0.9464,-10.29463986130005,0.0034467969695369557,0.07133793859025035,0.022275837569578023,3.945,0.2448177553229937,0.004694168356371382,0.0014,16,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0007475882648454012,0.10319945637971115,0.0015224388403474475
0.0,0.0,0.0,nan,0.0,-0.0029403503594834512,0.24705964964051655,0.002230063642725578,0.0018481259362271084,0.9988,0.9988,-10.145843947467407,0.0022236220431029376,0.04956294675515001,0.025533555588548605,3.9988,0.24713214391374635,0.0022711097278128034,0.0,32,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0002862874069175316,0.07187884030937533,2.317820022598481e-06
0.0,0.0,0.0,nan,0.0,-0.001467608430152978,0.24853239156984702,0.0011070298582470152,0.0009224496649672252,1.0,1.0,-10.03688627742893,0.0009688978715596508,0.034995698933126956,0.026517600021567774,4.0,0.24840683203432581,0.001108047773090752,0.0,64,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0004151876237610939,0.05117228833708289,5.372289657158422e-12
0.0,0.0,0.0,nan,0.0,-0.0007331251715996245,0.24926687482840038,0.0005514392832586951,0.0004607980269332876,1.0,1.0,-9.987128810465604,0.0007036007021618294,0.024450654353079082,0.027221302353731006,4.0,0.24896453918513908,0.0005336927814757891,0.0,128,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0002655607107203872,0.03538366305048114,2.8861496160411357e-23
0.0,0.0,0.0,nan,0.0,-0.00036638826183515993,0.24963361173816484,0.0002751918063782693,0.00023028944398638745,1.0,1.0,-9.962695481252277,0.0003871397872048577,0.017197879198334827,0.0274747876611983,4.0,0.24957113961579744,0.00026768623294472216,0.0,256,0.3333333333333333,uniform,0.25,0.3333333333333333,5000,7.757919228897728e-18,0.0003793021906731357,0.02499061864332821,8.329859606174395e-46
0.020253839521982345,0.16460744782943673,0.0150866637701347,0.9999827348956213,0.18407900026588686,-0.0076900041392041745,0.00793811998823338,0.003906046245169099,0.01263014468170411,0.0,0.0,nan,0.008945587626702124,0.2659155999959419,0.0,1.0198,0.0099,0.0048519900000000005,0.9802,1,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,0.0013968021457533523,0.05905671082205959,0.9841237600235332
0.01339537474242309,0.15411413143655345,0.012628461770284155,0.9999878802662099,0.15655884339559786,-0.0050859733090914405,0.010542150818346113,0.0034239179118878116,0.008353256718501333,0.0,0.0,nan,0.009571558105623098,0.19195403420119045,6.505213034913026e-23,1.2574,0.010833333333333334,0.003510416666666666,0.9676,2,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,0.00022535325336122143,0.035756028344920004,0.9684995750428568
0.007973786723232085,0.12977919883317737,0.008502194127677973,0.9999944892185939,0.12947581055350488,-0.0030274977166791124,0.012600626410758441,0.002427999514339304,0.004972394486791964,0.0002,0.0002,-15.02730258153468,0.005039952939660392,0.14424362382510475,1.0921677049811228e-08,1.503,0.0124,0.00240624,0.9392,4,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,0.0001873023464381678,0.027156700678590683,0.9379914268581941
0.004402102034233129,0.10130227497132245,0.004846815829198995,0.9999982041566509,0.10004829808559663,-0.0016713958273299589,0.013956728300107595,0.0014793700257657216,0.0027451183038971435,0.0014,0.0014,-17.649834928687476,0.003123495914187776,0.10428629381176936,1.9842241191763755e-07,1.7996,0.013787878787878788,0.0014395852464034282,0.8802,8,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,0.00022439626693633287,0.01973642952191844,0.8798279168594709
0.0023208459980648133,0.07550183878076609,0.0006705937713800289,0.9999999655133727,0.07615620365036031,-0.000881181827880273,0.01474694229955728,0.0008217760409640203,0.001447262416970345,0.0058,0.0058,-18.42349994390142,0.00043321865109032523,0.07505691363908784,4.3819359926230305e-06,2.1468,0.015373512211902304,0.0008360173988246345,0.7628,16,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,0.00010176113634372716,0.01252481079366349,0.774097163285276
0.001192681384093705,0.05485539940135003,0.001661803738985632,0.9999997883762225,0.05461342752822111,-0.0004528388195453991,0.015175285307892155,0.00043378764750983095,0.0007437472990673447,0.0244,0.0244,-20.093370888376917,0.0014206004860915563,0.05354482429976293,1.0717358704482487e-06,2.4096,0.014997168321874204,0.00042957103372082475,0.6046,32,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,9.35128385381368e-05,0.009134266126989712,0.5992264182063113
0.0006047150073407435,0.03932587338552665,0.0007016937731950214,0.99999996224133,0.03928799233586009,-0.000229598980698369,0.015398525146739185,0.00022294368291501232,0.00037709581067822586,0.0804,0.0804,-21.395552195895018,0.0005543665104307263,0.038131241045308455,1.4323142672498756e-05,2.716,0.0153617041227531,0.00022244340459435881,0.3644,64,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,4.0837887334638135e-05,0.006457159667193445,0.35907230027636505
0.0003044911380872927,0.02800085450477413,0.0005778524897558847,0.9999999743907869,0.027774714979787486,-0.00011560959143773475,0.015512514535999819,0.00011302668438317714,0.00018987842399277737,0.1982,0.1982,-22.894990391011333,0.0003879141138530777,0.027046591091024866,1.8078203126929375e-05,3.0716,0.01540872434236224,0.00011116027588389105,0.1266,128,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,7.051753175980602e-05,0.004491905314438854,0.12893291682576008
0.00015278406860825416,0.019868514097301438,3.2109768848035795e-05,0.9999999999208927,0.019981406778326074,-5.800925393689357e-05,0.01557011487350066,5.690745918674733e-05,9.52750163509766e-05,0.4102,0.4102,-23.65099477493158,0.0006031977178579952,0.019417711404837914,4.7680626838987174e-05,3.394,0.01561593264862768,5.755584294036081e-05,0.0162,256,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,5000,1.3878026033786178e-17,7.212927545069089e-05,0.0032790483130246215,0.016623697041198367
0.020866943591987826,0.15203058902734015,0.019129451145960916,0.9998653285425431,0.15902058049556259,-0.009607843137254905,0.01,0.0049,0.0116223394288129,0.0,0.0,nan,0.010822348847916063,0.0943446309676708,-2.7755575615628914e-20,1.0216,0.0108,0.00528336,0.9784,1,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.0047351114031245565,0.20676156620610125,0.98
0.013772182770712012,0.1420797050641333,0.014206555882218563,0.9999253984152646,0.1412147714929723,-0.006341176470588237,0.013266666666666668,0.004279551111111111,0.007670744023016522,0.0,0.0,nan,0.007947708642659479,0.08369402759168358,-3.773023560249555e-21,1.5586,0.013066666666666666,0.004184817777777778,0.9608,2,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.0004848724058966429,0.1415025832626387,0.9603999999999999
0.00818126799460413,0.11940889526339572,0.011252818723973091,0.999953072275436,0.11532595409452452,-0.003766931137254903,0.015840912000000002,0.003022786573674923,0.004556751359977905,0.0004,0.0004,-13.198491432236565,0.006314499028211098,0.06820649749419763,2.027677430681032e-07,1.9536,0.014426666666666666,0.0027927601777777778,0.9296,4,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.0013732403331172618,0.09874733662990612,0.9223681599999999
0.004509361023740376,0.09305146887588665,0.006783602043359746,0.9999828784956438,0.09041795346058876,-0.0020762615844700967,0.01753158155278481,0.0018356107398685823,0.002511595634211298,0.002,0.002,-14.142682297488824,0.0037491213926155007,0.05409294876395714,4.4920111812932875e-07,2.1352,0.016484444444444444,0.0017234235851851854,0.859,8,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.0016972158166022966,0.06980138671885394,0.8507630225817855
0.002374881376372917,0.06927238951165894,0.003264985590054228,0.9999960214113118,0.06864127176509469,-0.0010934753157879722,0.018514367821466933,0.001017312687864108,0.0013227465410876017,0.0074,0.0074,-15.285349381142202,0.0018148488286107722,0.0406918492925684,9.140539695074081e-06,2.278,0.01810453388372893,0.0009966003940272044,0.7294,16,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.0004458867183769964,0.04983993576691286,0.7237977205924956
0.0012197012521894897,0.05029471603441712,0.001279115545758046,0.9999993882927768,0.04994727017405637,-0.000561591507336482,0.019046251629918423,0.0005362642486713282,0.0006793415572425994,0.0298,0.0298,-16.955154668527392,0.0007389525180121604,0.029815190737421983,1.5411763232154688e-05,2.5076,0.01901889528948353,0.0005285337420523174,0.5222,32,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.00021317003922925496,0.03517708134522746,0.5238831403348924
0.0006182094248316991,0.036042652750176374,0.000268730729673299,0.9999999729763717,0.03575045054870661,-0.00028464442593454514,0.01932319871132036,0.0002754023356518543,0.0003443264099414396,0.087,0.087,-18.564902058520985,0.00017565934443022576,0.02118564173004102,2.729794464829273e-05,2.8196,0.01948411046478762,0.00027093968586611113,0.2674,64,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.00032870967440712194,0.024840520839470567,0.2744535447271485
0.000311232183369009,0.025658028527905604,0.0004264506400122017,0.9999999319565268,0.02544697455054703,-0.00014330177219554555,0.01946454136505936,0.00013956634045766758,0.00017334815040361467,0.2008,0.2008,-19.729688427722444,0.0002745719918929781,0.015035446889699015,4.640991943272409e-05,3.1208,0.019411490909773354,0.0001372411816043718,0.08,128,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,0.00015090787040962424,0.017541416170748315,0.07532474821329692
0.00015615274579107303,0.01820426435871683,0.0001522725581835839,0.9999999913224598,0.018263282068789913,-7.189797971532061e-05,0.019535945157539585,7.025551003647399e-05,8.697297744676386e-05,0.4012,0.4012,-20.36710384947681,0.00010050672156097154,0.010819803719448028,9.228037886765e-05,3.3958,0.019537731726511524,7.070686559088561e-05,0.0054,256,0.8999999999999999,rare_good,0.019607843137254905,0.020000000000000004,5000,1.3879481770324007e-17,3.900508295828822e-05,0.012560318094897892,0.005673817693396577
0.05143892109947608,0.32577983363001467,0.05100454798796911,0.9993300515722083,0.3291753563610998,-0.023684210526315808,0.44999999999999996,0.022500000000000013,0.051703681246426964,0.0,0.0,nan,0.053390350604200935,0.425473383343047,-2.8754776337791554e-18,1.9004,0.4502,0.022419960000000017,0.0996,1,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.0022735254122177788,0.22119735502035281,0.10000000000000009
0.018860937736474633,0.172044107716597,0.02103280329400786,0.9998825180206103,0.17507154770094546,-0.008684210526315794,0.46499999999999997,0.006275000000000005,0.018958016457023184,0.0,0.0,nan,0.018718225821764956,0.21741218031061318,-1.1974470894016153e-19,2.5882,0.4639999999999999,0.006404000000000076,0.0102,2,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.0022615713563803328,0.14585304282050476,0.010000000000000018
0.008128819217177256,0.10377875865712738,0.008971709897838876,0.9999783591721885,0.10593240070677383,-0.0037427819548873087,0.46994142857142845,0.0022832373857142874,0.008170658884971028,0.2538,0.2538,-19.046741893531514,0.008608194059562866,0.13551483087278451,8.686786325979e-05,3.1724,0.46955333333333327,0.0023619211238095905,0.0,4,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.0009191553799548743,0.10780415047900521,0.00010000000000000036
0.003797309701650911,0.06826074734519358,0.00467132930608823,0.9999941074065205,0.06753419630286889,-0.0017484091906513899,0.4719358013356644,0.0009878163298970438,0.0038168547514523107,0.568,0.568,-18.794346647323096,0.004884395872121238,0.08868316991498608,0.00043548923569837017,3.565,0.47153337329337336,0.0009622739776951883,0.0,8,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.0009952464267707916,0.07528640104461097,1.0000000000000071e-08
0.0018380551622323284,0.046640884540773815,0.0019721563224562675,0.999998946824205,0.046682959006800084,-0.0008463024591265911,0.47283790806718917,0.00046117704276993734,0.0018475157758000595,0.8172,0.8172,-18.143909293186958,0.0019555321675669207,0.0610535982134519,0.0014040458205099725,3.8172,0.4727761633796517,0.00046118491860722144,0.0,16,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.0005940434939095405,0.05330641456856998,1.0000000000000142e-16
0.0009045757382046789,0.03243397606137211,0.001175405151563932,0.9999996255918788,0.032824204123348834,-0.0004164971146859431,0.4732677134116298,0.00022301522220683872,0.0009092316602213333,0.9672,0.9672,-16.94388174922052,0.0013507230862919114,0.04322579485881204,0.003117818167232668,3.9672,0.4731430144345564,0.00022812100891686504,0.0,32,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.00033983638641448856,0.038329336231371136,1.0000000000000284e-32
0.0004487578399685986,0.022746046482899466,0.0011196024366620337,0.9999996602790009,0.022957316700311522,-0.00020662321312131526,0.47347758731319445,0.00010968467894895522,0.0004510676316408069,0.999,0.999,-15.586556967609413,0.00137908561132589,0.03022716913952734,0.00529312883406144,3.999,0.47316870788261933,0.00011146594879413163,0.0,64,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.000662009125485879,0.02703568050237616,1.0000000000000568e-64
0.0002235065193151447,0.016018162751217445,0.0006691965484246022,0.9999998785769917,0.0160291375992842,-0.00010290992392114617,0.4735813006023946,5.43950684597179e-05,0.00022465692482952129,1.0,1.0,-14.760504877714094,0.0008229121235534745,0.02114684617191803,0.006640629025804155,4.0,0.4733760899126326,5.437469327032596e-05,0.0,128,0.020000000000000004,common_bad,0.47368421052631576,0.8999999999999999,5000,3.878959614448864e-18,0.0003977424286683531,0.01898004519363023,1.0000000000001137e-128
