experiment,method,initialization,n,beta,alpha,n_seeds,reward_noise_std,center_returns,normalize_returns,metric,mean,ci_lower,ci_upper,finite_fraction
main,detached_conditional_oracle,uniform,4,0.1,0.05,20,0.0,0,0,empirical_fisher_rank,2.85,2.501254468982667,3.1987455310173334,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,20,0.0,0,0,population_return,0.7873283103642778,0.7830313801334027,0.7916252405951528,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,20,0.0,0,0,q,0.8132862308608504,0.8062041236169437,0.8203683381047571,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,20,0.0,0,0,pi1_a0,0.8809440982727716,0.879376918815036,0.8825112777305073,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,20,0.0,0,0,empirical_fisher_rank,2.9,2.5311723895442664,3.2688276104557334,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,20,0.0,0,0,population_return,0.7917620927134125,0.7881560663337153,0.7953681190931097,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,20,0.0,0,0,q,0.8337781682589279,0.8284282482066124,0.8391280883112434,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,20,0.0,0,0,pi1_a0,0.8718464056992022,0.8700802449291641,0.8736125664692403,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,20,0.0,0,0,empirical_fisher_rank,2.9,2.5311723895442664,3.2688276104557334,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,20,0.0,0,0,population_return,0.9751345804034951,0.9748064724212605,0.9754626883857297,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,20,0.0,0,0,q,0.9846838370819986,0.9842758591893693,0.9850918149746278,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,20,0.0,0,0,pi1_a0,0.9868722523500676,0.9867292670873499,0.9870152376127853,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,20,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,20,0.0,0,0,empirical_fisher_rank,2.2,1.9551590290566438,2.4448409709433565,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,20,0.0,0,0,population_return,0.7938877281141454,0.7902977683740434,0.7974776878542474,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,20,0.0,0,0,q,0.8373108267617573,0.8321106454945933,0.8425110080289212,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,20,0.0,0,0,pi1_a0,0.8725065954106089,0.87074638394985,0.8742668068713678,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,20,0.0,0,0,empirical_fisher_rank,2.85,2.4696317274897384,3.230368272510262,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,20,0.0,0,0,population_return,0.792279066204588,0.7882230708528615,0.7963350615563145,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,20,0.0,0,0,q,0.8203538234747825,0.8134806811018782,0.8272269658476867,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,20,0.0,0,0,pi1_a0,0.8830823422535461,0.8816811385277097,0.8844835459793825,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,20,0.0,0,0,empirical_fisher_rank,2.85,2.501254468982667,3.1987455310173334,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,20,0.0,0,0,population_return,0.6173768877623166,0.610827115274041,0.6239266602505922,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,20,0.0,0,0,q,0.6221342035436759,0.6096836681247719,0.6345847389625798,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,20,0.0,0,0,pi1_a0,0.7649987101759096,0.7607305296754989,0.7692668906763203,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,20,0.0,0,0,empirical_fisher_rank,3.1,2.8001322765305874,3.399867723469413,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,20,0.0,0,0,population_return,0.5980624215503837,0.5914390869744683,0.604685756126299,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,20,0.0,0,0,q,0.5808769776828909,0.5674039152908178,0.5943500400749641,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,20,0.0,0,0,pi1_a0,0.7596252530986162,0.7553339932798244,0.7639165129174079,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,20,0.0,0,0,empirical_fisher_rank,3.05,2.766942397709619,3.333057602290381,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,20,0.0,0,0,population_return,0.6028816668467604,0.596147265594537,0.6096160680989837,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,20,0.0,0,0,q,0.6405610809232527,0.6288390366753108,0.6522831251711946,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,20,0.0,0,0,pi1_a0,0.7182797530212444,0.7122895827148927,0.724269923327596,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,20,0.0,0,0,empirical_fisher_rank,3.1,2.76387914538576,3.43612085461424,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,20,0.0,0,0,population_return,0.9758285132422003,0.9756040633017845,0.9760529631826161,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,20,0.0,0,0,q,0.9853733187240392,0.9850712260408623,0.9856754114072162,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,20,0.0,0,0,pi1_a0,0.9872045414747749,0.9870806170719503,0.9873284658775995,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,20,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,20,0.0,0,0,empirical_fisher_rank,2.2,1.9551590290566438,2.4448409709433565,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,20,0.0,0,0,population_return,0.624674604436796,0.6181497386338797,0.6311994702397123,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,20,0.0,0,0,q,0.679763228962015,0.6699746749801846,0.6895517829438454,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,20,0.0,0,0,pi1_a0,0.7319139033335588,0.7260443640793589,0.7377834425877586,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,20,0.0,0,0,empirical_fisher_rank,3.05,2.7287863895438758,3.371213610456124,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,20,0.0,0,0,population_return,0.6195556118364599,0.6134589855320617,0.6256522381408581,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,20,0.0,0,0,q,0.6197599899883992,0.607325029307052,0.6321949506697464,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,20,0.0,0,0,pi1_a0,0.7717578164928602,0.7684098102127622,0.7751058227729583,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,20,0.0,0,0,zero_s1,0.05,-0.05465120271999997,0.15465120272,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,20,0.0,0,0,empirical_fisher_rank,3.1,2.8001322765305874,3.399867723469413,1.0
main,reward_only,uniform,32,0.0,0.05,20,0.0,0,0,population_return,0.9733332169090343,0.9731335666115148,0.9735328672065537,1.0
main,reward_only,uniform,32,0.0,0.05,20,0.0,0,0,q,0.9829595040808762,0.9827517068063597,0.9831673013553927,1.0
main,reward_only,uniform,32,0.0,0.05,20,0.0,0,0,pi1_a0,0.9860141644883866,0.9859181768273443,0.986110152149429,1.0
main,reward_only,uniform,32,0.0,0.05,20,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,reward_only,uniform,32,0.0,0.05,20,0.0,0,0,empirical_fisher_rank,2.95,2.5947046849870694,3.305295315012931,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,20,0.0,0,0,population_return,0.9608980793989295,0.9607236611029076,0.9610724976949513,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,20,0.0,0,0,q,0.9739648856282299,0.9737492731872318,0.974180498069228,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,20,0.0,0,0,pi1_a0,0.9793031345435816,0.9792119372603586,0.9793943318268047,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,20,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,20,0.0,0,0,empirical_fisher_rank,3.05,2.6636176269574183,3.4363823730425813,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,20,0.0,0,0,population_return,0.9608152660935725,0.9606405566206332,0.9609899755665118,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,20,0.0,0,0,q,0.9738570727886436,0.9736425814366216,0.9740715641406656,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,20,0.0,0,0,pi1_a0,0.9792882112756225,0.9791960268492153,0.9793803957020297,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,20,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,20,0.0,0,0,empirical_fisher_rank,3.05,2.6636176269574183,3.4363823730425813,1.0
main,uniform_action_oracle,uniform,32,0.01,0.05,20,0.0,0,0,population_return,0.9608369375251691,0.9606535941355403,0.9610202809147979,1.0
main,uniform_action_oracle,uniform,32,0.01,0.05,20,0.0,0,0,q,0.9741184434534871,0.9738986711891501,0.9743382157178241,1.0
