update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3945,-493.0,493.125,0.0,False
2,7945,-500.0,500.0,0.0,False
3,11945,-500.0,500.0,0.0,False
4,15945,-500.0,500.0,0.0,False
5,19925,-497.375,497.5,0.0,False
6,23836,-488.625,488.875,0.0,False
7,27704,-483.375,483.5,0.0,False
8,31704,-500.0,500.0,0.0,False
9,35503,-474.625,474.875,0.0,False
10,39340,-479.5,479.625,0.0,False
11,43340,-500.0,500.0,0.0,False
12,47340,-500.0,500.0,0.0,False
13,51200,-386.0,386.0,0.0,False
