configuration,lb_algorithm,baseline,metric,paired_runs,mean_lb_minus_baseline,ci95_lower,ci95_upper
K0010_alpha0p1,lb_sgb,npg,normalized_log_fisher_volume,10,223.90272071480052,183.21527727853783,264.5901641510632
K0010_alpha0p1,lb_sgb,npg,entropy,10,0.2784285104134563,0.11440391239366107,0.4424531084332515
K0010_alpha0p1,lb_sgb,npg,numerically_collapsed,10,-1.0,-1.0,-1.0
K0100_alpha0p01,lb_sgb,sgb,optimal_arm_probability,10,-0.0007000066797951563,-0.0015581847460674834,0.00015817138647717072
K0100_alpha0p01,lb_sgb,sgb,expected_reward,10,0.000543957514562042,-0.003030976471384808,0.004118891500508892
K0100_alpha0p01,lb_sgb,sgb,expected_pseudo_regret,10,-0.0005439575145620657,-0.004118891500508907,0.0030309764713847757
K0100_alpha0p01,lb_sgb,sgb,cumulative_pseudo_regret,10,27.008815127023034,-0.26065571214740757,54.27828596619348
K0100_alpha0p01,lb_sgb,sgb,minimum_probability,10,-0.00022169169253478054,-0.0004519880146326222,8.604629563061162e-06
K0100_alpha0p01,lb_sgb,sgb,normalized_log_fisher_volume,10,-8.431695272470563e-05,-0.0010194655949075672,0.000850831689458156
K0100_alpha0p01,lb_sgb,sgb,entropy,10,-2.3750309502634792e-05,-0.001013668513426268,0.0009661678944209984
K0100_alpha0p01,lb_sgb,sgb,numerically_collapsed,10,0.0,0.0,0.0
K0100_alpha0p01,lb_sgb,entropy_sgb,optimal_arm_probability,10,-0.0002084418400743431,-0.0012418833409165145,0.0008249996607678282
K0100_alpha0p01,lb_sgb,entropy_sgb,expected_reward,10,-7.359754704964853e-05,-0.0030348710460086875,0.0028876759519093904
K0100_alpha0p01,lb_sgb,entropy_sgb,expected_pseudo_regret,10,7.359754704960864e-05,-0.0028876759519094112,0.0030348710460086285
K0100_alpha0p01,lb_sgb,entropy_sgb,cumulative_pseudo_regret,10,6.4283671058798975,-31.621032189655256,44.47776640141505
K0100_alpha0p01,lb_sgb,entropy_sgb,minimum_probability,10,-0.00011984499733106256,-0.0003546151660734942,0.00011492517141136912
K0100_alpha0p01,lb_sgb,entropy_sgb,normalized_log_fisher_volume,10,3.1700731289951986e-05,-0.0007074865683451616,0.0007708880309250655
K0100_alpha0p01,lb_sgb,entropy_sgb,entropy,10,5.055259302633175e-05,-0.0007402038062859559,0.0008413089923386194
K0100_alpha0p01,lb_sgb,entropy_sgb,numerically_collapsed,10,0.0,0.0,0.0
K0100_alpha0p01,lb_sgb,npg,optimal_arm_probability,10,0.01287283138403952,0.01224371437748862,0.01350194839059042
K0100_alpha0p01,lb_sgb,npg,expected_reward,10,-0.4872881522854099,-0.7150204722754172,-0.2595558322954026
K0100_alpha0p01,lb_sgb,npg,expected_pseudo_regret,10,0.4872881522854099,0.2595558322954026,0.7150204722754172
K0100_alpha0p01,lb_sgb,npg,cumulative_pseudo_regret,10,1060.4665649937701,510.83433878051665,1610.0987912070236
K0100_alpha0p01,lb_sgb,npg,minimum_probability,10,0.0072118107270825555,0.007011847051413662,0.007411774402751449
K0100_alpha0p01,lb_sgb,npg,normalized_log_fisher_volume,10,74.73761958452356,-1.8124652297604626,151.2877043988076
K0100_alpha0p01,lb_sgb,npg,entropy,10,4.506212890645021,4.307958271228758,4.704467510061285
K0100_alpha0p01,lb_sgb,npg,numerically_collapsed,10,-1.0,-1.0,-1.0
K0100_alpha0p1,lb_sgb,sgb,optimal_arm_probability,10,-0.13551277014376054,-0.627774195222412,0.35674865493489083
K0100_alpha0p1,lb_sgb,sgb,expected_reward,10,-0.06951989528351298,-0.20760547728569723,0.06856568671867129
K0100_alpha0p1,lb_sgb,sgb,expected_pseudo_regret,10,0.06951989528351298,-0.06856568671867129,0.20760547728569723
K0100_alpha0p1,lb_sgb,sgb,cumulative_pseudo_regret,10,247.85461144036043,-58.788165260799815,554.4973881415207
K0100_alpha0p1,lb_sgb,sgb,minimum_probability,10,0.00019023115625415367,0.00012605773423080376,0.0002544045782775036
K0100_alpha0p1,lb_sgb,sgb,normalized_log_fisher_volume,10,1.9068286407328277,1.5034152592696013,2.310242022196054
K0100_alpha0p1,lb_sgb,sgb,entropy,10,0.5862063811451662,0.4210045463352726,0.7514082159550598
K0100_alpha0p1,lb_sgb,sgb,numerically_collapsed,10,0.0,0.0,0.0
K0100_alpha0p1,lb_sgb,entropy_sgb,optimal_arm_probability,10,0.2604950826782725,-0.19091949536009611,0.7119096607166411
K0100_alpha0p1,lb_sgb,entropy_sgb,expected_reward,10,-0.04979357666137282,-0.16211309823117157,0.06252594490842595
K0100_alpha0p1,lb_sgb,entropy_sgb,expected_pseudo_regret,10,0.04979357666137282,-0.06252594490842595,0.16211309823117157
K0100_alpha0p1,lb_sgb,entropy_sgb,cumulative_pseudo_regret,10,98.52939565371689,-175.86905126384636,372.92784257128017
