configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,optimal_arm_probability,0.8853060593187754,0.6665119181227226,1.1041002005148282
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,expected_reward,0.9828681538696387,0.9585224733255465,1.0072138344137307
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,expected_pseudo_regret,0.017131846130361394,-0.007213834413730694,0.04147752667445348
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,cumulative_pseudo_regret,172.27856988346602,115.98344859360985,228.57369117332217
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,minimum_probability,0.00037656656663005136,0.00018616511904625968,0.000566968014213843
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,normalized_log_fisher_volume,-3.9763071281022397,-4.429280119914723,-3.5233341362897566
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,entropy,0.12162908322739015,0.07103478294860588,0.17222338350617442
K0010_alpha0p1,entropy_sgb,10,10,0.0,0.1,0.1,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,optimal_arm_probability,0.4,0.0305912821941971,0.7694087178058029
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,expected_reward,0.8793991629726925,0.7926790697892313,0.9661192561561537
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,expected_pseudo_regret,0.12060083702730742,0.03388074384384626,0.20732093021076858
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,cumulative_pseudo_regret,332.5780511393722,106.54106763731582,558.6150346414286
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,minimum_probability,2.2074130468165364e-82,-2.781264084869591e-82,7.196090178502664e-82
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,normalized_log_fisher_volume,-227.1676830657885,-267.85117064991505,-186.48419548166197
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,entropy,3.544189519251787e-77,-2.5349988859050155e-77,9.62337792440859e-77
K0010_alpha0p1,npg,10,10,0.0,0.6,0.6,numerically_collapsed,1.0,1.0,1.0
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,optimal_arm_probability,0.42753891043135706,0.08771911351472583,0.7673587073479883
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,expected_reward,0.931893311671935,0.8958562686291698,0.9679303547147002
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,expected_pseudo_regret,0.068106688328065,0.032069645285299826,0.10414373137083019
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,cumulative_pseudo_regret,314.5846962207866,204.5206893817051,424.6487030598681
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,minimum_probability,0.0007166416555915975,0.0004512511877042953,0.0009820321234788997
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,normalized_log_fisher_volume,-3.264962350987974,-3.583432942672271,-2.946491759303677
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,entropy,0.2784285104134563,0.11440391239366107,0.4424531084332515
K0010_alpha0p1,lb_sgb,10,10,0.0,0.6,0.6,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,optimal_arm_probability,0.013572839922302054,0.012441368467332679,0.014704311377271429
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,expected_reward,0.049239606857032124,-0.006708015952204667,0.10518722966626892
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,expected_pseudo_regret,0.950760393142968,0.8948127703337312,1.0067080159522048
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,cumulative_pseudo_regret,2455.4427835888573,2315.830039610248,2595.0555275674665
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,minimum_probability,0.007433502419630022,0.007247198114213584,0.007619806725046461
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,normalized_log_fisher_volume,-0.011298527291696382,-0.01250305148991657,-0.010094003093476193
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,entropy,4.593753582617593,4.592472301972252,4.595034863262933
K0100_alpha0p01,sgb,10,10,0.0,0.6,1.0,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,optimal_arm_probability,0.01308127508258124,0.012432787237154855,0.013729762928007625
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,expected_reward,0.04985716191864382,-0.005269629986475156,0.1049839538237628
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,expected_pseudo_regret,0.9501428380813561,0.8950160461762372,1.0052696299864752
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,cumulative_pseudo_regret,2476.0232316100005,2328.5576806430768,2623.488782576924
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,minimum_probability,0.007331655724426305,0.007187108876762869,0.0074762025720897405
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,normalized_log_fisher_volume,-0.011414544975711038,-0.012767820668224544,-0.010061269283197533
