update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,555.232544854984,True
2,8000,-500.0,500.0,555.232544854984,True
3,12000,-500.0,500.0,555.232544854984,True
4,16000,-500.0,500.0,555.232544854984,True
5,20000,-500.0,500.0,555.232544854984,True
6,23955,-494.25,494.375,555.232544854984,True
7,27955,-500.0,500.0,555.232544854984,True
8,31955,-500.0,500.0,555.232544854984,True
9,35955,-500.0,500.0,555.232544854984,True
10,39955,-500.0,500.0,555.232544854984,True
11,43955,-500.0,500.0,555.232544854984,True
12,47955,-500.0,500.0,555.232544854984,True
13,51200,-295.0,295.0,555.232544854984,True
