update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,8000,8,16,-500.0,500.0,546.4135158976487,True
3,12000,8,24,-500.0,500.0,546.4135158976487,True
4,16000,8,32,-500.0,500.0,546.4135158976487,True
5,20000,8,40,-500.0,500.0,546.4135158976487,True
6,24000,8,48,-500.0,500.0,546.4135158976487,True
7,28000,8,56,-500.0,500.0,546.4135158976487,True
8,32000,8,64,-500.0,500.0,546.4135158976487,True
9,36000,8,72,-500.0,500.0,546.4135158976487,True
10,40000,8,80,-500.0,500.0,546.4135158976487,True
11,44000,8,88,-500.0,500.0,546.4135158976487,True
12,48000,8,96,-500.0,500.0,546.4135158976487,True
13,52000,8,104,-500.0,500.0,546.4135158976487,True
14,56000,8,112,-500.0,500.0,546.4135158976487,True
15,60000,8,120,-500.0,500.0,546.4135158976487,True
16,63990,8,128,-498.625,498.75,546.4135158976487,True
17,67990,8,136,-500.0,500.0,546.4135158976487,True
18,71990,8,144,-500.0,500.0,546.4135158976487,True
19,75990,8,152,-500.0,500.0,546.4135158976487,True
20,79990,8,160,-500.0,500.0,546.4135158976487,True
21,83990,8,168,-500.0,500.0,546.4135158976487,True
22,87990,8,176,-500.0,500.0,546.4135158976487,True
23,91990,8,184,-500.0,500.0,546.4135158976487,True
24,95990,8,192,-500.0,500.0,546.4135158976487,True
25,99990,8,200,-500.0,500.0,546.4135158976487,True
26,103990,8,208,-500.0,500.0,546.4135158976487,True
27,107990,8,216,-500.0,500.0,546.4135158976487,True
28,111990,8,224,-500.0,500.0,546.4135158976487,True
29,115990,8,232,-500.0,500.0,546.4135158976487,True
30,119990,8,240,-500.0,500.0,546.4135158976487,True
31,123990,8,248,-500.0,500.0,546.4135158976487,True
32,127990,8,256,-500.0,500.0,546.4135158976487,True
33,131990,8,264,-500.0,500.0,546.4135158976487,True
34,135990,8,272,-500.0,500.0,546.4135158976487,True
35,139990,8,280,-500.0,500.0,546.4135158976487,True
36,143990,8,288,-500.0,500.0,546.4135158976487,True
37,147990,8,296,-500.0,500.0,546.4135158976487,True
38,151990,8,304,-500.0,500.0,546.4135158976487,True
39,155990,8,312,-500.0,500.0,546.4135158976487,True
40,159990,8,320,-500.0,500.0,546.4135158976487,True
41,163990,8,328,-500.0,500.0,546.4135158976487,True
42,167990,8,336,-500.0,500.0,546.4135158976487,True
43,171990,8,344,-500.0,500.0,546.4135158976487,True
44,175990,8,352,-500.0,500.0,546.4135158976487,True
45,179990,8,360,-500.0,500.0,546.4135158976487,True
46,183990,8,368,-500.0,500.0,546.4135158976487,True
47,187990,8,376,-500.0,500.0,546.4135158976487,True
48,191990,8,384,-500.0,500.0,546.4135158976487,True
49,195990,8,392,-500.0,500.0,546.4135158976487,True
50,199990,8,400,-500.0,500.0,546.4135158976487,True
51,203990,8,408,-500.0,500.0,546.4135158976487,True
52,207990,8,416,-500.0,500.0,546.4135158976487,True
53,211990,8,424,-500.0,500.0,546.4135158976487,True
54,215990,8,432,-500.0,500.0,546.4135158976487,True
55,219990,8,440,-500.0,500.0,546.4135158976487,True
56,223990,8,448,-500.0,500.0,546.4135158976487,True
57,227990,8,456,-500.0,500.0,546.4135158976487,True
58,231990,8,464,-500.0,500.0,546.4135158976487,True
59,235990,8,472,-500.0,500.0,546.4135158976487,True
60,239990,8,480,-500.0,500.0,546.4135158976487,True
61,243990,8,488,-500.0,500.0,546.4135158976487,True
62,247990,8,496,-500.0,500.0,546.4135158976487,True
63,251969,8,504,-497.25,497.375,546.4135158976487,True
64,255969,8,512,-500.0,500.0,546.4135158976487,True
65,259969,8,520,-500.0,500.0,546.4135158976487,True
66,263969,8,528,-500.0,500.0,546.4135158976487,True
67,267969,8,536,-500.0,500.0,546.4135158976487,True
68,271969,8,544,-500.0,500.0,546.4135158976487,True
69,275969,8,552,-500.0,500.0,546.4135158976487,True
70,279969,8,560,-500.0,500.0,546.4135158976487,True
71,283969,8,568,-500.0,500.0,546.4135158976487,True
72,287969,8,576,-500.0,500.0,546.4135158976487,True
73,291969,8,584,-500.0,500.0,546.4135158976487,True
74,295969,8,592,-500.0,500.0,546.4135158976487,True
75,299969,8,600,-500.0,500.0,546.4135158976487,True
76,303969,8,608,-500.0,500.0,546.4135158976487,True
77,307969,8,616,-500.0,500.0,546.4135158976487,True
78,311969,8,624,-500.0,500.0,546.4135158976487,True
79,315969,8,632,-500.0,500.0,546.4135158976487,True
80,319969,8,640,-500.0,500.0,546.4135158976487,True
81,323969,8,648,-500.0,500.0,546.4135158976487,True
82,327969,8,656,-500.0,500.0,546.4135158976487,True
83,331969,8,664,-500.0,500.0,546.4135158976487,True
84,335969,8,672,-500.0,500.0,546.4135158976487,True
85,339969,8,680,-500.0,500.0,546.4135158976487,True
86,343969,8,688,-500.0,500.0,546.4135158976487,True
87,347912,8,696,-492.75,492.875,546.4135158976487,True
88,351912,8,704,-500.0,500.0,546.4135158976487,True
89,355881,8,712,-496.0,496.125,546.4135158976487,True
90,359881,8,720,-500.0,500.0,546.4135158976487,True
91,363881,8,728,-500.0,500.0,546.4135158976487,True
92,367881,8,736,-500.0,500.0,546.4135158976487,True
93,371881,8,744,-500.0,500.0,546.4135158976487,True
94,375881,8,752,-500.0,500.0,546.4135158976487,True
95,379881,8,760,-500.0,500.0,546.4135158976487,True
96,383881,8,768,-500.0,500.0,546.4135158976487,True
97,387881,8,776,-500.0,500.0,546.4135158976487,True
98,391881,8,784,-500.0,500.0,546.4135158976487,True
99,395881,8,792,-500.0,500.0,546.4135158976487,True
100,399881,8,800,-500.0,500.0,546.4135158976487,True
101,403881,8,808,-500.0,500.0,546.4135158976487,True
102,407881,8,816,-500.0,500.0,546.4135158976487,True
103,411881,8,824,-500.0,500.0,546.4135158976487,True
104,415881,8,832,-500.0,500.0,546.4135158976487,True
105,419881,8,840,-500.0,500.0,546.4135158976487,True
106,423881,8,848,-500.0,500.0,546.4135158976487,True
107,427881,8,856,-500.0,500.0,546.4135158976487,True
108,431881,8,864,-500.0,500.0,546.4135158976487,True
109,435881,8,872,-500.0,500.0,546.4135158976487,True
110,439881,8,880,-500.0,500.0,546.4135158976487,True
111,443881,8,888,-500.0,500.0,546.4135158976487,True
112,447881,8,896,-500.0,500.0,546.4135158976487,True
113,451881,8,904,-500.0,500.0,546.4135158976487,True
114,455881,8,912,-500.0,500.0,546.4135158976487,True
115,459881,8,920,-500.0,500.0,546.4135158976487,True
116,463881,8,928,-500.0,500.0,546.4135158976487,True
117,467881,8,936,-500.0,500.0,546.4135158976487,True
118,471881,8,944,-500.0,500.0,546.4135158976487,True
119,475881,8,952,-500.0,500.0,546.4135158976487,True
120,479881,8,960,-500.0,500.0,546.4135158976487,True
121,483881,8,968,-500.0,500.0,546.4135158976487,True
122,487881,8,976,-500.0,500.0,546.4135158976487,True
123,491881,8,984,-500.0,500.0,546.4135158976487,True
124,495881,8,992,-500.0,500.0,546.4135158976487,True
125,499881,8,1000,-500.0,500.0,546.4135158976487,True
126,503881,8,1008,-500.0,500.0,546.4135158976487,True
127,507881,8,1016,-500.0,500.0,546.4135158976487,True
