iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
41,-1.0309,15.8575,2.077626e-04,1.959733e+02,1.959733e+02,0.835632,0.55805,2.9189,30.4099,96.94,0.0941,0.0041,0.0982
42,9.0537,15.8575,2.776968e-05,2.875333e+02,2.875333e+02,0.840182,0.560595,10.7481,38.472,94.5,0.104,0.0051,0.109
43,-0.9322,15.8575,4.193818e-05,1.596934e+02,1.596934e+02,0.841876,0.561545,4.4956,31.9159,98.41,0.1529,0.0044,0.1572
44,-0.7551,15.8575,2.312537e-04,1.877508e+02,1.877508e+02,0.844051,0.562768,2.4801,29.596,96.41,0.0954,0.0042,0.0996
45,5.6628,15.8575,2.642917e-04,4.923134e+01,4.923134e+01,0.846312,0.564042,8.9102,36.7897,96.38,0.1005,0.0057,0.1062
46,5.0214,15.8575,1.480113e-04,8.011448e+01,8.011448e+01,0.84923,0.56569,7.3241,35.93,94.97,0.1708,0.0044,0.1752
47,-4.2464,15.8575,1.407234e-04,4.381709e+01,4.381709e+01,0.85121,0.566811,0.0428,26.0593,97.31,0.1014,0.0047,0.1061
48,5.0258,15.8575,6.157205e-04,2.875986e+02,2.875986e+02,0.853621,0.568179,8.3687,36.6839,96.03,0.1694,0.0055,0.1749
49,1.7455,15.8575,2.566472e-04,1.403328e+02,1.403328e+02,0.856577,0.569862,5.5294,33.7808,96.53,0.1106,0.0044,0.115
50,-5.0997,15.8575,1.484664e-04,1.039212e+02,1.039212e+02,0.86077,0.572257,-0.5635,25.8388,97.28,0.0989,0.0043,0.1031
51,1.502,15.8575,1.179898e-04,2.613431e+01,2.613431e+01,0.864227,0.574238,5.3369,33.9551,96.44,0.1159,0.0052,0.1211
52,4.831,15.8575,2.064350e-04,1.028708e+02,1.028708e+02,0.868379,0.576627,5.7311,34.4121,93.22,0.0998,0.0046,0.1044
53,7.234,15.8575,2.565418e-04,6.500974e+01,6.500974e+01,0.872699,0.579123,8.6614,37.7156,93.09,0.1095,0.0047,0.1142
54,-5.2716,15.8575,3.218512e-04,1.319084e+02,1.319084e+02,0.878682,0.582599,-0.5876,26.195,97.41,0.1348,0.0042,0.139
55,7.2205,15.8575,5.018592e-04,1.179543e+02,1.179543e+02,0.883633,0.58549,7.4305,36.9767,92.09,0.1534,0.0046,0.158
56,6.5927,15.8575,4.691806e-04,8.082363e+01,8.082363e+01,0.886749,0.587318,8.2161,37.9119,93.22,0.0975,0.0045,0.1021
57,0.159,15.8575,4.334834e-04,4.594495e+01,4.594495e+01,0.890286,0.589398,4.277,33.2933,95.97,0.0964,0.0041,0.1005
58,5.5457,15.8575,1.479950e-04,2.077325e+02,2.077325e+02,0.89605,0.592806,11.3138,40.3265,97.19,0.1042,0.0063,0.1105
59,16.0259,16.0259,2.237336e-04,1.821609e+02,1.821609e+02,0.898395,0.594197,18.5355,44.8556,93.38,0.1246,0.005,0.1296
60,6.2822,16.0259,1.457889e-04,6.434525e+01,6.434525e+01,0.901463,0.596023,8.7831,38.3717,93.94,0.1241,0.0049,0.129
61,-0.9787,16.0259,5.165671e-04,2.427302e+02,2.427302e+02,0.906687,0.599145,4.6066,34.3088,97.03,0.1183,0.0043,0.1226
62,11.6785,16.0259,3.067853e-04,1.706660e+02,1.706660e+02,0.913864,0.60346,14.7902,43.0605,93.66,0.0998,0.0042,0.104
63,11.3348,16.0259,4.949382e-04,1.608761e+02,1.608761e+02,0.922405,0.608637,13.6995,42.4039,92.62,0.1139,0.0067,0.1206
64,22.3472,22.3472,7.953834e-05,2.389895e+02,2.389895e+02,0.93033,0.61348,20.4661,46.615,87.28,0.1086,0.0056,0.1141
65,11.2924,22.3472,1.851657e-04,1.292526e+02,1.292526e+02,0.938143,0.618291,12.8853,42.3623,91.66,0.0894,0.0044,0.0938
66,13.9817,22.3472,1.226987e-04,2.897899e+02,2.897899e+02,0.945524,0.622872,16.3569,44.8052,92.12,0.1065,0.0041,0.1106
67,10.6144,22.3472,6.428197e-05,1.508078e+02,1.508078e+02,0.952853,0.627454,14.5498,43.3128,94.06,0.0851,0.0041,0.0891
68,26.6152,26.6152,3.934873e-04,2.999547e+02,2.999547e+02,0.96113,0.632669,28.25,49.3653,89.44,0.0923,0.0052,0.0976
69,12.7306,26.6152,6.436963e-05,2.171335e+02,2.171335e+02,0.967215,0.63653,18.0759,45.611,94.84,0.1362,0.0045,0.1406
70,6.4992,26.6152,6.443563e-05,6.282523e+01,6.282523e+01,0.972078,0.639634,11.4929,41.9234,95.03,0.1092,0.0046,0.1138
71,10.1197,26.6152,9.563466e-05,3.249590e+02,3.249590e+02,0.981103,0.645432,13.0993,42.6228,92.56,0.1215,0.004,0.1255
72,9.1907,26.6152,1.462228e-04,1.403268e+02,1.403268e+02,0.988399,0.650158,14.1126,43.6285,94.06,0.0843,0.0042,0.0885
73,19.4418,26.6152,7.566673e-05,1.848438e+02,1.848438e+02,0.995663,0.654898,21.0065,47.6305,89.81,0.0857,0.0042,0.0899
74,19.8024,26.6152,4.274412e-05,1.723719e+02,1.723719e+02,0.999866,0.657656,20.8982,47.3514,89.47,0.1057,0.004,0.1097
75,13.1177,26.6152,4.247209e-04,3.997389e+02,3.997389e+02,1.004682,0.660831,14.4755,44.5339,90.62,0.0843,0.004,0.0882
76,16.5752,26.6152,2.960340e-04,9.350471e+01,9.350471e+01,1.007717,0.66284,18.2098,45.8978,90.59,0.1246,0.0044,0.129
77,30.1737,30.1737,4.454583e-04,2.188755e+02,2.188755e+02,1.013093,0.666413,27.6331,49.5701,83.88,0.0988,0.0048,0.1037
78,26.21,30.1737,7.334980e-04,2.282164e+02,2.282164e+02,1.020613,0.671443,25.7596,49.2574,86.75,0.0893,0.004,0.0933
79,25.61,30.1737,3.302469e-04,1.350465e+02,1.350465e+02,1.027414,0.676026,28.2517,49.7567,90.25,0.108,0.0041,0.112
80,4.2457,30.1737,2.204190e-04,1.004820e+02,1.004820e+02,1.034861,0.681079,5.4034,36.833,91.47,0.0882,0.004,0.0922
81,29.2855,30.1737,3.332507e-04,5.143022e+02,5.143022e+02,1.043525,0.687005,31.622,50.1493,89.75,0.0964,0.0043,0.1007
82,22.3111,30.1737,2.016904e-04,2.519295e+02,2.519295e+02,1.0545,0.694586,24.2733,48.5551,89.78,0.1063,0.0042,0.1105
83,13.1619,30.1737,1.773748e-04,1.522345e+02,1.522345e+02,1.066427,0.70292,15.2814,44.3137,91.34,0.0863,0.004,0.0903
84,24.8835,30.1737,2.775126e-04,1.726882e+02,1.726882e+02,1.077357,0.710646,28.0522,49.5441,90.38,0.12,0.0049,0.1249
85,35.5903,35.5903,2.843036e-04,1.318410e+02,1.318410e+02,1.085578,0.716512,36.0205,51.1307,85.56,0.152,0.005,0.1569
86,29.223,35.5903,2.589959e-04,8.796618e+01,8.796618e+01,1.092006,0.721132,28.0696,49.8361,84.88,0.1288,0.0043,0.1331
87,25.3947,35.5903,6.594734e-04,3.156476e+02,3.156476e+02,1.101128,0.727741,25.2294,48.8298,86.59,0.109,0.0043,0.1133
88,54.2784,54.2784,4.236948e-04,9.557999e+01,9.557999e+01,1.108463,0.733099,55.1392,49.4881,79.59,0.0976,0.0047,0.1023
89,44.9351,54.2784,1.019759e-04,2.581454e+02,2.581454e+02,1.113508,0.736806,43.1939,51.8106,79.31,0.089,0.0042,0.0932
90,44.5256,54.2784,9.807730e-05,1.890001e+02,1.890001e+02,1.120448,0.741937,44.5446,51.2893,81.69,0.1102,0.0039,0.1142
91,49.1768,54.2784,9.174770e-05,8.325851e+01,8.325851e+01,1.127714,0.747348,45.9856,51.6305,76.47,0.0921,0.0039,0.0959
92,45.334,54.2784,1.032996e-04,1.064514e+02,1.064514e+02,1.133443,0.751642,42.4591,51.7734,77.78,0.1007,0.0037,0.1044
93,43.2725,54.2784,1.539422e-04,1.597364e+02,1.597364e+02,1.140501,0.756966,44.8998,50.9608,83.69,0.0822,0.0039,0.0861
94,49.0379,54.2784,7.230044e-04,3.356765e+02,3.356765e+02,1.146603,0.761598,52.3529,49.6933,83.69,0.082,0.0038,0.0859
95,40.0707,54.2784,1.937728e-03,3.643068e+02,3.643068e+02,1.153617,0.766959,41.0615,51.3156,83.59,0.1042,0.004,0.1082
96,53.3107,54.2784,3.056003e-04,4.848824e+02,4.848824e+02,1.156554,0.769216,53.0212,50.3452,76.06,0.0885,0.0037,0.0922
97,36.8283,54.2784,1.586292e-04,4.040589e+02,4.040589e+02,1.157352,0.76983,35.8559,51.9684,81.38,0.1099,0.0038,0.1137
98,66.616,66.616,1.466574e-04,6.780062e+01,6.780062e+01,1.15729,0.769782,68.1061,43.0716,71.0,0.0916,0.0046,0.0962
99,43.4098,66.616,1.343654e-04,2.998969e+02,2.998969e+02,1.155935,0.76874,41.4784,52.0067,77.97,0.1004,0.0039,0.1043
100,53.9171,66.616,9.000544e-05,8.853039e+01,8.853039e+01,1.155561,0.768452,51.5582,50.684,73.12,0.1134,0.0041,0.1175
101,46.6643,66.616,8.843619e-05,1.909130e+02,1.909130e+02,1.153599,0.766945,44.6899,52.19,76.78,0.0974,0.0039,0.1012
102,60.8446,66.616,2.627799e-04,2.164776e+02,2.164776e+02,1.1498,0.764037,60.3143,47.8417,72.56,0.1018,0.0039,0.1057
103,53.1097,66.616,1.060259e-04,1.801043e+02,1.801043e+02,1.146221,0.761308,52.7725,49.6988,76.69,0.0936,0.0039,0.0975
104,57.5684,66.616,1.655011e-04,2.012127e+02,2.012127e+02,1.143836,0.759494,55.4989,49.8272,72.16,0.084,0.0036,0.0876
105,66.6603,66.6603,1.020663e-04,2.133511e+02,2.133511e+02,1.141636,0.757825,68.2658,43.2455,71.88,0.0834,0.0048,0.0881
106,60.8373,66.6603,3.061184e-04,3.206393e+02,3.206393e+02,1.139757,0.756403,59.3077,48.3461,70.38,0.1038,0.0039,0.1077
107,58.4291,66.6603,5.273507e-05,1.966598e+02,1.966598e+02,1.137383,0.754609,61.6353,46.2193,79.31,0.0962,0.0039,0.1001
108,63.4096,66.6603,7.767201e-04,4.251312e+02,4.251312e+02,1.134714,0.752598,64.1863,45.6813,72.84,0.1317,0.0039,0.1356
109,83.6976,83.6976,9.859307e-04,7.381023e+01,7.381023e+01,1.132326,0.750803,90.935,5.7712,65.91,0.0886,0.0046,0.0933
110,78.2699,83.6976,1.756522e-03,2.357397e+02,2.357397e+02,1.127891,0.74748,81.6005,31.2447,64.75,0.1199,0.0066,0.1265
111,65.3003,83.6976,2.066891e-03,1.008265e+02,1.008265e+02,1.123485,0.744194,63.51,46.5855,68.16,0.0935,0.0039,0.0975
112,64.7844,83.6976,4.543578e-03,3.650907e+02,3.650907e+02,1.120349,0.741864,63.8358,46.4288,69.88,0.1045,0.0036,0.1081
113,85.4365,85.4365,3.851755e-03,2.134171e+01,2.134171e+01,1.117578,0.739811,91.5191,5.2411,61.84,0.0947,0.0049,0.0996
114,75.7761,85.4365,2.621190e-03,1.186960e+02,1.186960e+02,1.115818,0.73851,77.87,35.5228,68.38,0.1147,0.0037,0.1183
115,76.4861,85.4365,5.219530e-05,5.852156e+02,5.852156e+02,1.11228,0.735902,77.0644,36.9346,64.44,0.089,0.0036,0.0926
116,72.3611,85.4365,7.273520e-04,3.369533e+02,3.369533e+02,1.107208,0.732179,72.9454,40.1391,67.59,0.0917,0.0036,0.0953
117,80.652,85.4365,4.358417e-04,7.737390e+01,7.737390e+01,1.102149,0.728484,81.6899,32.4821,58.34,0.0908,0.0036,0.0944
118,84.0074,85.4365,6.195846e-04,1.268357e+02,1.268357e+02,1.096958,0.724712,87.1056,23.3546,59.22,0.0953,0.0034,0.0988
119,85.6517,85.6517,6.307850e-04,3.141000e+01,3.141000e+01,1.091958,0.721098,91.974,4.8326,63.03,0.0996,0.0046,0.1042
120,79.8791,85.6517,2.140720e-04,1.855589e+02,1.855589e+02,1.085893,0.716738,81.9476,31.0322,63.28,0.087,0.0035,0.0904
121,79.0328,85.6517,8.711404e-04,4.629496e+02,4.629496e+02,1.080711,0.713033,81.8221,31.1792,65.09,0.0798,0.0035,0.0833
122,86.6042,86.6042,5.955650e-04,4.210442e+01,4.210442e+01,1.075906,0.709615,92.1276,4.9994,60.31,0.0816,0.0046,0.0861
123,80.4545,86.6042,1.486097e-03,2.190658e+02,2.190658e+02,1.070515,0.7058,81.5484,32.1532,59.03,0.1067,0.0044,0.1111
124,83.9444,86.6042,5.114361e-04,1.697598e+02,1.697598e+02,1.066483,0.70296,86.8286,24.1183,56.78,0.0952,0.0034,0.0986
125,87.6962,87.6962,3.955252e-04,2.031564e+01,2.031564e+01,1.062661,0.700278,92.708,4.5935,54.44,0.0942,0.0046,0.0988
126,87.3035,87.6962,2.848779e-04,2.162322e+01,2.162322e+01,1.059008,0.697724,92.7982,4.3706,55.94,0.0815,0.0034,0.0849
127,85.0865,87.6962,4.823589e-04,1.034167e+02,1.034167e+02,1.056713,0.696125,87.2433,24.874,52.69,0.0741,0.0033,0.0774
128,84.3852,87.6962,6.298970e-04,8.603916e+01,8.603916e+01,1.055286,0.695133,87.0361,24.3451,56.28,0.0921,0.0033,0.0954
129,87.8144,87.8144,4.793887e-04,2.327954e+01,2.327954e+01,1.053951,0.694205,92.8427,4.3949,53.59,0.0784,0.0044,0.0828
130,84.7863,87.8144,2.280102e-05,2.451574e+02,2.451574e+02,1.052962,0.69352,87.2188,24.7001,53.72,0.1089,0.0033,0.1122
131,88.6811,88.6811,3.360233e-05,2.414973e+01,2.414973e+01,1.05193,0.692804,93.3752,3.947,48.12,0.0753,0.0041,0.0793
132,84.2501,88.6811,2.977726e-04,2.260211e+02,2.260211e+02,1.050157,0.691576,87.06,24.1861,54.97,0.0965,0.0034,0.0999
133,88.5539,88.6811,3.050917e-04,2.142766e+01,2.142766e+01,1.048495,0.690428,93.3502,3.9271,49.09,0.067,0.0031,0.0701
