seed,reward_deterministic_return_at_handoff,handoff_deterministic_return_at_handoff,reference_greedy_action_agreement,reference_disagreement_state_count,reference_state_count,reward_reference_entropy_mean,handoff_reference_entropy_mean,reward_reference_entropy_q10,reward_reference_entropy_q50,reward_reference_entropy_q90,handoff_reference_entropy_q10,handoff_reference_entropy_q50,handoff_reference_entropy_q90,reward_reference_margin_mean,handoff_reference_margin_mean,reward_visitation_frequency_of_disagreement_region,handoff_visitation_frequency_of_disagreement_region
501,-81.25,-85.71875,0.87890625,31,256,0.9693467617034912,1.0588891506195068,0.8140710592269897,0.9785476922988892,1.0912268161773682,1.0047980546951294,1.0680500268936157,1.095859408378601,0.23480655252933502,0.14135947823524475,0.11865234375,0.154296875
502,-92.09375,-84.75,0.8515625,38,256,0.7290675640106201,1.0664262771606445,0.507506251335144,0.662020742893219,1.0688501596450806,1.0195591449737549,1.07712984085083,1.0963108539581299,0.5060678720474243,0.12571574747562408,0.13037109375,0.1416015625
503,-124.3125,-86.90625,0.90625,24,256,0.7560099959373474,1.047012209892273,0.5419036746025085,0.7168664932250977,1.0339397192001343,0.9795130491256714,1.0602160692214966,1.095779299736023,0.5051892995834351,0.15495124459266663,0.0771484375,0.0810546875
504,-98.65625,-235.0,0.80078125,51,256,0.478702187538147,1.0569707155227661,0.26128077507019043,0.3441562354564667,0.9158138036727905,1.0025551319122314,1.0680861473083496,1.0959844589233398,0.7372053265571594,0.11465124785900116,0.17529296875,0.2451171875
505,-88.8125,-82.125,0.8984375,26,256,0.6123620271682739,1.0544350147247314,0.26475661993026733,0.5564075708389282,1.0210950374603271,0.9937555193901062,1.0681822299957275,1.0972647666931152,0.6214419007301331,0.13696995377540588,0.07568359375,0.08349609375
506,-500.0,-88.375,0.03515625,247,256,1.0603034496307373,1.0685720443725586,1.0138092041015625,1.0672048330307007,1.088198184967041,1.0247275829315186,1.0782480239868164,1.097965955734253,0.15893355011940002,0.10164989531040192,0.9248046875,0.9560546875
507,-84.21875,-82.0,0.859375,36,256,0.6922891736030579,1.054794192314148,0.37387579679489136,0.6425894498825073,1.0585181713104248,0.9865986108779907,1.0693315267562866,1.097834587097168,0.4750431776046753,0.13218842446804047,0.1025390625,0.15380859375
508,-500.0,-500.0,0.03515625,247,256,1.0262138843536377,1.095199465751648,0.9072789549827576,1.066346526145935,1.094081163406372,1.0930830240249634,1.0951197147369385,1.0972963571548462,0.21330700814723969,0.02508300542831421,1.0,0.99951171875
509,-102.0,-85.59375,0.85546875,37,256,0.4659588932991028,1.0617189407348633,0.16158682107925415,0.35151344537734985,0.9749312400817871,1.0039315223693848,1.07456374168396,1.0975993871688843,0.7185609936714172,0.12105651199817657,0.13623046875,0.13818359375
510,-500.0,-500.0,0.859375,36,256,1.0726072788238525,1.0950419902801514,1.0457196235656738,1.0762990713119507,1.0900187492370605,1.089503288269043,1.0964279174804688,1.097790002822876,0.10935893654823303,0.03179416060447693,0.19873046875,0.2177734375
511,-96.875,-82.5625,0.92578125,19,256,0.904277503490448,1.0632472038269043,0.7336488962173462,0.8911310434341431,1.0765304565429688,1.0137860774993896,1.0728509426116943,1.0976781845092773,0.3730548620223999,0.12219887226819992,0.04736328125,0.0615234375
512,-500.0,-103.96875,0.01953125,251,256,1.0282132625579834,1.0560195446014404,0.9671883583068848,1.0303435325622559,1.08795166015625,0.9860198497772217,1.0692144632339478,1.0964646339416504,0.04714047908782959,0.12552231550216675,1.0,0.9921875
513,-82.0,-95.5625,0.90625,24,256,0.6252788305282593,1.0694040060043335,0.38348695635795593,0.5311896204948425,1.0220173597335815,1.0226043462753296,1.0827770233154297,1.0972408056259155,0.6119728684425354,0.11605753749608994,0.09423828125,0.109375
