seed,outcome_group,run_label,failure,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,environment_step_return_auc,first_deterministic_return_ge_minus300_update,first_deterministic_return_ge_minus100_update,first_stochastic_return_ge_minus300_update,first_stochastic_return_ge_minus100_update,reference_entropy_mean_at_handoff,reference_entropy_q10_at_handoff,reference_entropy_q50_at_handoff,reference_entropy_q90_at_handoff,reference_action_margin_mean_at_handoff,paired_reference_greedy_action_agreement,paired_reference_disagreement_state_count,reference_state_count,visitation_frequency_of_paired_disagreement_region,stochastic_return_u0000,deterministic_return_u0000,stochastic_return_u0050,deterministic_return_u0050,stochastic_return_u0100,deterministic_return_u0100,stochastic_return_u0150,deterministic_return_u0150,stochastic_return_u0200,deterministic_return_u0200,stochastic_return_u0249,deterministic_return_u0249,stochastic_return_u0250,deterministic_return_u0250,stochastic_return_u0251,deterministic_return_u0251,stochastic_return_u0300,deterministic_return_u0300,stochastic_return_u0350,deterministic_return_u0350,stochastic_return_u0400,deterministic_return_u0400,stochastic_return_u0450,deterministic_return_u0450,stochastic_return_u0500,deterministic_return_u0500,stochastic_return_u0550,deterministic_return_u0550,stochastic_return_u0750,deterministic_return_u0750,stochastic_return_u0850,deterministic_return_u0850,stochastic_return_u1000,deterministic_return_u1000
545,reward_succeeded_handoff_failed,logbarrier_handoff_h25,True,-484.46875,-500.0,0.25,-498.91490835998366,,,,,1.0957324504852295,1.0927554368972778,1.096440076828003,1.0980812311172485,0.036564018577337265,0.3125,176,256,0.6728515625,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-494.34375,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-498.21875,-500.0,-484.46875,-500.0
545,reward_succeeded_handoff_failed,reward_only,False,-97.0625,-86.5625,1.0,-476.32504049786866,850,850,850,1000,1.057303786277771,1.0042352676391602,1.0653226375579834,1.090652585029602,0.13737307488918304,0.3125,176,256,0.6708984375,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-499.75,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-499.34375,-500.0,-173.5,-91.6875,-97.0625,-86.5625
550,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-87.6875,-90.8125,1.0,-360.76895885442474,300,450,300,550,1.091491937637329,1.0812747478485107,1.0945308208465576,1.0971081256866455,0.04853641241788864,0.01953125,251,256,0.9990234375,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-272.5,-248.34375,-116.5,-112.96875,-109.03125,-374.90625,-104.3125,-97.375,-104.625,-90.6875,-91.75,-83.96875,-91.5,-84.09375,-105.21875,-209.5625,-87.6875,-90.8125
550,reward_failed_handoff_succeeded,reward_only,True,-500.0,-500.0,0.0,-500.0,,,,,1.050245761871338,0.9868802428245544,1.0583305358886719,1.0971615314483643,0.14602717757225037,0.01953125,251,256,0.9990234375,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
556,reward_succeeded_handoff_failed,logbarrier_handoff_h25,True,-500.0,-500.0,0.0,-499.58199784056285,200,,,,1.09600031375885,1.09330415725708,1.0964213609695435,1.0978760719299316,0.023143775761127472,0.44140625,143,256,0.36865234375,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-491.53125,-266.90625,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-491.1875,-500.0,-500.0,-500.0,-500.0
556,reward_succeeded_handoff_failed,reward_only,False,-81.625,-84.0,1.0,-248.59039183188918,100,350,150,400,0.7391482591629028,0.522351861000061,0.6800307035446167,1.0365681648254395,0.4967246651649475,0.44140625,143,256,0.66015625,-500.0,-500.0,-500.0,-500.0,-446.25,-255.5,-167.46875,-266.875,-121.40625,-133.5625,,,-110.40625,-166.25,,,-106.75,-128.78125,-100.9375,-84.15625,-93.9375,-84.65625,-87.96875,-80.375,-92.5,-80.3125,-88.34375,-81.59375,-80.09375,-83.21875,-88.15625,-82.15625,-81.625,-84.0
557,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-93.96875,-154.40625,1.0,-306.1197225090786,200,200,200,500,1.0623666048049927,1.0113575458526611,1.0699007511138916,1.0947902202606201,0.14781610667705536,0.0625,240,256,0.9228515625,-500.0,-500.0,-500.0,-500.0,-499.375,-500.0,-499.8125,-500.0,-263.21875,-86.1875,-238.84375,-89.09375,-242.65625,-92.5625,-251.03125,-114.125,-131.125,-213.65625,-112.6875,-96.875,-109.40625,-94.5625,-107.28125,-84.53125,-99.0625,-83.03125,-96.71875,-81.0,-96.5625,-85.59375,-98.71875,-107.9375,-93.96875,-154.40625
557,reward_failed_handoff_succeeded,reward_only,True,-500.0,-492.625,0.0,-500.0,,,,,1.074957251548767,1.0496776103973389,1.0811831951141357,1.088922142982483,0.1018187403678894,0.0625,240,256,0.86181640625,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-492.625
560,reward_failed_handoff_succeeded,logbarrier_handoff_h25,False,-107.15625,-81.90625,1.0,-372.40831864204165,300,350,350,500,1.096848726272583,1.0956916809082031,1.0971721410751343,1.0978375673294067,0.021282510831952095,0.7265625,70,256,0.23876953125,-500.0,-500.0,-500.0,-500.0,-498.09375,-322.34375,-500.0,-500.0,-500.0,-500.0,-491.4375,-500.0,-500.0,-500.0,-500.0,-500.0,-485.59375,-155.375,-187.40625,-86.34375,-127.84375,-92.75,-110.65625,-82.0625,-98.78125,-83.0,-95.9375,-80.96875,-93.40625,-77.46875,-97.34375,-86.09375,-107.15625,-81.90625
560,reward_failed_handoff_succeeded,reward_only,True,-500.0,-500.0,0.0,-500.0,,,,,1.0040397644042969,0.9036775827407837,1.0054768323898315,1.0848931074142456,0.1976790726184845,0.7265625,70,256,0.2041015625,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,,,-500.0,-500.0,,,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
