run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
reward_only,gpomdp_reward_only,522,True,0.003,-85.5625,-83.5625,1.0,-132.6046875,1075328,1000,8000,-215.284691624323,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,522,True,0.003,-94.28125,-92.0,1.0,-156.62775,1226893,1000,8000,-225.3751410957394,False
reward_only,gpomdp_reward_only,523,True,0.003,-77.53125,-81.75,1.0,-111.69453125,932510,1000,8000,-154.69067139695554,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,523,True,0.003,-93.71875,-88.6875,1.0,-145.06765625,1174441,1000,8000,-194.63315713869406,False
reward_only,gpomdp_reward_only,524,True,0.003,-81.15625,-84.34375,1.0,-116.93515625,966989,1000,8000,-159.5158776366639,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,524,True,0.003,-83.0625,-82.6875,1.0,-173.6546875,1399040,1000,8000,-276.72520227039615,False
reward_only,gpomdp_reward_only,525,True,0.003,-84.46875,-89.90625,1.0,-108.65703125,844944,1000,8000,-127.29075545613082,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,525,True,0.003,-80.34375,-82.75,1.0,-146.70196875,1148978,1000,8000,-184.7329237102451,False
reward_only,gpomdp_reward_only,526,True,0.003,-81.84375,-87.625,1.0,-106.2359375,861761,1000,8000,-133.51002944479387,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,526,True,0.003,-86.09375,-79.375,1.0,-162.505390625,1289002,1000,8000,-248.97381711054365,False
reward_only,gpomdp_reward_only,527,True,0.003,-85.46875,-78.96875,1.0,-189.13203125,1523586,1000,8000,-328.4130747603844,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,527,True,0.003,-91.59375,-85.34375,1.0,-160.57071875,1297543,1000,8000,-237.12303857656354,False
reward_only,gpomdp_reward_only,528,True,0.003,-79.96875,-86.78125,1.0,-217.33984375,1753613,1000,8000,-359.6162555624445,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,528,True,0.003,-88.0,-83.875,1.0,-195.19,1587501,1000,8000,-332.6957218058445,False
reward_only,gpomdp_reward_only,529,True,0.003,-83.65625,-94.34375,1.0,-130.24609375,1066643,1000,8000,-210.4203853233931,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,529,True,0.003,-90.3125,-91.75,1.0,-363.548234375,2918091,1000,8000,-451.85738558937163,False
reward_only,gpomdp_reward_only,530,True,0.003,-84.6875,-81.53125,1.0,-112.853125,924432,1000,8000,-147.7292547951066,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,530,True,0.003,-86.34375,-81.09375,1.0,-154.99390625,1229233,1000,8000,-215.3691311980723,False
reward_only,gpomdp_reward_only,531,True,0.003,-91.84375,-82.625,1.0,-356.88984375,2864538,1000,8000,-449.84646391931267,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,531,True,0.003,-90.6875,-95.40625,1.0,-193.13234375,1569054,1000,8000,-331.4993996980027,False
reward_only,gpomdp_reward_only,532,True,0.003,-500.0,-500.0,0.0,-499.765625,3999285,1000,8000,-499.7659839508812,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,532,True,0.003,-89.5,-79.1875,1.0,-235.459375,1896425,1000,8000,-375.83793199704706,False
reward_only,gpomdp_reward_only,533,True,0.003,-88.96875,-88.84375,1.0,-113.11015625,912614,1000,8000,-145.70091580681975,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,533,True,0.003,-84.15625,-79.0,1.0,-140.78465625,1151504,1000,8000,-186.1807170095588,False
reward_only,gpomdp_reward_only,534,True,0.003,-85.1875,-84.3125,1.0,-163.9625,1334596,1000,8000,-273.71493098379585,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,534,True,0.003,-86.28125,-84.28125,1.0,-159.832484375,1301173,1000,8000,-239.19619883366778,False
reward_only,gpomdp_reward_only,535,True,0.003,-82.28125,-87.3125,1.0,-171.14921875,1391537,1000,8000,-299.1554131106467,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,535,True,0.003,-82.125,-82.46875,1.0,-186.78234375,1497335,1000,8000,-311.28755709101506,False
reward_only,gpomdp_reward_only,536,True,0.003,-90.4375,-88.09375,1.0,-141.09375,1150315,1000,8000,-231.10370659341137,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,536,True,0.003,-99.8125,-87.78125,1.0,-158.078296875,1293759,1000,8000,-239.49866246099543,False
reward_only,gpomdp_reward_only,537,True,0.003,-85.8125,-110.1875,1.0,-167.340625,1351815,1000,8000,-295.47927864574666,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,537,True,0.003,-87.75,-82.125,1.0,-332.05625,2653279,1000,8000,-441.12440125383534,False
reward_only,gpomdp_reward_only,538,True,0.003,-500.0,-500.0,0.0,-499.903125,4000000,1000,8000,-499.903125,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,538,True,0.003,-87.03125,-88.75,1.0,-210.389640625,1706618,1000,8000,-354.7632865299968,False
reward_only,gpomdp_reward_only,539,True,0.003,-100.125,-80.78125,1.0,-320.0765625,2571987,1000,8000,-432.07168961803654,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,539,True,0.003,-91.53125,-89.75,1.0,-198.441,1584987,1000,8000,-333.3964955233071,False
