method,paired_seeds,failures,failure_rate,failure_wilson95_low,failure_wilson95_high,final_stochastic_return_mean,final_stochastic_return_median,final_stochastic_return_sd,final_stochastic_termination_rate_mean,final_stochastic_termination_rate_median,final_stochastic_termination_rate_sd,environment_step_return_auc_mean,environment_step_return_auc_median,environment_step_return_auc_sd
reward_only,200,22,0.11,0.0738,0.1609,-132.3428,-86.5469,129.7143,0.8894,1.0,0.3135,-250.8517,-201.4467,131.1136
logbarrier_handoff_h25,200,7,0.035,0.0171,0.0705,-102.6317,-87.5469,75.6454,0.9653,1.0,0.1783,-264.8023,-241.5714,83.0045
