initialization,switch_time,metric,mean,ci_lower,ci_upper,median,p05,p95,minimum,maximum,n
uniform,500,population_return,0.9881136657790173,0.9880977990047987,0.9881295325532359,0.9881127408777002,0.9879851630135318,0.9882527988919136,0.9879239266043233,0.988286249330517,100
uniform,500,q,0.9927286632547927,0.9927078192386407,0.9927495072709447,0.9927283476892909,0.9925741820996249,0.9929267408604788,0.9924697149491752,0.9929647348810174,100
uniform,500,p_good,0.9937816118999414,0.9937765327168449,0.993786691083038,0.9937841791389626,0.9937364755001158,0.9938157552000292,0.9937139202929153,0.9938288160185256,100
uniform,500,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1000,population_return,0.9864852255231188,0.9864660915442881,0.9865043595019495,0.9864927383648769,0.9863174068081154,0.9866436369580154,0.9862825027837867,0.9866916991951152,100
uniform,1000,q,0.9915876031407846,0.9915612815449818,0.9916139247365875,0.9915925909813964,0.9913580733531212,0.9917817033049171,0.9912336535410688,0.991886707524422,100
uniform,1000,p_good,0.9929026134607015,0.9928963604332773,0.9929088664881257,0.9928985497855254,0.9928492000580421,0.9929542641811762,0.9928291649269362,0.9929836929672449,100
uniform,1000,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1500,population_return,0.9838649923539003,0.9838415996865996,0.9838883850212011,0.9838772188101388,0.9836557309314317,0.9840556274642392,0.983568201119908,0.984135825091181,100
uniform,1500,q,0.9897852979013365,0.9897539391039253,0.9898166566987477,0.9898033772760562,0.9895260523163205,0.990021441498842,0.9893131841384614,0.990109739861689,100
uniform,1500,p_good,0.9915098453829287,0.9915023589885241,0.9915173317773334,0.9915105073123069,0.991448876980193,0.9915799251074964,0.9914207370043545,0.9916066129624781,100
uniform,1500,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,2000,population_return,0.9797841938390691,0.9797519110845981,0.9798164765935401,0.9797812298240162,0.9795039520600255,0.9800308831383262,0.9792546251635703,0.9801405397271462,100
