run_id,seed,initialization,switch_time,source_archive,switch_policy_hash,sampled_final_return,exact_final_return,sampled_final_q,exact_final_q,sampled_final_p_good,exact_final_p_good,sampled_success,exact_success,success_agreement
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,17,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,a47f9f30caa3deba7e7631622d92034810432f1ceffce333301f60e573e85ea4,0.9830077987882931,0.9829531675563932,0.9894059664819777,0.9893014071383908,0.9910179098348122,0.9910318838488068,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,18,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,3588709c405dd5c1347ce32787f66ee010c0c771ba4bac2d879eff1e2c469c89,0.9831502308695531,0.9831482651737176,0.9894843990865018,0.9894387353664849,0.9910918832974088,0.9911391426170238,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,19,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,4d8adf77814ef8641760efed40598fe21445dd0db42531497e8cc8de25027c69,0.9830857602486932,0.9830359837088664,0.9894387213172893,0.9893667550112891,0.9910656231153095,0.99107664101736,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,20,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,01aeb833d3af428d8ca29a4650c997eaf4d5945fe89ee250d096cf0f76a7d8d3,0.9831037748349584,0.9830302844790425,0.9894735236715559,0.9893662251016045,0.9910977352667991,0.9910735371495861,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,21,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,1d4e31d843bd415a15ba742135c5f392744e90ea054fe3dedd717a20e88ca055,0.9830382813377981,0.9829501088168794,0.9894540349563429,0.989290630202509,0.9910291551477254,0.9910282804558949,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,22,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,f85382623ff44e8a308a0441fc0862cbf458dc9b571cb04045a7601344abb114,0.9831336859428371,0.98308443664739,0.98936930609463,0.9894161547727316,0.9911896504705919,0.9911047996676616,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,23,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,c684485912641e3388a038097dbccd1d6848df78e68000be1600fcc63d1affc4,0.983141170171249,0.9830502925588956,0.9894643953119016,0.9893580115843282,0.9911007790947467,0.9910858782053151,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,24,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,6878c73b01e2da6ff3f5789822c176a670be808f3241caae46d42abcc7d940a2,0.9830283537433587,0.9829926235908832,0.9894127103671465,0.989328855994692,0.9910208457072842,0.991050821058191,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,25,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,2302e5c18440c10b58399d1512fd807e824f7d916441679aa59ca3488d2252e3,0.983188921671258,0.9830544733181253,0.9894790986778613,0.989374774631936,0.9911750864580573,0.9910866336248503,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,26,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,179b47bfae2560cfb7976c64ad95278a434698a76e0a5ffdfcbeb35e39186065,0.9829370349254691,0.9831280804505903,0.9892097568958548,0.9894562371699362,0.9910898569405904,0.9911276370689255,True,True,True
