initialization,metric,left_switch,right_switch,full_ranges_overlap,central_5_95_ranges_overlap,left_min,left_max,right_min,right_max,left_p05,left_p95,right_p05,right_p95
uniform,population_return,500,1000,False,False,0.4924798685370005,0.5214934776480926,0.5819134478166954,0.6032176548639389,0.49509844468707215,0.514964682288725,0.585198005429742,0.6006570299052296
uniform,q,500,1000,False,False,0.45932537846695176,0.5224065106456344,0.5749605572613725,0.6195076423938796,0.47246500203106484,0.5105782128193728,0.5828772442350668,0.612563578383484
uniform,p_good,500,1000,False,False,0.6558884916937976,0.6905779626652303,0.739863587797247,0.7561391750569442,0.661869752190825,0.681578237743326,0.7446906272382772,0.7540919831787375
uniform,v1,500,1000,False,False,0.6863883110782875,0.717376044138582,0.7649797165832474,0.779281828531297,0.6917007519577268,0.7093985205391843,0.76921479588269,0.7775391258822355
uniform,delta_safe,500,1000,False,False,0.18638831107828746,0.21737604413858203,0.26497971658324737,0.279281828531297,0.19170075195772687,0.20939852053918429,0.26921479588269004,0.2775391258822355
uniform,d_explore_j,500,1000,False,False,0.08860720495793878,0.10776611072890754,0.12900783569860638,0.13405437970281228,0.09092217551598569,0.10386686428169505,0.13059729045234603,0.13352064529042942
uniform,explore_logit_reward_gradient,500,1000,False,False,0.09122166452443857,0.10129568344535267,0.10658377987672434,0.10887117571511493,0.09258269944883145,0.09919594188045634,0.10732361259039977,0.10858547090237095
uniform,reward_gradient_norm,500,1000,False,False,0.1353203869630606,0.14871422956353053,0.15282601042415203,0.15772875372617418,0.138093017335895,0.14626839089523594,0.15406390896306368,0.15705301503824276
uniform,beta_conditional_gradient_norm,500,1000,False,False,0.08819849147408029,0.1121589628725037,0.13877723850640833,0.1553523258122462,0.0915996652590604,0.10746551118751327,0.1413651451037941,0.15333776548516562
uniform,reward_to_barrier_norm_ratio,500,1000,False,False,1.3226639939402753,1.5342709915036183,1.0152256258494967,1.1062255319726129,1.3596129706882767,1.504672095436494,1.0257737446876145,1.0903456402528062
uniform,reward_barrier_cosine,500,1000,False,False,-0.990968732666505,-0.9842342507820044,-0.9976472914925746,-0.9954485638837455,-0.9907964102913707,-0.9885132031339593,-0.99741907752104,-0.9963436678147037
uniform,min_pi0,500,1000,False,False,0.18183402137540555,0.1911099404895402,0.13787474800344096,0.1453064838374619,0.1837565169946598,0.19035249625919418,0.13884384666461755,0.1439128013860725
uniform,min_pi1,500,1000,False,False,0.13399040736675843,0.1524990969224492,0.1153577587262501,0.12558064393000162,0.1391014139792915,0.1493595827083406,0.11664506131364742,0.12224398281193202
uniform,entropy0,500,1000,False,False,1.009988821439201,1.0410383568469783,0.9134370734804249,0.9539471032553413,1.0170368544849255,1.0369692633240517,0.9202162181831747,0.9480946847504516
uniform,entropy1,500,1000,False,False,0.8303289668970704,0.8800172342325295,0.7242038077130388,0.7533575134931341,0.8438404006105548,0.8718724619443103,0.7279789869398404,0.7448615891082507
uniform,empirical_fisher_rank,500,1000,True,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
uniform,sampled_s1_count,500,1000,True,True,7.0,21.0,12.0,25.0,11.0,19.049999999999997,14.0,24.0
uniform,f0_lambda_min,500,1000,False,False,0.07315050429894655,0.0769512815110309,0.05720354234624217,0.060629338697979096,0.0738748788150351,0.07656452453929141,0.05771247819453568,0.06000620343890347
uniform,f0_lambda_max,500,1000,True,False,0.38401113183624774,0.3987635084625709,0.3622686861765757,0.38623379820999804,0.387975298079117,0.39628579636288597,0.3665904201771234,0.38188993924752646
uniform,f0_trace,500,1000,False,False,0.457338741907623,0.47571478997360184,0.41947222852281785,0.4464652417625453,0.46195243409941533,0.47274505968243985,0.42426235345465285,0.44186530555660264
uniform,f0_logdet,500,1000,False,False,-3.569901806482453,-3.48396951345613,-3.8765085688473007,-3.7598960072491208,-3.550942593610758,-3.4944711040313914,-3.857335195269325,-3.775849852125336
uniform,f0_condition,500,1000,False,False,5.156111937962831,5.290076089092765,6.287123519573953,6.412494461850961,5.1786282702918625,5.2604865340214895,6.311272971236228,6.3852607458078605
uniform,f0_eigenvalue_1,500,1000,True,False,0.38401113183624774,0.3987635084625709,0.3622686861765757,0.38623379820999804,0.387975298079117,0.39628579636288597,0.3665904201771234,0.38188993924752646
uniform,f0_eigenvalue_2,500,1000,False,False,0.07315050429894655,0.0769512815110309,0.05720354234624217,0.060629338697979096,0.0738748788150351,0.07656452453929141,0.05771247819453568,0.06000620343890347
uniform,f1_lambda_min,500,1000,False,False,0.06023778932747979,0.06642859609289259,0.04671834540905581,0.04944848955168091,0.06183392935954948,0.06538932151549329,0.047007503546049725,0.04866137903600335
uniform,f1_lambda_max,500,1000,False,False,0.26947922891933884,0.28851330442482687,0.23980664302092425,0.2528271154974792,0.27494759056327855,0.28548750991932137,0.2414491573234183,0.24876821060390086
uniform,f1_trace,500,1000,False,False,0.32971701824681865,0.35494190051771946,0.28669854299206815,0.3022756050491601,0.336781519922828,0.35086510366438034,0.28873883442245823,0.29751790693942454
uniform,f1_logdet,500,1000,False,False,-4.1207193581737265,-3.9546417293993077,-4.490742692148814,-4.381873128131915,-4.074478020282854,-3.9811957574399064,-4.476297889231685,-4.413196186597351
uniform,f1_condition,500,1000,False,False,4.343209421758288,4.473590945616019,5.0804094696966065,5.155281340757871,4.360364069235086,4.449737241378504,5.085682206539612,5.147440933656863
uniform,f1_eigenvalue_1,500,1000,False,False,0.26947922891933884,0.28851330442482687,0.23980664302092425,0.2528271154974792,0.27494759056327855,0.28548750991932137,0.2414491573234183,0.24876821060390086
uniform,f1_eigenvalue_2,500,1000,False,False,0.06023778932747979,0.06642859609289259,0.04671834540905581,0.04944848955168091,0.06183392935954948,0.06538932151549329,0.047007503546049725,0.04866137903600335
