initialization,switch_time,metric,mean,ci_lower,ci_upper,median,p05,p95,minimum,maximum,n
uniform,500,sampled_final_return,0.9881136657790173,0.9880977990047987,0.9881295325532359,0.9881127408777002,0.9879851630135318,0.9882527988919136,0.9879239266043233,0.988286249330517,100
uniform,500,exact_final_return,0.9881082939689891,0.9881038903088888,0.9881126976290895,0.9881113456751163,0.9880653618855103,0.9881415700846287,0.9880533054942194,0.9881613237178569,100
uniform,500,sampled_final_q,0.9927286632547927,0.9927078192386407,0.9927495072709447,0.9927283476892909,0.9925741820996249,0.9929267408604788,0.9924697149491752,0.9929647348810174,100
uniform,500,exact_final_q,0.9927260071514173,0.9927220208095634,0.9927299934932713,0.9927279180081661,0.9926868847521579,0.9927553192859738,0.9926695695244877,0.9927746318301076,100
uniform,500,sampled_final_p_good,0.9937816118999414,0.9937765327168449,0.993786691083038,0.9937841791389626,0.9937364755001158,0.9938157552000292,0.9937139202929153,0.9938288160185256,100
uniform,500,exact_final_p_good,0.9937757714441804,0.9937732136442496,0.9937783292441111,0.9937774101263266,0.9937509311949639,0.993795277259262,0.9937428077496113,0.9938065260930874,100
uniform,500,sampled_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,500,exact_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,500,success_agreement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1000,sampled_final_return,0.9864852255231188,0.9864660915442881,0.9865043595019495,0.9864927383648769,0.9863174068081154,0.9866436369580154,0.9862825027837867,0.9866916991951152,100
uniform,1000,exact_final_return,0.9864807527133957,0.9864773462544346,0.9864841591723569,0.986479428264383,0.9864566519877573,0.9865135273152479,0.9864446609599754,0.9865216690313428,100
uniform,1000,sampled_final_q,0.9915876031407846,0.9915612815449818,0.9916139247365875,0.9915925909813964,0.9913580733531212,0.9917817033049171,0.9912336535410688,0.991886707524422,100
uniform,1000,exact_final_q,0.9915844800476802,0.9915811447516487,0.9915878153437117,0.9915843152576194,0.9915591048524495,0.9916147512962958,0.9915478011159022,0.9916252479955993,100
uniform,1000,sampled_final_p_good,0.9929026134607015,0.9928963604332773,0.9929088664881257,0.9928985497855254,0.9928492000580421,0.9929542641811762,0.9928291649269362,0.9929836929672449,100
uniform,1000,exact_final_p_good,0.9929005851141787,0.992898770378809,0.9929023998495483,0.9928995881333648,0.9928870237523119,0.9929178042281767,0.9928820754606882,0.99292282309446,100
uniform,1000,sampled_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1000,exact_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1000,success_agreement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1500,sampled_final_return,0.9838649923539003,0.9838415996865996,0.9838883850212011,0.9838772188101388,0.9836557309314317,0.9840556274642392,0.983568201119908,0.984135825091181,100
uniform,1500,exact_final_return,0.9838697855794402,0.9838653516652477,0.9838742194936326,0.9838719979303584,0.983828892305795,0.9839042456911175,0.9838095293642178,0.9839297133625663,100
uniform,1500,sampled_final_q,0.9897852979013365,0.9897539391039253,0.9898166566987477,0.9898033772760562,0.9895260523163205,0.990021441498842,0.9893131841384614,0.990109739861689,100
uniform,1500,exact_final_q,0.9897864404010379,0.9897818960545876,0.9897909847474883,0.9897890437612465,0.9897470280461564,0.9898205035965401,0.9897314222212151,0.9898449926224782,100
uniform,1500,sampled_final_p_good,0.9915098453829287,0.9915023589885241,0.9915173317773334,0.9915105073123069,0.991448876980193,0.9915799251074964,0.9914207370043545,0.9916066129624781,100
uniform,1500,exact_final_p_good,0.9915149396543034,0.9915126187048448,0.991517260603762,0.9915163153106419,0.991493737134648,0.9915327705229225,0.9914830189726462,0.9915451020893115,100
uniform,1500,sampled_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1500,exact_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,1500,success_agreement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
adverse,500,sampled_final_return,0.49401794889747913,0.4940073068538963,0.49402859094106194,0.49401454343691475,0.49393768583656056,0.4941000495086781,0.4938696089880204,0.49413506639886556,100
adverse,500,exact_final_return,0.4940209104968046,0.4940202207086229,0.49402160028498626,0.49402106358806297,0.4940142126712526,0.4940260469051609,0.4940108673979377,0.4940291753528289,100
adverse,500,sampled_final_q,0.0038764502660397202,0.003858364926939013,0.0038945356051404275,0.003866757982340578,0.0037474842181968483,0.004039655350456776,0.003688403935685795,0.0041057514104705555,100
adverse,500,exact_final_q,0.003870844287387856,0.0038648520660411307,0.0038768365087345816,0.0038658583131954472,0.0038294808379805726,0.003920360716452747,0.0038047655308295915,0.003966787180218865,100
adverse,500,sampled_final_p_good,0.07511301698733466,0.07432957975578951,0.07589645421887982,0.07457181777715281,0.06931562437022226,0.08178030010477946,0.06821805303106517,0.0843488751541142,100
adverse,500,exact_final_p_good,0.07529487734923213,0.0745709573542462,0.07601879734421806,0.0745863276826052,0.07021026641379416,0.08185858505996914,0.06763592434100822,0.08608648324395926,100
adverse,500,sampled_success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
adverse,500,exact_success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
adverse,500,success_agreement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
adverse,1000,sampled_final_return,0.9825441653138884,0.9823557578166532,0.9827325728111237,0.9827192543728258,0.9808471171917162,0.9837844027714907,0.9790450242013041,0.9844167148894013,100
adverse,1000,exact_final_return,0.9825900539787159,0.9824476232491984,0.9827324847082334,0.9826860219367488,0.9812116324401303,0.9835458621472969,0.980191816296254,0.9840383577962,100
adverse,1000,sampled_final_q,0.9885432428127977,0.9883916992712117,0.9886947863543837,0.988640396010084,0.9871218696903079,0.9895887868171513,0.9859575610158456,0.9901671003773896,100
adverse,1000,exact_final_q,0.9885695793468774,0.9884556301272756,0.9886835285664792,0.9886434312653779,0.9874706561668148,0.9893379580241628,0.9866656218008085,0.9897448830089951,100
adverse,1000,sampled_final_p_good,0.990593630207928,0.9904823170336557,0.9907049433822003,0.9906755214243845,0.9896540194624925,0.9912826654847994,0.9884447886003709,0.9916109246229631,100
