initialization,switch_time,continuation,update,metric,mean,ci_lower,ci_upper
uniform,500,sampled,500,population_return,0.5060119795390287,0.504849558251388,0.5071744008266693
uniform,500,sampled,510,population_return,0.5165752735866711,0.5153453665390043,0.5178051806343379
uniform,500,sampled,520,population_return,0.5275310877674542,0.5262133588039676,0.5288488167309408
uniform,500,sampled,530,population_return,0.5387716773632844,0.5373732994464702,0.5401700552800985
uniform,500,sampled,540,population_return,0.5500450347950451,0.5485880770295142,0.551501992560576
uniform,500,sampled,550,population_return,0.5616368572203094,0.5601263808660553,0.5631473335745636
uniform,500,sampled,560,population_return,0.5735584788863393,0.5719781362349852,0.5751388215376934
uniform,500,sampled,570,population_return,0.5857753503776775,0.5840895062327811,0.5874611945225738
uniform,500,sampled,580,population_return,0.5982315901628091,0.59648270851942,0.5999804718061983
uniform,500,sampled,590,population_return,0.6109604490230413,0.6091303715557846,0.6127905264902979
uniform,500,sampled,600,population_return,0.6233084938910729,0.6214329248380338,0.625184062944112
uniform,500,sampled,610,population_return,0.63570265137478,0.6337581110509828,0.6376471916985772
uniform,500,sampled,620,population_return,0.6479744085261678,0.6460139495775736,0.649934867474762
uniform,500,sampled,630,population_return,0.6600439371769963,0.6580512779096446,0.662036596444348
uniform,500,sampled,640,population_return,0.6720579618386199,0.6700818779089696,0.6740340457682702
uniform,500,sampled,650,population_return,0.6837525282589086,0.6817253695183387,0.6857796869994786
uniform,500,sampled,660,population_return,0.6949706556551566,0.6929858626731711,0.6969554486371421
uniform,500,sampled,670,population_return,0.7062334619971292,0.7043000066683129,0.7081669173259455
uniform,500,sampled,680,population_return,0.7169406383689241,0.7150250471111671,0.718856229626681
uniform,500,sampled,690,population_return,0.7275201426353332,0.7256641600931332,0.7293761251775331
uniform,500,sampled,700,population_return,0.7374424163054668,0.7356658181224537,0.7392190144884799
uniform,500,sampled,710,population_return,0.7469789901293749,0.7452445558044501,0.7487134244542996
uniform,500,sampled,720,population_return,0.7561718293722034,0.7544910439944059,0.7578526147500009
uniform,500,sampled,730,population_return,0.7649836464645737,0.7633825286277527,0.7665847643013948
uniform,500,sampled,740,population_return,0.7735407987479408,0.7719847301866413,0.7750968673092403
uniform,500,sampled,750,population_return,0.7815819135586851,0.7801129022700607,0.7830509248473095
uniform,500,sampled,760,population_return,0.7892515227242697,0.787839116624039,0.7906639288245003
uniform,500,sampled,770,population_return,0.7964961066638062,0.7951353858432546,0.7978568274843578
uniform,500,sampled,780,population_return,0.8033951675404826,0.8021039327304041,0.804686402350561
uniform,500,sampled,790,population_return,0.8100050596825737,0.8087728820429185,0.811237237322229
uniform,500,sampled,800,population_return,0.8162912867108207,0.8151222916130463,0.8174602818085952
uniform,500,sampled,810,population_return,0.8222688958167076,0.8211544781728555,0.8233833134605597
uniform,500,sampled,820,population_return,0.8279785502538549,0.8269278048750506,0.8290292956326593
uniform,500,sampled,830,population_return,0.8333490336620604,0.8323479634102362,0.8343501039138845
uniform,500,sampled,840,population_return,0.838521655596809,0.8375652501620969,0.8394780610315211
uniform,500,sampled,850,population_return,0.8433955917332123,0.8424822085882746,0.84430897487815
uniform,500,sampled,860,population_return,0.8480803117783432,0.8472180438647813,0.8489425796919051
uniform,500,sampled,870,population_return,0.8524691268536988,0.8516418410705171,0.8532964126368805
uniform,500,sampled,880,population_return,0.8566738249570132,0.8558979101819699,0.8574497397320564
