beta,update,checkpoint,trajectory_count,transition_count,parameter_count,fisher_dtype,score_dtype,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,logdet_positive_spectrum,normalized_logdet_positive_spectrum,effective_rank,stable_rank,components_90,components_95,components_99,rank_tolerance,psd_tolerance,mean_return,std_return,mean_episode_length,elapsed_seconds
1e-05,100.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-5/checkpoints/update_0100.pt,4096.0,336823.0,16.0,torch.float64,torch.float64,16.0,9.532439770051315e-12,161.54985280769054,16947377240739.795,-186.80960751973356,-11.675600469983348,2.007056021422467,1.414295011774982,2.0,2.0,2.0,5.739403718780897e-13,1.6154985280769055e-10,24.277249437709656,55.73345023653242,82.232177734375,31.0708562459331
1e-05,150.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-5/checkpoints/update_0150.pt,4096.0,311880.0,16.0,torch.float64,torch.float64,16.0,1.402803868367999e-11,151.36763568068764,10790363435252.46,-140.39708415323616,-8.77481775957726,2.166256977776881,1.5366831083838381,2.0,2.0,3.0,5.377658698104698e-13,1.5136763568068763e-10,38.75800164517673,54.16246602972754,76.142578125,31.708568121073768
1e-05,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-5/checkpoints/update_0200.pt,4096.0,210371.0,16.0,torch.float64,torch.float64,16.0,4.8751364005698614e-08,463.02043257032255,9497589288.295595,-83.72974508270782,-5.233109067669239,2.0096200805067563,1.0525712822594129,2.0,3.0,3.0,1.64497902435671e-12,4.6302043257032254e-10,81.95024638510584,17.761267169938684,51.360107421875,30.56881031789817
1e-05,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-5/checkpoints/update_0250.pt,4096.0,165761.0,16.0,torch.float64,torch.float64,16.0,2.4276116979107175e-07,710.8991596616395,2928389084.108726,-68.44322766086752,-4.27770172880422,1.7906148641085347,1.017236241761886,2.0,3.0,3.0,2.525621168777688e-12,7.108991596616395e-10,87.44909515232558,6.303735207346223,40.468994140625,23.914676968939602
2e-05,50.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-5/checkpoints/update_0050.pt,4096.0,346334.0,16.0,torch.float64,torch.float64,14.0,1.472919236437825e-14,170.79541026434592,23174611858533.75,-163.80058749391063,-10.237536718369414,2.0351597058730304,1.7362523352372907,2.0,2.0,2.0,6.067871903224852e-13,1.707954102643459e-10,19.377919911233604,55.131887446164605,84.55419921875,30.675890390994027
2e-05,100.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-5/checkpoints/update_0100.pt,4096.0,329460.0,16.0,torch.float64,torch.float64,16.0,2.1648840010509756e-11,159.68954018341347,7376355504770.222,-191.449047956406,-11.965565497275374,1.9293990537090757,1.2326750805972067,2.0,2.0,2.0,5.673312137709753e-13,1.5968954018341346e-10,28.02258037095634,55.8101296113228,80.4345703125,33.22317745001055
2e-05,150.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-5/checkpoints/update_0150.pt,4096.0,307793.0,16.0,torch.float64,torch.float64,16.0,9.379974072350815e-11,150.64092867330675,1605984488990.7358,-164.59131042262484,-10.286956901414053,1.8876693684054229,1.1368835171112082,2.0,2.0,2.0,5.351840878848675e-13,1.5064092867330675e-10,36.65337134782388,55.193519096673676,75.144775390625,37.25874235201627
2e-05,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-5/checkpoints/update_0200.pt,4096.0,272202.0,16.0,torch.float64,torch.float64,16.0,3.7553265931311005e-10,131.7363731313324,350798711814.55304,-127.95526867540266,-7.9972042922126665,2.297556389201056,1.908074206351526,2.0,2.0,3.0,4.680216148192514e-13,1.3173637313133242e-10,57.45637300047616,45.39506827727478,66.45556640625,32.80668942409102
2e-05,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-5/checkpoints/update_0250.pt,4096.0,191316.0,16.0,torch.float64,torch.float64,16.0,3.6861211889630458e-09,304.322156372809,82558912410.15297,-94.07938958603538,-5.879961849127211,2.1563593260013794,1.1017311263013982,2.0,3.0,3.0,1.0811694877077435e-12,3.04322156372809e-10,81.84321648651473,15.222370261503062,46.7080078125,23.462195781059563
5e-05,50.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-5/checkpoints/update_0050.pt,4096.0,360452.0,16.0,torch.float64,torch.float64,15.0,4.7368813093244265e-14,172.0013526184035,147111675416385.4,-187.14551725822804,-11.696594828639252,2.047457700188606,1.7691109503518854,2.0,2.0,2.0,6.110715582195905e-13,1.720013526184035e-10,16.65339550466731,52.41371959711369,88.0009765625,31.58477264700923
5e-05,100.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-5/checkpoints/update_0100.pt,4096.0,343744.0,16.0,torch.float64,torch.float64,16.0,3.0968848302013323e-12,179.10396224888675,57833588289185.09,-178.37046306204087,-11.148153941377554,2.1266663029388373,1.7278895496375801,2.0,2.0,3.0,6.363050966089885e-13,1.7910396224888674e-10,23.23216125431174,54.99750536162877,83.921875,31.563330169999972
5e-05,150.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-5/checkpoints/update_0150.pt,4096.0,269217.0,16.0,torch.float64,torch.float64,16.0,1.4907326332564908e-09,259.20926935692535,173880455538.62012,-112.9989198681574,-7.062432491759838,2.252504813545445,1.2473537627658158,2.0,2.0,3.0,9.208963169162322e-13,2.592092693569253e-10,64.69668773887648,41.33276149578656,65.726806640625,35.53722130693495
5e-05,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-5/checkpoints/update_0200.pt,4096.0,174065.0,16.0,torch.float64,torch.float64,16.0,1.9373315647491267e-08,515.2074687610874,26593665128.653587,-84.6072041092186,-5.2879502568261625,1.9277267727011564,1.0308258124041054,2.0,3.0,4.0,1.830384621687697e-12,5.152074687610874e-10,86.79931541914559,6.8452276305833095,42.496337890625,23.7264756570803
5e-05,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-5/checkpoints/update_0250.pt,4096.0,151431.0,16.0,torch.float64,torch.float64,16.0,3.798271156313521e-08,698.9429720745782,18401608081.950356,-78.57796760232597,-4.911122975145373,1.7923296074306323,1.0155312274965804,2.0,3.0,4.0,2.4831442575908304e-12,6.989429720745781e-10,89.07350587818866,2.896168525904858,36.970458984375,19.538909033988602
