beta,applied_fisher_gradient_norm,applied_fisher_to_reward_ratio,effective_fisher_beta,elapsed_seconds,fisher_components_90,fisher_effective_rank,fisher_full_condition_number,fisher_gradient_clip_ratio,fisher_gradient_clip_scale,fisher_gradient_was_clipped,fisher_log10_full_condition_number,fisher_log10_positive_condition_number,fisher_logdet_margin,fisher_loss,fisher_maximum_eigenvalue,fisher_minimum_eigenvalue,fisher_numerical_rank,fisher_parameter_count,fisher_positive_condition_number,fisher_rank,fisher_surrogate,fisher_trace,fisher_trajectory_count,mean_batch_return,mean_episode_length,nominal_fisher_beta,nominal_fisher_gradient_norm,return_std,reward_fisher_gradient_cosine,reward_gradient_norm,reward_loss,reward_trajectory_count,separate_fisher_batch,total_gradient_norm,total_loss,update
2e-06,16.892793655395508,0.09709625199911068,2e-06,2.3015940020559356,2,1.9172844669462765,2674017671273684.0,0.2,1.0,False,15.427164272975064,14.352010098824826,-227.02207940433715,0.0032545225121277254,396.52413622405953,1.4828777703446805e-13,15,16,224910690461808.03,16,-1627.2612560638627,600.6148443876033,256,6.385631634837499,94.84375,2e-06,16.892793655395508,42.69322781063202,0.020049000158905983,173.97987365722656,86.3583984375,32,True,175.1348419189453,86.36165296001212,1
2e-06,13.032767295837402,0.09812798910995467,2e-06,2.2709252819186077,2,1.9701246560820826,1961371132716130.8,0.2,1.0,False,15.292559779103938,14.36525441990495,-229.42734383233184,0.0026492429969718913,336.67172524617325,1.7165120849920235e-13,15,16,231875263189802.56,16,-1324.6214984859457,557.4202946160106,256,-5.829833538408524,97.03125,2e-06,13.032767295837402,30.471662680891885,0.4927016496658325,132.81396484375,2.8720245361328125,32,True,139.69635009765625,2.8746737791297843,2
2e-06,19.691112518310547,0.19999999225092616,1.830873869604819e-06,2.2522843150654808,2,1.922394686025486,2264854261322163.5,0.2,0.9154369348024096,True,15.355040261298104,14.324376916222302,-228.0681008753225,0.0031815091597269564,373.5942077500419,1.6495286876955482e-13,15,16,211045898402230.1,16,-1737.6998014689357,572.0736160485567,256,-0.6833169314667202,96.71875,2e-06,21.51007080078125,37.53431194320227,-0.062028177082538605,98.45556640625,27.026931762695312,32,True,99.20045471191406,27.03011327185504,3
2e-06,5.054222583770752,0.08639896166108144,2e-06,2.2953352950280532,2,1.9354374871054385,2951237532325166.0,0.2,1.0,False,15.470004165388326,14.066179529275018,-230.41616010933112,0.0026009344972325447,385.1611874722634,1.3050836581385227e-13,14,16,116460735697512.25,16,-1300.4672486162724,599.5512211586877,256,-3.127899045797406,97.375,2e-06,5.054222583770752,34.00426835633146,-0.18059855699539185,58.49864959716797,18.748687744140625,32,True,57.80002975463867,18.751288678637856,4
2e-06,6.657759666442871,0.20000001718910468,8.849406678601229e-07,2.2849751909961924,2,1.904606713866342,2488464784818108.0,0.2,0.44247033393006147,True,15.395931499262325,14.052982485458367,-229.3147387438041,0.0015142577697919838,383.89164692241934,1.5426846675287773e-13,14,16,112975035236564.12,16,-1711.1404467981047,574.7026011913018,256,-10.241178211304877,98.75,2e-06,15.046792030334473,24.763644210240827,-0.27591437101364136,33.288795471191406,10.897392272949219,32,True,32.09623718261719,10.89890653071901,5
2e-06,8.082676887512207,0.20000002359798474,3.9104934272815155e-07,2.3028199539985508,2,1.9432386432993183,2198056389662729.0,0.2,0.19552467136407578,True,15.342038829764098,14.438840887986457,-231.45696260473522,0.0007072087852846657,321.1783713493718,1.4611925920547179e-13,15,16,274688759440262.12,16,-1808.4898963154656,504.77918752466906,256,-6.498671819904685,97.59375,2e-06,41.33839416503906,30.44926827334424,0.20665156841278076,40.41337966918945,-12.205299377441406,32,True,42.82027053833008,-12.204592168656122,6
2e-06,46.854454040527344,0.20000000651327174,1.6213520954783737e-06,2.348189356038347,2,1.9280903137743612,2290143955873630.5,0.2,0.8106760477391869,True,15.359862782460661,14.096808683859837,-231.82486902678107,0.003050515052453415,333.02238370354536,1.4541548047642532e-13,14,16,124970838528822.73,16,-1881.4636629271893,511.3461717413121,256,-0.3078108215750417,95.90625,2e-06,57.7967643737793,37.4674022173678,-0.09631157666444778,234.2722625732422,64.3887939453125,32,True,234.44500732421875,64.39184446036495,7
2e-06,6.445067405700684,0.1999999940812145,1.8331193405792635e-06,2.3530758880078793,2,1.9187620261063125,2187937458508333.2,0.2,0.9165596702896318,True,15.340034903670114,14.429530366320996,-231.0837946307705,0.0030328442139525547,334.50481916955744,1.52885914480212e-13,15,16,268862582800127.78,16,-1654.4717775953309,509.25581536964773,256,-3.8522340169834575,96.71875,2e-06,7.031803607940674,34.239486118504225,0.20274154841899872,32.225337982177734,3.91680908203125,32,True,34.12078094482422,3.9198419262452027,8
2e-06,13.114498138427734,0.20000001163505443,1.7116240675810068e-06,2.576614507008344,2,1.9648849996632443,2342636126276518.0,0.2,0.8558120337905034,True,15.369704836346607,14.02202798946035,-230.89645138059922,0.0022091973706117977,315.71794686134575,1.3477037399024527e-13,14,16,105202967296689.97,16,-1290.702445972262,514.1957512384624,256,-10.354782339483208,97.125,2e-06,15.324039459228516,25.909010067867413,0.10813526064157486,65.5724868774414,28.867313385009766,32,True,68.24751281738281,28.869522582380377,9
2e-06,12.100669860839844,0.19481132101543527,2e-06,2.5381659449776635,2,1.9074173605378093,2540307254632908.5,0.2,1.0,False,15.404886248478775,14.013739081997784,-227.03452095841075,0.0029903575161122015,397.20580777272676,1.5636132481546043e-13,14,16,103214112361531.62,16,-1495.1787580561008,595.2332266557312,256,-4.064788921731278,95.9375,2e-06,12.100669860839844,34.913694741946806,-0.05646860599517822,62.11481857299805,-29.113723754882812,32,True,62.60822296142578,-29.1107333973667,10
