beta,clip_ratio,status,completed_updates,clipped_update_fraction,median_clip_scale,maximum_applied_ratio,clipped_last_10_return,fixed_last_10_return,clipped_minimum_eigenvalue,fixed_minimum_eigenvalue,clipped_condition_number,fixed_condition_number,clipped_effective_rank,fixed_effective_rank
2e-06,0.2,complete,250,0.156,1.0,0.20000002540289843,88.53000738977188,89.27076205025499,5.470230805397075e-10,2.0522314092472398e-08,1628359284980.2083,59184609079.26821,1.7022717966515588,1.6357815948904058
5e-06,0.2,complete,250,0.188,1.0,0.2000000304642601,88.3907553225589,87.73479275750245,4.363120064984707e-08,5.601764345093874e-08,19569279367.755444,10049977540.102528,1.7196424297672643,2.0059356651390927
1e-05,0.2,complete,250,0.296,1.0,0.20000003766567245,87.73251996832306,88.48129676711723,2.4276116979107175e-07,8.455721578910162e-08,2928389084.108726,7659008339.018566,1.7906148641085347,1.9122865793431099
2e-05,0.2,complete,250,0.352,1.0,0.20000002727571273,81.13271342582534,74.98440490738014,3.6861211889630458e-09,3.365822905237366e-08,82558912410.15297,6046193490.130597,2.1563593260013794,2.3454540287068886
5e-05,0.2,complete,250,0.436,1.0,0.20000003489072748,89.34928029039096,40.41285386726734,3.798271156313521e-08,1.1815073639156366e-10,18401608081.950356,1299299083881.1602,1.7923296074306323,2.0504608571848473
0.0001,0.2,complete,250,0.436,1.0,0.20000003253340998,88.53497883251745,31.697233410989195,1.1713196016783432e-07,3.655200275797975e-13,6241019117.055499,112924678305246.84,1.8140766364229297,1.8192886549255454
0.0002,0.2,complete,250,0.5,0.9985851009550596,0.20000003046694864,88.65138088588105,27.600463052494707,1.6927268730853248e-07,3.1410718188749906e-16,4352482730.869409,129494509835633.84,1.8042666529057239,1.8017296336649058
