seed,learning_rate,finite,actual_optimizer_updates,actual_training_episodes,environment_steps,initial_stochastic_return,final_stochastic_return,stochastic_improvement,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc
191,0.003,True,1000,8000,1116734,-500.0,-82.8125,417.1875,-81.15625,1.0,-136.275
192,0.003,True,1000,8000,972920,-492.5,-86.9375,405.5625,-90.03125,1.0,-121.2609375
191,0.01,True,1000,8000,1882162,-500.0,-83.375,416.625,-85.1875,1.0,-237.3453125
192,0.01,True,1000,8000,843629,-492.5,-85.5,407.0,-82.9375,1.0,-104.5703125
