method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
sampled_npg_logbarrier_fixed,uniform,32,91000,True,0,0.6356254377897136,0.6321771417631017,0.7884074365629826,False,4,0.0
sampled_npg_logbarrier_fixed,uniform,32,91001,True,0,0.63077920251822,0.6453723093282078,0.7752768838544685,False,4,0.0
sampled_npg_logbarrier_fixed,uniform,32,91002,True,0,0.5984950298909947,0.5989423977171421,0.7501630766064158,False,4,0.0
sampled_npg_logbarrier_fixed,uniform,32,91003,True,0,0.627237992931656,0.6357686865668747,0.7711774313816279,False,4,0.0
sampled_pg_reward_only,adverse,4,91000,True,0,0.4432847323338484,0.01401685931198865,0.01586583984448222,False,,0.96
sampled_pg_reward_only,adverse,4,91001,True,0,0.44308167842825524,0.014214570536038593,0.01621042194290211,False,,0.94
sampled_pg_reward_only,adverse,4,91002,True,0,0.44310443000136074,0.014094929034787217,0.015860644333699166,False,,0.92
sampled_pg_reward_only,adverse,4,91003,True,0,0.4432832515854663,0.014073646718866262,0.015855451856421496,False,,0.9
sampled_pg_logbarrier_handoff,adverse,4,91000,True,0,0.4219946718119156,0.0238054665940898,0.015929284227181748,False,,0.92
sampled_pg_logbarrier_handoff,adverse,4,91001,True,0,0.4229568726897373,0.02339147769879571,0.016008688152595235,False,,0.92
sampled_pg_logbarrier_handoff,adverse,4,91002,True,0,0.42198775641300174,0.02382115297958924,0.01599815140466758,False,,0.9
sampled_pg_logbarrier_handoff,adverse,4,91003,True,0,0.42208539657314453,0.023833545261490764,0.0159928876654029,False,,0.86
sampled_npg_reward_only,adverse,4,91000,False,1,0.5,8.565371220413625e-255,0.015876239976466762,False,,0.8571428571428571
sampled_npg_reward_only,adverse,4,91001,False,1,0.5,0.0,0.015876239976466762,False,,0.8888888888888888
sampled_npg_reward_only,adverse,4,91002,False,1,0.5,0.0,0.013271750481584233,False,,0.75
sampled_npg_reward_only,adverse,4,91003,False,1,0.5,8.565371220413625e-255,0.015876239976466762,False,,0.8571428571428571
