comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_return,4,-0.15629038895959566,-0.16283636982465982,-0.3948536786750382,0.08227290075584687,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_q,4,-0.14694302209649143,-0.17666744721122318,-0.6762509071313866,0.38236486293840366,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_pi1_good,4,-0.12178728279768329,-0.14080896237881085,-0.4626058780287202,0.2190313124333536,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,4,-0.07861876914508494,-0.04580896686159841,-0.2618649019279197,0.10462736363774984,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,exact_mcnemar_p,4,1.0,,,,0,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_return,4,-0.020920016895590476,-0.020918053108357287,-0.021235187484975535,-0.020604846306205418,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_q,4,0.009594764393440033,0.009590244893449885,0.009441272601723736,0.00974825618515633,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_pi1_good,4,0.00019266000075015503,0.00018808367716094052,0.00012832990527867163,0.0002569900962216384,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,4,-0.15499999999999997,-0.14999999999999997,-0.18546960361673215,-0.12453039638326778,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,4,1.0,,,,0,0
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_return,4,0.415417770002154,0.4188267588278649,0.4025040075723481,0.4283315324319599,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_q,4,0.842425847284852,0.8456400241881312,0.8202926563610963,0.8645590382086078,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_pi1_good,4,0.9792392922487317,0.9793483162324563,0.9765106154459586,0.9819679690515049,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,zero_s1_batch_fraction,4,-0.7450000000000001,-0.77,-0.954068574763194,-0.5359314252368063,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,exact_mcnemar_p,4,1.0,,,,0,0
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_return,4,0.05389709480638169,0.056610008962649366,0.04522310366541379,0.0625710859473496,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_q,4,-0.013629620776830997,-0.014004078412131468,-0.014833625594786078,-0.012425615958875917,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_pi1_good,4,-0.0008893553639240945,-0.0006013888901107295,-0.0024741449886887925,0.0006954342608406037,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,4,0.11000000000000004,0.17000000000000004,-0.13609241461090488,0.35609241461090496,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,4,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_return,4,0.4902348817041262,0.4912027669945481,0.4780109604615198,0.5024588029467326,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_q,4,0.8192014621145811,0.8227787374500439,0.7973490569806724,0.8410538672484899,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_pi1_good,4,0.9781572768840575,0.9785134543876073,0.9760760074643954,0.9802385463037196,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,zero_s1_batch_fraction,4,-0.48000000000000004,-0.49,-0.5487486976375181,-0.4112513023624819,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
