update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,0.0,False
2,4990,-122.75,123.75,0.0,False
3,8010,-377.125,377.5,0.0,False
4,12010,-500.0,500.0,0.0,False
5,16010,-500.0,500.0,0.0,False
6,20010,-500.0,500.0,0.0,False
7,24010,-500.0,500.0,0.0,False
8,28010,-500.0,500.0,0.0,False
9,32010,-500.0,500.0,0.0,False
10,36010,-500.0,500.0,0.0,False
11,40010,-500.0,500.0,0.0,False
12,44010,-500.0,500.0,0.0,False
13,48010,-500.0,500.0,0.0,False
14,52010,-500.0,500.0,0.0,False
15,56010,-500.0,500.0,0.0,False
16,60010,-500.0,500.0,0.0,False
17,64010,-500.0,500.0,0.0,False
18,68010,-500.0,500.0,0.0,False
19,72010,-500.0,500.0,0.0,False
20,76010,-500.0,500.0,0.0,False
21,80010,-500.0,500.0,0.0,False
22,84010,-500.0,500.0,0.0,False
23,88010,-500.0,500.0,0.0,False
24,92010,-500.0,500.0,0.0,False
25,96010,-500.0,500.0,0.0,False
26,100010,-500.0,500.0,0.0,False
27,104010,-500.0,500.0,0.0,False
28,108010,-500.0,500.0,0.0,False
29,112010,-500.0,500.0,0.0,False
30,116010,-500.0,500.0,0.0,False
31,120010,-500.0,500.0,0.0,False
32,122880,-205.0,205.0,0.0,False
