update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3847,-480.625,480.875,555.232544854984,True
2,7847,-500.0,500.0,555.232544854984,True
3,11847,-500.0,500.0,555.232544854984,True
4,15847,-500.0,500.0,555.232544854984,True
5,19847,-500.0,500.0,0.0,False
6,23511,-457.75,458.0,0.0,False
7,27459,-493.375,493.5,0.0,False
8,31459,-500.0,500.0,0.0,False
9,35250,-473.75,473.875,0.0,False
10,39250,-500.0,500.0,0.0,False
11,43250,-500.0,500.0,0.0,False
12,47250,-500.0,500.0,0.0,False
13,51200,-395.0,395.0,0.0,False
