method,seed,update,true_environment_steps_before_update,beta,barrier_active,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,total_gradient_norm,naturalized_reward_norm,naturalized_barrier_norm,euclidean_barrier_to_reward_ratio,natural_barrier_to_reward_ratio,euclidean_cosine,euclidean_cosine_defined,natural_cosine,natural_cosine_defined,realized_kl,damping,valid,invalid_reason,target_kl,predicted_kl,scale_factor,gradient_norm,natural_direction_norm,quadratic_form,solve_residual,fisher_condition_number,damped_condition_number
npg_reward_only,706,0,0,0.0,False,277.9609375,0.1373075693845749,0.0,277.9609375,4650.18359375,0.0,0.0,0.0,0.8727171421051025,True,nan,False,0.0011924079153686762,0.01,True,,0.001,0.0009999999310821295,8.65548790898174e-05,277.9609375,4650.18359375,266960.40625,0.00012453239469323307,434239200.0,76.06205749511719
npg_reward_only,706,1,4000,0.0,False,221.80726623535156,0.11551614850759506,0.0,221.80726623535156,4449.7353515625,0.0,0.0,0.0,0.008508697152137756,True,nan,False,0.0014035414205864072,0.01,True,,0.001,0.0009999999310821295,8.46857947180979e-05,221.80726623535156,4449.7353515625,278874.53125,8.982125291367993e-05,1310674304.0,79.42875671386719
npg_reward_only,706,2,8000,0.0,False,371.4734802246094,0.11377355456352234,0.0,371.4734802246094,4276.16748046875,0.0,0.0,0.0,-0.7036301493644714,True,nan,False,0.0007743507740087807,0.01,True,,0.001,0.0010000000474974513,6.681426020804793e-05,371.4734802246094,4276.16748046875,448014.125,9.264024265576154e-05,200192624.0,77.0390625
npg_reward_only,706,3,12000,0.0,False,153.05633544921875,0.13375024497509003,0.0,153.05633544921875,3668.447265625,0.0,0.0,0.0,-0.43013837933540344,True,nan,False,0.0007980595692060888,0.01,True,,0.001,0.001000000280328095,0.00010769621439976618,153.05633544921875,3668.447265625,172436.484375,0.00010266416211379692,8807107584.0,86.43258666992188
npg_reward_only,706,4,16000,0.0,False,316.68231201171875,0.13767625391483307,0.0,316.68231201171875,4741.20556640625,0.0,0.0,0.0,0.8105446100234985,True,nan,False,0.0010310111101716757,0.01,True,,0.001,0.0010000001639127731,8.147752669174224e-05,316.68231201171875,4741.20556640625,301268.9375,0.00015931615780573338,5793241600.0,87.43431854248047
npg_reward_only,706,5,19902,0.0,False,201.09210205078125,0.128633514046669,0.0,201.09210205078125,3041.589599609375,0.0,0.0,0.0,0.8179910182952881,True,nan,False,0.0008589380304329097,0.01,True,,0.001,0.0010000000474974513,0.0001254817034350708,201.09210205078125,3041.589599609375,127019.15625,7.119622750906274e-05,409683456.0,96.03474426269531
npg_reward_only,706,6,23902,0.0,False,147.5346221923828,0.1175551638007164,0.0,147.5346221923828,3960.289794921875,0.0,0.0,0.0,-0.1752052903175354,True,nan,False,0.0009193544974550605,0.01,True,,0.001,0.0009999998146668077,0.00010487014515092596,147.5346221923828,3960.289794921875,181855.421875,0.00011503498535603285,425567520.0,94.68569946289062
npg_reward_only,706,7,27902,0.0,False,158.93316650390625,0.11509297788143158,0.0,158.93316650390625,3864.422607421875,0.0,0.0,0.0,0.28536245226860046,True,nan,False,0.0013012426206842065,0.01,True,,0.001,0.0010000000474974513,0.0001136751234298572,158.93316650390625,3864.422607421875,154774.40625,9.638188930694014e-05,640520960.0,100.82437133789062
npg_reward_only,706,8,31902,0.0,False,236.6941680908203,0.10645093768835068,0.0,236.6941680908203,5126.41455078125,0.0,0.0,0.0,-0.28447484970092773,True,nan,False,0.0011712124105542898,0.01,True,,0.001,0.0009999999310821295,8.30230928841047e-05,236.6941680908203,5126.41455078125,290156.4375,0.00020177628903184086,1843632768.0,96.65460968017578
npg_reward_only,706,9,35902,0.0,False,204.2825164794922,0.1145365983247757,0.0,204.2825164794922,4801.35546875,0.0,0.0,0.0,-0.26969680190086365,True,nan,False,0.0011454205960035324,0.01,True,,0.001,0.0009999999310821295,7.819931488484144e-05,204.2825164794922,4801.35546875,327057.5,0.00012264565157238394,3394301440.0,109.90737915039062
npg_reward_only,706,10,39902,0.0,False,166.0025634765625,0.11560001969337463,0.0,166.0025634765625,4601.70947265625,0.0,0.0,0.0,-0.10160650312900543,True,nan,False,0.001346040517091751,0.01,True,,0.001,0.0010000000474974513,8.450370660284534e-05,166.0025634765625,4601.70947265625,280077.6875,8.763255027588457e-05,14055758848.0,96.01868438720703
npg_reward_only,706,11,43902,0.0,False,247.11683654785156,0.13846734166145325,0.0,247.11683654785156,4846.38037109375,0.0,0.0,0.0,-0.6374191641807556,True,nan,False,0.0011443982366472483,0.01,True,,0.001,0.0009999999310821295,7.734453538432717e-05,247.11683654785156,4846.38037109375,334326.4375,0.0001199212420033291,4910272000.0,125.14130401611328
npg_reward_only,706,12,47902,0.0,False,427.7900085449219,0.1432105302810669,0.0,427.7900085449219,4569.56103515625,0.0,0.0,0.0,-0.4870898723602295,True,nan,False,0.0008826928678900003,0.01,True,,0.001,0.0010000000474974513,6.054861660231836e-05,427.7900085449219,4569.56103515625,545533.6875,8.653556142235175e-05,1779605504.0,120.56556701660156
npg_reward_only,706,13,51902,0.0,False,222.42823791503906,0.16378247737884521,0.0,222.42823791503906,4213.43212890625,0.0,0.0,0.0,0.21971648931503296,True,nan,False,0.001004422432743013,0.01,True,,0.001,0.0010000000474974513,9.503078763373196e-05,222.42823791503906,4213.43212890625,221463.09375,0.0001301970041822642,3410104576.0,122.64990234375
npg_reward_only,706,14,55902,0.0,False,173.21583557128906,0.17768211662769318,0.0,173.21583557128906,4941.48291015625,0.0,0.0,0.0,-0.3984389305114746,True,nan,False,0.0008980145212262869,0.01,True,,0.001,0.0010000000474974513,9.788535680854693e-05,173.21583557128906,4941.48291015625,208734.65625,8.313756552524865e-05,2717435904.0,112.57493591308594
npg_reward_only,706,15,59902,0.0,False,484.3648986816406,0.17650656402111053,0.0,484.3648986816406,5857.62646484375,0.0,0.0,0.0,0.26388248801231384,True,nan,False,0.0010399490129202604,0.01,True,,0.001,0.0010000001639127731,5.130674617248587e-05,484.3648986816406,5857.62646484375,759768.125,0.0002331767900614068,735439104.0,110.69551849365234
npg_reward_only,706,16,63902,0.0,False,225.22715759277344,0.17960117757320404,0.0,225.22715759277344,4679.20458984375,0.0,0.0,0.0,-0.1526157110929489,True,nan,False,0.000807504344265908,0.01,True,,0.001,0.0010000000474974513,9.891517402138561e-05,225.22715759277344,4679.20458984375,204410.96875,0.0002600745647214353,922663296.0,108.397705078125
npg_reward_only,706,17,67902,0.0,False,287.13189697265625,0.19540807604789734,0.0,287.13189697265625,4303.02392578125,0.0,0.0,0.0,-0.432756245136261,True,nan,False,0.001263676444068551,0.01,True,,0.001,0.0010000000474974513,7.608944724779576e-05,287.13189697265625,4303.02392578125,345446.78125,8.407876157434657e-05,600329088.0,118.98727416992188
npg_reward_only,706,18,71902,0.0,False,431.3534240722656,0.18316051363945007,0.0,431.3534240722656,5153.42431640625,0.0,0.0,0.0,-0.7073140144348145,True,nan,False,0.0011751761194318533,0.01,True,,0.001,0.0010000000474974513,6.53638198855333e-05,431.3534240722656,5153.42431640625,468117.8125,0.0002272189740324393,496959936.0,116.0273666381836
npg_reward_only,706,19,75902,0.0,False,312.62353515625,0.21957983076572418,0.0,312.62353515625,5336.30810546875,0.0,0.0,0.0,-0.6420764923095703,True,nan,False,0.0011387179838493466,0.01,True,,0.001,0.0009999998146668077,6.67639760649763e-05,312.62353515625,5336.30810546875,448689.1875,0.00019119524222332984,862375424.0,139.64382934570312
npg_reward_only,706,20,79902,0.0,False,135.05294799804688,0.24048325419425964,0.0,135.05294799804688,5105.57666015625,0.0,0.0,0.0,-0.4583453834056854,True,nan,False,0.0010698707774281502,0.01,True,,0.001,0.0009999992325901985,0.0001059974092640914,135.05294799804688,5105.57666015625,178008.0,9.777592640602961e-05,136757856.0,141.1065216064453
npg_reward_only,706,21,83902,0.0,False,432.6495361328125,0.2589869201183319,0.0,432.6495361328125,6092.251953125,0.0,0.0,0.0,-0.61501145362854,True,nan,False,0.0009617416653782129,0.01,True,,0.001,0.0010000001639127731,5.2825464081251994e-05,432.6495361328125,6092.251953125,716709.875,0.0002418933145236224,1400941312.0,146.27297973632812
npg_reward_only,706,22,87902,0.0,False,381.9703369140625,0.2615094482898712,0.0,381.9703369140625,4923.037109375,0.0,0.0,0.0,0.4267003834247589,True,nan,False,0.000965349783655256,0.01,True,,0.001,0.0010000001639127731,6.434456736315042e-05,381.9703369140625,4923.037109375,483065.75,0.0002075844386126846,980976192.0,136.51736450195312
npg_reward_only,706,23,91902,0.0,False,570.4751586914062,0.24334993958473206,0.0,570.4751586914062,4999.96923828125,0.0,0.0,0.0,-0.7946773171424866,True,nan,False,0.0011179250432178378,0.01,True,,0.001,0.0009999999310821295,6.181462231324986e-05,570.4751586914062,4999.96923828125,523416.625,0.0002331054856767878,969762432.0,138.0406951904297
npg_reward_only,706,24,95902,0.0,False,415.2794494628906,0.2713654637336731,0.0,415.2794494628906,5644.0703125,0.0,0.0,0.0,0.5552098751068115,True,nan,False,0.0011241445317864418,0.01,True,,0.001,0.0009999999310821295,5.398197390604764e-05,415.2794494628906,5644.0703125,686329.1875,0.0002201071911258623,353825088.0,144.47193908691406
npg_reward_only,706,25,99902,0.0,False,623.9630126953125,0.2754979431629181,0.0,623.9630126953125,5488.72021484375,0.0,0.0,0.0,0.23401480913162231,True,nan,False,0.0012011575745418668,0.01,True,,0.001,0.0010000001639127731,5.096707172924653e-05,623.9630126953125,5488.72021484375,769928.9375,0.00022007609368301928,192288944.0,132.10850524902344
npg_reward_only,706,26,103902,0.0,False,222.1716766357422,0.25350049138069153,0.0,222.1716766357422,6594.74609375,0.0,0.0,0.0,0.4793010652065277,True,nan,False,0.0008283701026812196,0.01,True,,0.001,0.0010000001639127731,6.80892844684422e-05,222.1716766357422,6594.74609375,431392.375,0.0002595714177004993,3592435200.0,138.56773376464844
npg_reward_only,706,27,107902,0.0,False,360.3188781738281,0.24081803858280182,0.0,360.3188781738281,5397.73486328125,0.0,0.0,0.0,-0.08343962579965591,True,nan,False,0.0011434841435402632,0.01,True,,0.001,0.0009999999310821295,6.4820924308151e-05,360.3188781738281,5397.73486328125,475991.9375,0.00027188609237782657,863462400.0,133.43161010742188
npg_reward_only,706,28,111902,0.0,False,320.61077880859375,0.24352778494358063,0.0,320.61077880859375,5807.4013671875,0.0,0.0,0.0,0.26451775431632996,True,nan,False,0.0009472742094658315,0.01,True,,0.001,0.001000000280328095,6.482862954726443e-05,320.61077880859375,5807.4013671875,475878.75,0.00014692738477606326,6128029696.0,155.56277465820312
npg_reward_only,706,29,115902,0.0,False,258.1141662597656,0.23928722739219666,0.0,258.1141662597656,5224.4501953125,0.0,0.0,0.0,0.592988908290863,True,nan,False,0.0012862220173701644,0.01,True,,0.001,0.0010000000474974513,7.511742296628654e-05,258.1141662597656,5224.4501953125,354444.875,0.00014229652879294008,6346727936.0,152.48170471191406
npg_reward_only,706,30,119902,0.0,False,473.41827392578125,0.22177082300186157,0.0,473.41827392578125,5991.14208984375,0.0,0.0,0.0,-0.4939176142215729,True,nan,False,0.0009096144349314272,0.01,True,,0.001,0.0010000001639127731,5.177549610380083e-05,473.41827392578125,5991.14208984375,746073.3125,0.00027368709561415017,284661536.0,147.29107666015625
npg_reward_only,706,31,123902,0.0,False,456.0210876464844,0.23347564041614532,0.0,456.0210876464844,5706.6552734375,0.0,0.0,0.0,0.14728008210659027,True,nan,False,0.0010899597546085715,0.01,True,,0.001,0.0010000001639127731,5.811329901916906e-05,456.0210876464844,5706.6552734375,592214.375,0.00016276394308079034,295639936.0,132.0467987060547
npg_reward_only,706,32,127902,0.0,False,295.697265625,0.22130972146987915,0.0,295.697265625,6642.9033203125,0.0,0.0,0.0,-0.48456108570098877,True,nan,False,0.0008712008129805326,0.01,True,,0.001,0.0010000001639127731,6.076703721191734e-05,295.697265625,6642.9033203125,541619.0,0.0002812444290611893,943840640.0,146.1266632080078
npg_reward_only,706,33,131902,0.0,False,156.24937438964844,0.22411587834358215,0.0,156.24937438964844,5720.15673828125,0.0,0.0,0.0,0.09972304105758667,True,nan,False,0.0013120593503117561,0.01,True,,0.001,0.0010000001639127731,9.096382564166561e-05,156.24937438964844,5720.15673828125,241708.875,0.00015659289783798158,1287140864.0,154.60952758789062
npg_reward_only,706,34,135902,0.0,False,258.6397399902344,0.22357125580310822,0.0,258.6397399902344,5291.89599609375,0.0,0.0,0.0,-0.10695890337228775,True,nan,False,0.0008297772146761417,0.01,True,,0.001,0.0010000001639127731,7.321719022002071e-05,258.6397399902344,5291.89599609375,373081.6875,0.0002118184056598693,1000013504.0,171.46090698242188
npg_reward_only,706,35,139902,0.0,False,310.6908874511719,0.20939728617668152,0.0,310.6908874511719,5149.4580078125,0.0,0.0,0.0,-0.8441199660301208,True,nan,False,0.0009863479062914848,0.01,True,,0.001,0.001000000280328095,5.998563938192092e-05,310.6908874511719,5149.4580078125,555821.625,0.00014837051276117563,285700992.0,180.8783416748047
npg_reward_only,706,36,143902,0.0,False,377.67974853515625,0.2229604572057724,0.0,377.67974853515625,5331.33203125,0.0,0.0,0.0,-0.7254096269607544,True,nan,False,0.0009834358934313059,0.01,True,,0.001,0.0009999999310821295,5.941282870480791e-05,377.67974853515625,5331.33203125,566590.875,0.00011863350664498284,399388320.0,154.55210876464844
npg_reward_only,706,37,147902,0.0,False,333.90087890625,0.23189480602741241,0.0,333.90087890625,5446.69091796875,0.0,0.0,0.0,0.3394172489643097,True,nan,False,0.000852622149977833,0.01,True,,0.001,0.0010000001639127731,5.952827996225096e-05,333.90087890625,5446.69091796875,564395.25,0.0001066388504114002,967356928.0,155.7875518798828
npg_reward_only,706,38,151902,0.0,False,366.94482421875,0.21729883551597595,0.0,366.94482421875,5175.37841796875,0.0,0.0,0.0,-0.13841025531291962,True,nan,False,0.0009277370409108698,0.01,True,,0.001,0.0010000001639127731,7.033139991108328e-05,366.94482421875,5175.37841796875,404325.875,0.00014441725215874612,1000724096.0,150.83050537109375
npg_reward_only,706,39,155834,0.0,False,267.06622314453125,0.22851084172725677,0.0,267.06622314453125,5613.20068359375,0.0,0.0,0.0,-0.8345502018928528,True,nan,False,0.0013434846187010407,0.01,True,,0.001,0.0010000001639127731,7.147383439587429e-05,267.06622314453125,5613.20068359375,391503.6875,0.00026588962646201253,1279270272.0,157.15631103515625
npg_reward_only,706,40,159834,0.0,False,245.51466369628906,0.2537330389022827,0.0,245.51466369628906,5605.61669921875,0.0,0.0,0.0,0.2634251117706299,True,nan,False,0.0007729086210019886,0.01,True,,0.001,0.0009999999310821295,7.279487181222066e-05,245.51466369628906,5605.61669921875,377423.0625,0.00012009701458737254,1050180288.0,150.7071075439453
npg_reward_only,706,41,163834,0.0,False,302.6080322265625,0.2429150491952896,0.0,302.6080322265625,5105.2626953125,0.0,0.0,0.0,-0.764040470123291,True,nan,False,0.0009846434695646167,0.01,True,,0.001,0.0009999999310821295,7.205946167232469e-05,302.6080322265625,5105.2626953125,385166.0,0.00012663826055359095,160368912.0,147.8457794189453
npg_reward_only,706,42,167834,0.0,False,491.0675964355469,0.257822185754776,0.0,491.0675964355469,5865.5146484375,0.0,0.0,0.0,-0.502949595451355,True,nan,False,0.0009291176684200764,0.01,True,,0.001,0.0009999999310821295,5.6097182095982134e-05,491.0675964355469,5865.5146484375,635547.375,0.00015855018864385784,413405632.0,145.11610412597656
npg_reward_only,706,43,171834,0.0,False,520.3935546875,0.2652397155761719,0.0,520.3935546875,5676.90966796875,0.0,0.0,0.0,0.8359459042549133,True,nan,False,0.000855912221595645,0.01,True,,0.001,0.0010000001639127731,5.7166413171216846e-05,520.3935546875,5676.90966796875,611995.375,0.00015397468814626336,1704115072.0,169.4254150390625
