"experiment","environment","width","seed","completed_iterations","final_train_reward","final_100_mean_reward","best_observed_reward","final_iteration_kl","cumulative_kl"
"Hopper_150iterations","Hopper","8x8","23","149","495.2598","491.495191","524.3395","0.02686845","2.640468834"
"Hopper_150iterations","Hopper","8x8","24","149","1330.7945","977.388428","1431.2465","0.03489908","2.2051060494"
"Hopper_150iterations","Hopper","8x8","25","149","1325.4576","1265.569017","1470.4949","0.03411441","3.139855074"
"Hopper_150iterations","Hopper","8x8","26","149","275.218","226.79128","275.218","0.006276186","0.6393124724"
"Hopper_150iterations","Hopper","8x8","27","149","1424.3341","1212.613215","1484.8319","0.02604126","3.050910336"
"Hopper_150iterations","Hopper","8x8","28","149","1233.556","882.005614","1322.5121","0.03711157","2.909204213"
"Swimmer","Swimmer","16x16","23","1199","119.4657","120.066681","122.973","0.0006309023","0.435663866907"
"Swimmer","Swimmer","16x16","24","1199","108.5228","107.671189","110.3467","0.0003843243","0.271700446081"
"Swimmer","Swimmer","16x16","25","1199","81.2665","81.563423","83.1438","0.0002692995","0.1684670455"
"Swimmer","Swimmer","16x16","26","1199","83.6706","82.525792","85.0107","0.0002064527","0.125651736132"
"Swimmer","Swimmer","16x16","27","1199","93.5347","91.097671","93.5347","0.0002689051","0.151874300932"
"Swimmer","Swimmer","16x16","28","1199","84.7136","85.065221","86.8955","0.0002288248","0.163854727094"
"Swimmer","Swimmer","4x4","23","1199","124.0306","121.642727","124.9415","8.609051E-05","0.066260438008"
"Swimmer","Swimmer","4x4","24","1199","38.1783","37.949186","38.3862","5.869165E-05","0.027301181267"
"Swimmer","Swimmer","4x4","25","1199","29.7513","29.622515","30.0894","1.457967E-05","0.0127360795915"
"Swimmer","Swimmer","4x4","26","1199","125.3386","123.788049","126.7236","0.0001133053","0.0769899259449999"
"Swimmer","Swimmer","4x4","27","1199","62.393","61.223252","63.3048","4.590466E-05","0.039788449931"
"Swimmer","Swimmer","4x4","28","1199","33.0007","32.865721","33.2706","1.823429E-05","0.017538693253"
"Swimmer","Swimmer","8x8","23","1199","108.0002","106.295733","109.0895","0.0001755032","0.0945766039229999"
"Swimmer","Swimmer","8x8","24","1199","64.9404","63.875848","65.4639","9.928476E-05","0.051456434893"
"Swimmer","Swimmer","8x8","25","1199","107.4822","106.031158","108.5887","0.0001433669","0.111589664576"
"Swimmer","Swimmer","8x8","26","1199","100.6779","99.010647","101.593","0.0001649162","0.103899411314"
"Swimmer","Swimmer","8x8","27","1199","98.1505","96.46172","98.8363","0.0001578251","0.088087538311"
"Swimmer","Swimmer","8x8","28","1199","101.3187","100.286622","102.4357","0.0002114717","0.0886709008279999"
