width,iteration,trajectory_count,sample_count,invalid_sample_count,mean_return,std_return,min_return,max_return,mean_length,min_length,max_length,rollout_seconds
4,0,128,25600,0,14.462495335438174,9.710402454728156,-13.555337785572682,31.603726198855867,200.0,200,200,1.0407436660025269
4,1,128,25600,0,14.941326646517856,9.716781313524463,-12.547023909198407,30.410787936738092,200.0,200,200,1.1686401670012856
4,2,128,25600,0,14.081313410948535,9.369360170006237,-8.947735300583131,31.417976784287728,200.0,200,200,1.0303292910029995
4,3,128,25600,0,14.454258511334558,8.73507001090425,-4.931711546014814,33.92634979905185,200.0,200,200,1.1122969999996712
4,4,128,25600,0,13.91523262070684,9.641330922252285,-7.792156853947528,34.1089656024279,200.0,200,200,1.112625958994613
4,5,128,25600,0,15.498453260125466,8.638270405520498,-6.507631255785495,30.423161824010005,200.0,200,200,1.1929249160020845
4,6,128,25600,0,15.534158110199222,8.878244030002689,-9.505089537749086,31.250846344076667,200.0,200,200,1.3268115000028047
4,7,128,25600,0,14.525752469740723,8.504948630836477,-8.535805391860007,33.14914799269201,200.0,200,200,1.1009861249985988
4,8,128,25600,0,14.620129955747831,9.872660055468089,-8.04800074083476,33.083718448424776,200.0,200,200,1.3443212499987567
4,9,128,25600,0,14.055702313960982,9.406577829899684,-4.954551908247305,32.419925168068865,200.0,200,200,1.202387124998495
8,0,128,25600,0,15.362766619697597,13.346271641677447,-9.490063391952829,31.938367086275118,200.0,200,200,1.320992875000229
8,1,128,25600,0,13.886959616466285,13.708710121991206,-9.912005693913839,32.537796914771434,200.0,200,200,1.0099585830030264
8,2,128,25600,0,14.373826616554531,13.874347800635359,-12.08554935907824,31.198780814922298,200.0,200,200,1.1896774580018246
8,3,128,25600,0,14.34681981671731,14.027244707108967,-16.495111861910726,31.365283348608127,200.0,200,200,1.187936374997662
8,4,128,25600,0,14.71554924561644,13.500777034946342,-10.360286047214306,32.367778816661975,200.0,200,200,1.0579247499990743
8,5,128,25600,0,15.8935892083614,13.651764868515663,-10.272306707443937,32.03787174716456,200.0,200,200,1.298437167002703
8,6,128,25600,0,14.150670115421171,13.885723865754496,-12.10233941261136,33.24048483052159,200.0,200,200,1.3850801249936922
8,7,128,25600,0,15.69959247649463,12.635031319659069,-10.346431178937204,30.814725849293026,200.0,200,200,1.2346716660031234
8,8,128,25600,0,13.277000754736768,13.841865677028506,-12.70625742848666,32.839139916185644,200.0,200,200,1.3878440000044066
8,9,128,25600,0,13.675366901196405,14.482337129071059,-13.187692517038563,32.179119293229114,200.0,200,200,1.1910710840020329
16,0,128,25600,0,-1.1339073652930336,5.069566708927574,-11.672376482029343,16.597868125995937,200.0,200,200,1.1813503339944873
16,1,128,25600,0,-0.9629437980933815,4.595098234270892,-9.859194700618662,10.765651419034958,200.0,200,200,1.1559947499990813
16,2,128,25600,0,-1.748072473496992,4.791435946549792,-11.870073673806168,12.139795605079092,200.0,200,200,1.2737634160002926
16,3,128,25600,0,-0.9465673080941546,4.75577154940983,-10.320145144819165,11.209706210095321,200.0,200,200,1.2121644170038053
16,4,128,25600,0,-0.2468603428721267,5.143899207323385,-9.935387040513733,16.96394030973175,200.0,200,200,1.0513881660008337
16,5,128,25600,0,-0.8120304709179945,5.0756397073200334,-11.741462805870492,12.211801282327327,200.0,200,200,1.3818331660004333
16,6,128,25600,0,-0.3085886674719476,4.540302205094492,-9.811897411335286,14.068774232946337,200.0,200,200,1.2581520000021555
16,7,128,25600,0,-1.463457404605713,5.334376527096709,-14.653988536633737,10.45187454275792,200.0,200,200,1.1621693750057602
16,8,128,25600,0,-0.4677311885561791,4.513166256466991,-10.237590252561859,14.008363229142239,200.0,200,200,1.243917291998514
16,9,128,25600,0,-0.363802017774439,4.865917939943153,-10.052323267313282,15.51931151746667,200.0,200,200,1.178729833001853
