width,depth,matrix_dimension,sample_count,trace,numerical_rank,effective_rank,stable_rank,positive_condition_number,components_90,components_95,components_99,minimum_eigenvalue,symmetry_error,rank_tolerance,psd_tolerance
4,2,86,29389,41.103991386352305,86,6.163801238282999,1.5594224458144519,248576602.41348568,6,8,15,6.495518719366297e-08,1.1546319456101628e-14,3.083278560886997e-13,3.083278560886997e-11
8,2,198,11549,35.02286618120014,198,7.298236201684814,1.8587877766738452,15552684684.614876,7,9,15,7.274568308311776e-10,8.326672684688674e-15,4.974140052947124e-13,4.974140052947124e-11
16,2,518,21107,47.15708761940382,518,9.930454088342808,1.9403570411319413,9634799315.660788,10,13,25,1.4023294179566922e-09,2.4424906541753444e-15,1.5540418248974556e-12,1.5540418248974557e-10
