width,depth,matrix_dimension,sample_count,trace,numerical_rank,effective_rank,stable_rank,positive_condition_number,components_90,components_95,components_99,minimum_eigenvalue,symmetry_error,rank_tolerance,psd_tolerance
4,2,68,256000,15.861179776676073,68,7.122852495765074,2.3560960975813776,89183632.70013142,6,8,13,5.0476589923969996e-08,1.687538997430238e-14,6.797110087884875e-14,6.7971100878848744e-12
8,2,164,256000,23.231038026190525,164,5.72083909535757,1.7436193716273691,1502034974.7436655,6,8,13,5.9148827907655395e-09,3.6415315207705135e-14,3.235267997972443e-13,3.2352679979724426e-11
16,2,452,256000,29.308902900074752,452,8.1872523337939,2.347536851618164,28720367237.390717,7,9,15,2.6746320599605246e-10,1.5987211554602254e-14,7.709615073927139e-13,7.70961507392714e-11
