environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,reward_gradient_norm,captured_euclidean_energy_fraction,leading_k90_euclidean_energy_fraction,leading_k90_natural_energy_fraction,natural_energy
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,28000,28000,fixed_reference,analysis-fixed_reference-302-28000,False,1.2834409715354498,1.0000000000000004,0.9368993129852629,0.05823321722333823,48.93449366339966
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,40000,40000,on_policy,analysis-on_policy-302-40000,False,2.1164268841876077,0.9999999952742692,0.9673393875032908,0.010724287896872174,731.7525427374885
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,40000,40000,fixed_reference,analysis-fixed_reference-302-40000,False,2.1164268841876077,1.0000000000000022,0.9700823554175552,0.18814506926686012,47.98342628102296
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,52000,52000,on_policy,analysis-on_policy-302-52000,False,4.241057710652683,0.9999999936981322,0.9935871952573705,0.007873753159525442,3072.434375307208
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,52000,52000,fixed_reference,analysis-fixed_reference-302-52000,False,4.241057710652683,0.9999999999999998,0.9682447009665983,0.1552393454187943,193.83745566495796
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,64000,64000,on_policy,analysis-on_policy-302-64000,False,1.0677604372880298,0.9999999815892264,0.7560229963507156,0.0013607969090778326,811.9079378234132
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,64000,64000,fixed_reference,analysis-fixed_reference-302-64000,False,1.0677604372880298,0.999999999999999,0.9342966122309022,0.06405638329293753,36.12956505758511
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,76000,76000,on_policy,analysis-on_policy-302-76000,False,5.5672885676028585,0.9999999993655122,0.9832408428413449,0.06012373488271246,793.7356294459155
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,76000,76000,fixed_reference,analysis-fixed_reference-302-76000,False,5.5672885676028585,1.0000000000000007,0.9741605713552747,0.16379265529845427,352.082486366264
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,88000,88000,on_policy,analysis-on_policy-302-88000,False,1.9171073614715899,0.9999999941201668,0.8631371068910456,0.004872527783003171,758.0596638718514
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,88000,88000,fixed_reference,analysis-fixed_reference-302-88000,False,1.9171073614715899,1.0000000000000009,0.9412066954864073,0.058524238525955875,90.14715338045976
