width,iteration,trajectory_count,sample_count,invalid_sample_count,mean_return,std_return,min_return,max_return,mean_length,min_length,max_length,rollout_seconds
4,0,128,25600,0,-28.36327183800138,28.92270063172653,-130.89439482268273,30.62921579471392,200.0,200,200,0.9055462499964051
4,1,128,25600,0,-31.14666262710137,31.441100276951907,-128.93314583117927,30.382804707294277,200.0,200,200,1.0049738749949029
4,2,128,25600,0,-31.008218461704182,29.487859177446552,-120.58647140623044,38.56504282647792,200.0,200,200,0.9378336249938002
4,3,128,25600,0,-23.07185600264432,28.649428791064974,-114.5429646106103,28.17083987423478,200.0,200,200,1.1426443329983158
4,4,128,25600,0,-28.11551974045109,27.234759123691273,-108.74554008605371,54.66138207939672,200.0,200,200,1.3545386670011794
4,5,128,25600,0,-32.67405166918455,32.187980416698885,-134.50165989786638,55.40739737226107,200.0,200,200,0.9922964580036933
4,6,128,25600,0,-29.74727676232412,30.44013931653843,-102.30114673272828,43.953939349757526,200.0,200,200,1.1136969580038567
4,7,128,25600,0,-29.07769415172645,32.3445179235682,-149.66817481384786,48.67599371378679,200.0,200,200,1.2714824170034262
4,8,128,25600,0,-30.51342079921283,30.451280209574715,-135.02965009372764,35.1489949708856,200.0,200,200,0.9331787499977509
4,9,128,25600,0,-29.188206018675615,30.08143186715803,-133.6209157920933,54.362924046865444,200.0,200,200,0.9136414169988711
8,0,128,25600,0,-49.062435955956076,40.475445725550706,-148.99795815443431,36.55595387724243,200.0,200,200,0.9920334159978665
8,1,128,25600,0,-37.2053130132847,39.709248885330176,-162.81387507512957,35.64277625088408,200.0,200,200,0.9927874169952702
8,2,128,25600,0,-41.441348914333915,40.05083573034123,-148.66709721445088,42.04323785925252,200.0,200,200,1.0154679580009542
8,3,128,25600,0,-45.38717226825046,40.37859437796971,-145.72132391051633,41.76206431351855,200.0,200,200,1.226499625001452
8,4,128,25600,0,-33.73063647005597,38.29383708484773,-144.67096132787412,50.486920376134236,200.0,200,200,1.404876582993893
8,5,128,25600,0,-43.80726394191821,38.396524719344676,-180.259014735083,31.883458840989803,200.0,200,200,1.0136716249980964
8,6,128,25600,0,-48.65302043930957,42.3682703530188,-169.68740648889002,36.89051810473792,200.0,200,200,1.1773183749974123
8,7,128,25600,0,-42.90778066643412,39.81453402529443,-158.21898967169645,52.547960011669076,200.0,200,200,1.2812486659968272
8,8,128,25600,0,-53.422040094104005,42.76084892085181,-190.64704377881196,34.843739062302014,200.0,200,200,1.208285791995877
8,9,128,25600,0,-45.42266710116425,39.909183446832344,-161.2539051195614,30.608905776076455,200.0,200,200,1.165446917002555
16,0,128,25600,0,-52.73726907456516,29.465583535808157,-144.18778774908668,17.30922111731592,200.0,200,200,1.0182205000019167
16,1,128,25600,0,-52.221644767178326,30.73488644946814,-129.17620507126298,12.146584726911554,200.0,200,200,1.08583820900094
16,2,128,25600,0,-53.35579105911621,31.31667995608214,-122.76257334447482,23.861781280324777,200.0,200,200,1.0277315839994117
16,3,128,25600,0,-46.63024719349444,31.849001253310306,-132.14540425624213,27.625462993711615,200.0,200,200,1.0086610419966746
16,4,128,25600,0,-52.21525574854016,32.719064411067585,-130.99580322282966,34.12755627027745,200.0,200,200,1.0716732080036309
16,5,128,25600,0,-49.455942757617464,34.50821441858451,-126.13689522080598,28.86405271821973,200.0,200,200,1.0980224999948405
16,6,128,25600,0,-53.649574722031325,30.762481071474454,-164.50289037577843,6.166893899175121,200.0,200,200,1.098955041001318
16,7,128,25600,0,-46.81120777995939,31.183251954582246,-130.37239024496066,24.32428004750362,200.0,200,200,1.1390058340039104
16,8,128,25600,0,-52.3076191877787,33.02680058780573,-122.86971638547875,10.41502373280931,200.0,200,200,1.2420333339978242
16,9,128,25600,0,-47.46502363389112,32.69660907458141,-146.04071877150164,25.282081008846106,200.0,200,200,1.2593098750003264
