width,depth,matrix_dimension,sample_count,trace,numerical_rank,effective_rank,stable_rank,positive_condition_number,components_90,components_95,components_99,minimum_eigenvalue,symmetry_error,rank_tolerance,psd_tolerance
4,2,128,256000,138.7482969366357,128,36.128608903009486,3.902584061595603,148114.93723912953,32,40,57,9.354390290988814e-05,0.0,3.937898699348724e-13,3.937898699348724e-11
8,2,276,256000,175.84668527831317,276,48.22514459621031,4.180060473372917,436444.23623534373,45,60,100,3.605751914140669e-05,2.120525977034049e-14,9.6443710950981e-13,9.6443710950981e-11
16,2,668,256000,159.04203643620664,668,76.13416735042868,9.1756450050484,683930.5791609216,70,105,198,1.0916132263203048e-05,0.0,1.1073820992474889e-12,1.1073820992474888e-10
