scaling,horizon,handoff_update,initialization,n_trajectories,method,optimizer,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,final_q_median,final_pi1_good_median,completed_horizon_rate,last_update_median,last_update_min,collapsed_run_count,collapse_update_median,collapse_at_handoff,fisher_rank_deficient_rate,fisher_min_eigenvalue_p50,step_norm_bound,step_norm_p50,step_norm_p99,step_norm_max,step_over_bound_rate,nonfinite_step_count,target_kl,realized_kl_p50,realized_kl_p99,realized_kl_max
damped,100,50,uniform,32,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.3535,0.3535,0.3406,0.4288,1.0,100,100,0,,False,0.002,2.481e-02,,,,,,,,,,
damped,100,50,uniform,32,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.349,0.3489,0.3434,0.4204,1.0,100,100,0,,False,0.002,2.482e-02,,,,,,,,,,
damped,100,50,uniform,32,sampled_npg_reward_only,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,100,100,0,,False,0.792,-2.181e-36,0.4472,0.4459,0.4472,0.4472,0.0,0,0.001,2.043e-04,2.410e-03,3.854e-03
damped,100,50,uniform,32,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,100,100,0,,False,0.339,4.440e-03,0.4472,0.1974,0.4472,0.4472,0.0,0,0.001,8.842e-04,2.965e-03,3.820e-03
damped,100,50,uniform,32,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6331,0.6322,0.6401,0.7799,1.0,100,100,0,,False,0.014,1.187e-02,0.4472,0.133,0.3055,0.3909,0.0,0,0.001,9.713e-04,2.592e-03,3.075e-03
damped,100,50,uniform,128,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.3547,0.3547,0.3391,0.4308,1.0,100,100,0,,False,0.0,2.640e-02,,,,,,,,,,
damped,100,50,uniform,128,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.3532,0.3531,0.3406,0.4284,1.0,100,100,0,,False,0.0,2.653e-02,,,,,,,,,,
damped,100,50,uniform,128,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3487,0.3488,0.3434,0.4205,1.0,100,100,0,,False,0.0,2.660e-02,,,,,,,,,,
damped,100,50,uniform,128,sampled_npg_reward_only,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,100,100,0,,False,0.66,2.776e-31,0.4472,0.4431,0.4472,0.4472,0.0,0,0.001,2.230e-04,1.251e-03,1.802e-03
damped,100,50,uniform,128,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,100,100,0,,False,0.253,1.141e-02,0.4472,0.1738,0.4472,0.4472,0.0,0,0.001,8.627e-04,1.293e-03,2.661e-03
damped,100,50,uniform,128,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6204,0.6194,0.6256,0.7657,1.0,100,100,0,,False,0.0,1.568e-02,0.4472,0.1249,0.233,0.3249,0.0,0,0.001,9.244e-04,1.283e-03,1.854e-03
damped,500,250,adverse,4,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.4728,0.4728,0.0064,0.0158,1.0,500,500,0,,False,1.0,0.000e+00,,,,,,,,,,
damped,500,250,adverse,4,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4148,0.4148,0.0653,0.0239,1.0,500,500,0,,False,0.982,0.000e+00,,,,,,,,,,
