iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
41,0.5503,26.9316,1.707744e-04,1.338455e+02,1.338455e+02,1.135267,0.753014,4.788,38.3311,92.94,0.1268,0.0059,0.1327
42,23.1231,26.9316,1.150193e-04,2.270960e+02,2.270960e+02,1.145494,0.760755,23.5287,49.2656,86.0,0.1118,0.0043,0.116
43,15.0334,26.9316,1.202329e-04,8.532609e+01,8.532609e+01,1.15595,0.768751,20.5153,47.9062,92.28,0.172,0.0053,0.1773
44,12.6687,26.9316,1.091540e-04,1.415797e+02,1.415797e+02,1.166201,0.776671,17.4187,46.5711,92.0,0.1015,0.0042,0.1058
45,12.8977,26.9316,1.515524e-04,2.381871e+02,2.381871e+02,1.178012,0.785899,13.9844,45.4518,87.84,0.094,0.004,0.098
46,9.5487,26.9316,1.178084e-04,5.172187e+01,5.172187e+01,1.188788,0.794414,10.2977,43.4825,88.09,0.1002,0.0049,0.105
47,16.045,26.9316,1.573397e-04,1.532432e+02,1.532432e+02,1.19992,0.803307,16.8687,46.8679,87.06,0.1277,0.0042,0.1319
48,9.6853,26.9316,1.211247e-04,1.960254e+01,1.960254e+01,1.209994,0.811441,9.639,42.9082,87.22,0.1278,0.0041,0.1319
49,29.4622,29.4622,8.528318e-05,8.577783e+01,8.577783e+01,1.217823,0.817818,29.449,51.2231,83.97,0.092,0.0058,0.0978
50,21.4878,29.4622,1.659635e-04,1.844678e+02,1.844678e+02,1.226379,0.824845,24.7055,49.633,88.5,0.0891,0.004,0.0931
51,7.886,29.4622,1.138158e-04,5.315375e+01,5.315375e+01,1.233437,0.830687,11.5128,44.9474,90.12,0.0948,0.0043,0.0991
52,28.2415,29.4622,8.839979e-05,1.525161e+02,1.525161e+02,1.241732,0.837606,27.9451,51.1859,83.06,0.12,0.0049,0.1249
53,21.3522,29.4622,1.036686e-04,1.572986e+02,1.572986e+02,1.25142,0.845761,21.7099,49.5062,84.91,0.1325,0.0044,0.1369
54,10.8856,29.4622,1.461295e-04,2.635759e+02,2.635759e+02,1.262462,0.855151,15.4317,46.6283,90.75,0.1026,0.0042,0.1068
55,28.448,29.4622,1.269115e-04,1.083096e+02,1.083096e+02,1.273588,0.864719,27.3504,51.1977,82.16,0.0904,0.004,0.0944
56,15.0442,29.4622,1.269657e-04,1.272924e+02,1.272924e+02,1.283142,0.87302,15.6669,47.1636,86.56,0.0961,0.0041,0.1002
57,17.7708,29.4622,2.500459e-04,2.160493e+02,2.160493e+02,1.292166,0.880934,18.2904,48.5021,85.69,0.0982,0.0051,0.1034
58,17.1976,29.4622,1.843201e-04,2.273479e+02,2.273479e+02,1.303018,0.890546,20.8166,48.7882,88.69,0.1231,0.0041,0.1272
59,37.1034,37.1034,2.933836e-04,1.922732e+02,1.922732e+02,1.313698,0.900107,39.9727,51.5862,84.31,0.119,0.0052,0.1242
60,19.1966,37.1034,1.397205e-04,1.410088e+02,1.410088e+02,1.322341,0.907922,16.4833,47.5114,82.81,0.088,0.0039,0.0919
61,35.5184,37.1034,2.339718e-04,2.277035e+02,2.277035e+02,1.332827,0.917492,32.9551,52.053,78.84,0.0847,0.0038,0.0885
62,21.3923,37.1034,4.233577e-04,2.308689e+02,2.308689e+02,1.343298,0.92715,21.5142,49.7214,84.72,0.0912,0.004,0.0952
63,19.0077,37.1034,1.917341e-04,1.800701e+02,1.800701e+02,1.353006,0.936194,16.623,47.1626,83.09,0.1373,0.005,0.1422
64,14.0258,37.1034,1.022676e-04,1.246580e+02,1.246580e+02,1.362155,0.944799,17.6858,47.7369,89.34,0.1199,0.0045,0.1244
65,34.9174,37.1034,1.397528e-04,1.459755e+02,1.459755e+02,1.369858,0.952105,33.6446,51.9287,80.38,0.115,0.004,0.119
66,28.465,37.1034,1.050181e-04,5.487448e+01,5.487448e+01,1.376548,0.958495,24.9057,50.7697,79.31,0.0968,0.0041,0.1009
67,30.3044,37.1034,6.922708e-05,1.701272e+02,1.701272e+02,1.384197,0.965856,33.0178,51.7169,85.19,0.0914,0.0039,0.0953
68,8.056,37.1034,6.234004e-05,1.530077e+02,1.530077e+02,1.391133,0.972577,8.2687,42.7843,86.69,0.1055,0.0041,0.1096
69,17.2192,37.1034,3.144363e-05,1.663768e+02,1.663768e+02,1.394871,0.97622,18.9324,48.6174,87.0,0.1063,0.0041,0.1104
70,27.3274,37.1034,1.374447e-05,7.464545e+01,7.464545e+01,1.397498,0.978788,27.468,51.4116,82.91,0.1189,0.0042,0.1231
71,34.5332,37.1034,6.026252e-05,2.507986e+02,2.507986e+02,1.399082,0.98034,33.8243,52.4543,80.47,0.0986,0.0038,0.1025
72,19.3519,37.1034,3.797463e-05,7.073991e+01,7.073991e+01,1.401434,0.982647,16.1834,47.3762,82.47,0.0925,0.0042,0.0968
73,24.534,37.1034,1.049974e-05,1.539977e+02,1.539977e+02,1.404653,0.985816,23.9507,50.4602,83.06,0.0939,0.0039,0.0978
74,17.3576,37.1034,3.302034e-06,1.146567e+02,1.146567e+02,1.405922,0.987068,18.0287,48.4641,85.34,0.0978,0.0044,0.1022
75,34.4779,37.1034,2.779633e-05,1.874715e+02,1.874715e+02,1.407745,0.98887,33.3279,52.6743,80.16,0.1148,0.0042,0.1191
76,32.3843,37.1034,1.324399e-05,2.024544e+02,2.024544e+02,1.41096,0.992053,26.1549,51.4285,75.75,0.1028,0.0039,0.1067
77,21.1506,37.1034,2.245757e-05,7.787224e+01,7.787224e+01,1.413535,0.994612,19.9245,49.2056,83.03,0.0879,0.004,0.0918
78,36.194,37.1034,1.472027e-05,6.085266e+01,6.085266e+01,1.415799,0.996865,29.5312,52.0945,74.28,0.0876,0.0037,0.0913
79,38.3774,38.3774,8.301330e-05,2.317199e+02,2.317199e+02,1.420549,1.001612,36.8814,52.2832,78.81,0.0861,0.0053,0.0914
80,31.0375,38.3774,3.390809e-05,1.320166e+02,1.320166e+02,1.425566,1.00665,28.4407,52.043,79.31,0.1051,0.004,0.1091
81,28.1658,38.3774,3.324167e-05,5.650533e+01,5.650533e+01,1.430791,1.011923,25.0719,51.1616,79.62,0.1342,0.0043,0.1384
82,19.8376,38.3774,7.190202e-05,2.436969e+02,2.436969e+02,1.438654,1.019911,22.3445,49.8384,86.75,0.09,0.004,0.094
83,28.6659,38.3774,1.005107e-04,2.179974e+02,2.179974e+02,1.44477,1.026168,24.9593,50.9734,79.06,0.0859,0.004,0.0899
84,23.9625,38.3774,1.938733e-04,1.496656e+02,1.496656e+02,1.451044,1.032626,22.0182,50.1709,81.09,0.0862,0.0043,0.0906
85,25.8837,38.3774,3.900397e-04,2.206986e+02,2.206986e+02,1.456187,1.037951,28.3346,51.3903,85.16,0.0865,0.004,0.0905
86,22.7848,38.3774,3.303567e-04,4.875633e+01,4.875633e+01,1.461235,1.043203,24.1202,50.688,84.28,0.1234,0.0047,0.1281
87,29.5379,38.3774,5.586043e-05,2.716624e+02,2.716624e+02,1.46553,1.047694,28.102,52.1393,79.78,0.1079,0.0039,0.1119
88,28.7615,38.3774,8.543214e-06,2.098208e+02,2.098208e+02,1.468258,1.050556,30.49,52.3186,83.34,0.1038,0.004,0.1077
89,31.6638,38.3774,7.951182e-05,2.210633e+02,2.210633e+02,1.471632,1.054106,34.7906,52.0685,84.03,0.093,0.0039,0.097
90,38.6285,38.6285,1.748391e-04,1.905764e+02,1.905764e+02,1.472951,1.055497,30.0549,52.6664,70.56,0.0854,0.0049,0.0903
91,42.2815,42.2815,1.091821e-04,1.430262e+02,1.430262e+02,1.47583,1.058541,35.5438,52.9722,71.06,0.0983,0.0064,0.1047
92,35.2291,42.2815,1.131926e-04,1.166864e+02,1.166864e+02,1.476769,1.059536,28.4436,52.3513,73.59,0.1093,0.0044,0.1137
93,44.2835,44.2835,6.327286e-05,2.752433e+02,2.752433e+02,1.481346,1.064396,41.6078,52.5813,74.41,0.1197,0.0051,0.1248
94,30.2317,44.2835,1.225493e-05,1.900895e+02,1.900895e+02,1.483988,1.067212,28.746,51.9196,79.66,0.0855,0.004,0.0895
95,26.9028,44.2835,1.390067e-05,1.327552e+02,1.327552e+02,1.485755,1.069099,25.2198,51.3156,80.66,0.0875,0.0038,0.0914
