seed,beta,checkpoint_update,minimum_eigenvalue,mu,inverse_margin_spectral_norm,beta_inverse_margin_pressure,reward_gradient_norm,raw_barrier_gradient_norm,applied_barrier_gradient_norm,barrier_to_reward_ratio
101,2e-06,50,2.896587059306184e-13,0.0,3452338837140.0405,6904677.674280081,70.67301177978516,3316661.75,6.633323669433594,0.09385935962200165
101,2e-06,100,3.8022025793900426e-10,0.0,2630054498.9910088,5260.108997982017,126.69221496582031,11874.61328125,0.023749224841594696,0.00018745606939774007
101,2e-06,150,5.1309172006237645e-08,0.0,19489692.795635644,38.97938559127129,131.62310791015625,3641.850830078125,0.007283701561391354,5.5337561207124963e-05
101,2e-06,200,7.83345547851134e-08,0.0,12765758.39031945,25.5315167806389,14.808438301086426,3086.041259765625,0.006172082852572203,0.0004167949955444783
101,2e-06,250,1.0176826206862473e-07,0.0,9826246.21540335,19.6524924308067,42.59727478027344,10917.4013671875,0.021834803745150566,0.0005125868483446538
101,5e-06,50,2.907694196646632e-13,0.0,3439151204941.957,17195756.024709787,128.9226531982422,7333999.0,36.66999435424805,0.28443408012390137
101,5e-06,100,1.6171168020852221e-09,0.0,618384521.5821955,3091.9226079109776,88.8597640991211,24147.26171875,0.12073629349470139,0.001358728506602347
101,5e-06,150,5.565841214379444e-08,0.0,17966736.050904278,89.8336802545214,248.51649475097656,681.6027221679688,0.0034080136101692915,1.3713430234929547e-05
101,5e-06,200,7.710957399257849e-07,0.0,1296855.8224640773,6.484279112320387,25.983884811401367,2954.125,0.014770624227821827,0.0005684532807208598
101,5e-06,250,1.7126399460552428e-06,0.0,583893.8898414227,2.9194694492071136,14.62680435180664,541.547119140625,0.0027077356353402138,0.00018512147653382272
101,1e-05,50,1.5447006919984435e-12,0.0,647374604789.1378,6473746.047891378,152.05137634277344,675905.8125,6.759058952331543,0.044452469795942307
101,1e-05,100,1.5032246318510967e-10,0.0,6652365713.090949,66523.6571309095,194.83409118652344,135383.796875,1.3538379669189453,0.0069486708380281925
101,1e-05,150,5.962100890911202e-08,0.0,16772611.170073098,167.726111700731,209.15020751953125,1027.6590576171875,0.01027659047394991,4.913497468805872e-05
101,1e-05,200,4.907277664686257e-07,0.0,2037789.7244254148,20.37789724425415,22.58669090270996,814.1134033203125,0.008141133934259415,0.00036043941508978605
101,1e-05,250,6.279363292263582e-07,0.0,1592518.1478702442,15.925181478702445,22.225234985351562,899.6495361328125,0.008996495045721531,0.0004047873953823
101,2e-05,50,1.2542777713467253e-13,0.0,7972715636396.029,159454312.7279206,91.67118072509766,4087826.25,81.75651550292969,0.8918453454971313
101,2e-05,100,4.986359883983915e-12,0.0,200547097134.32025,4010941.942686405,264.87750244140625,506802.8125,10.136055946350098,0.03826695680618286
101,2e-05,150,6.391533480565984e-10,0.0,1564569759.41781,31291.395188356204,194.77687072753906,13544.357421875,0.270887166261673,0.0013907563406974077
101,2e-05,200,6.522341284955176e-08,0.0,15331917.731852826,306.6383546370565,9.759461402893066,3533.99658203125,0.0706799253821373,0.007242195308208466
101,2e-05,250,7.14640207067321e-08,0.0,13993055.388021255,279.8611077604251,13.987092971801758,6535.88232421875,0.13071763515472412,0.009345590136945248
101,5e-05,50,5.665159083485927e-13,0.0,1765175496862.9631,88258774.84314816,242.7883758544922,8240071.5,412.0035400390625,1.6969656944274902
101,5e-05,100,6.458697392225126e-12,0.0,154829981848.0091,7741499.092400455,185.58937072753906,319799.28125,15.989964485168457,0.08615776151418686
101,5e-05,150,2.4999083553916875e-09,0.0,400014663.6748687,20000.733183743436,116.0345687866211,19545.76953125,0.9772884845733643,0.008422390557825565
101,5e-05,200,3.087662758444214e-08,0.0,32386956.679941032,1619.3478339970518,76.27583312988281,11553.330078125,0.5776664614677429,0.007573387585580349
101,5e-05,250,7.145967405141449e-08,0.0,13993906.539239326,699.6953269619663,12.837078094482422,4364.47412109375,0.2182237207889557,0.016999484971165657
101,0.0001,50,6.598164130540667e-14,0.0,15155730900529.418,1515573090.0529418,98.67603302001953,10368169.0,1036.8167724609375,10.507280349731445
101,0.0001,100,3.067928854517527e-13,0.0,3259527998921.811,325952799.89218116,134.45848083496094,3516813.0,351.6813049316406,2.6155383586883545
101,0.0001,150,1.4692619946932685e-13,0.0,6806138072119.437,680613807.2119437,143.40769958496094,4900781.0,490.07806396484375,3.4173762798309326
101,0.0001,200,1.8193937509185446e-12,0.0,549633634552.79376,54963363.45527938,125.49358367919922,1630571.75,163.05715942382812,1.2993266582489014
101,0.0001,250,6.10855627496676e-13,0.0,1637048027367.8767,163704802.73678768,111.89080810546875,1299948.75,129.99488830566406,1.1618013381958008
101,0.0002,50,3.6375702504770754e-13,0.0,2749087800761.6426,549817560.1523285,81.94186401367188,17187190.0,3437.43798828125,41.9497184753418
101,0.0002,100,3.7761653959747e-12,0.0,264818908903.18933,52963781.78063787,119.89264678955078,372910.15625,74.58203125,0.6220734119415283
101,0.0002,150,1.9072385939498285e-10,0.0,5243182489.973804,1048636.497994761,43.73463821411133,157283.34375,31.456668853759766,0.7192621231079102
101,0.0002,200,1.068313276223633e-09,0.0,936055015.1870127,187211.00303740252,85.86542510986328,30730.25,6.146049976348877,0.07157770544290543
101,0.0002,250,1.2801471055039633e-09,0.0,781160224.2433879,156232.0448486776,137.6978302001953,24023.43359375,4.804686546325684,0.0348929725587368
