seed,learning_rate,beta,checkpoint_update,batch_update,reward_trajectory_count,fisher_trajectory_count,reward_gradient_norm,status,fisher_surrogate_gradient_norm,barrier_gradient_norm,total_gradient_norm,barrier_to_reward_ratio,reward_barrier_cosine,domain_failure
101,0.02,2e-06,50,51,32,256,70.67301177978516,complete,3316661.75,6.633323669433594,71.55390167236328,0.09385935962200165,0.08669549971818924,
101,0.02,2e-06,100,101,32,256,126.69221496582031,complete,11874.61328125,0.023749224841594696,126.68894958496094,0.00018745606939774007,-0.13781888782978058,
101,0.02,2e-06,150,151,32,256,131.62310791015625,complete,3641.850830078125,0.007283701561391354,131.61895751953125,5.5337561207124963e-05,-0.5701119899749756,
101,0.02,2e-06,200,201,32,256,14.808438301086426,complete,3086.041259765625,0.006172082852572203,14.808663368225098,0.0004167949955444783,0.03651100769639015,
101,0.02,2e-06,250,251,32,256,42.59727478027344,complete,10917.4013671875,0.021834803745150566,42.595794677734375,0.0005125868483446538,-0.06817890703678131,
101,0.02,5e-06,50,51,32,256,128.9226531982422,complete,7333999.0,36.66999435424805,137.18060302734375,0.28443408012390137,0.09019187092781067,
101,0.02,5e-06,100,101,32,256,88.8597640991211,complete,24147.26171875,0.12073629349470139,88.86100006103516,0.001358728506602347,0.009585167281329632,
101,0.02,5e-06,150,151,32,256,248.51649475097656,complete,681.6027221679688,0.0034080136101692915,248.5173797607422,1.3713430234929547e-05,0.2686980664730072,
101,0.02,5e-06,200,201,32,256,25.983884811401367,complete,2954.125,0.014770624227821827,25.973445892333984,0.0005684532807208598,-0.7067545652389526,
101,0.02,5e-06,250,251,32,256,14.62680435180664,complete,541.547119140625,0.0027077356353402138,14.624993324279785,0.00018512147653382272,-0.6690950393676758,
101,0.02,1e-05,50,51,32,256,152.05137634277344,complete,675905.8125,6.759058952331543,151.55084228515625,0.044452469795942307,-0.0961591824889183,
101,0.02,1e-05,100,101,32,256,194.83409118652344,complete,135383.796875,1.3538379669189453,194.9465789794922,0.0069486708380281925,0.079639732837677,
101,0.02,1e-05,150,151,32,256,209.15020751953125,complete,1027.6590576171875,0.01027659047394991,209.14613342285156,4.913497468805872e-05,-0.395917683839798,
101,0.02,1e-05,200,201,32,256,22.58669090270996,complete,814.1134033203125,0.008141133934259415,22.59209632873535,0.00036043941508978605,0.6639310717582703,
101,0.02,1e-05,250,251,32,256,22.225234985351562,complete,899.6495361328125,0.008996495045721531,22.232791900634766,0.0004047873953823,0.8399590253829956,
101,0.02,2e-05,50,51,32,256,91.67118072509766,complete,4087826.25,81.75651550292969,110.85275268554688,0.8918453454971313,-0.186758354306221,
101,0.02,2e-05,100,101,32,256,264.87750244140625,complete,506802.8125,10.136055946350098,267.8155822753906,0.03826695680618286,0.27233952283859253,
101,0.02,2e-05,150,151,32,256,194.77687072753906,complete,13544.357421875,0.270887166261673,194.76797485351562,0.0013907563406974077,-0.033566247671842575,
101,0.02,2e-05,200,201,32,256,9.759461402893066,complete,3533.99658203125,0.0706799253821373,9.778246879577637,0.007242195308208466,0.26242372393608093,
101,0.02,2e-05,250,251,32,256,13.987092971801758,complete,6535.88232421875,0.13071763515472412,13.954760551452637,0.009345590136945248,-0.25172707438468933,
101,0.02,5e-05,50,51,32,256,242.7883758544922,complete,8240071.5,412.0035400390625,361.2650451660156,1.6969656944274902,-0.49075785279273987,
101,0.02,5e-05,100,101,32,256,185.58937072753906,complete,319799.28125,15.989964485168457,192.2744140625,0.08615776151418686,0.38252878189086914,
101,0.02,5e-05,150,151,32,256,116.0345687866211,complete,19545.76953125,0.9772884845733643,115.86515045166016,0.008422390557825565,-0.17744386196136475,
101,0.02,5e-05,200,201,32,256,76.27583312988281,complete,11553.330078125,0.5776664614677429,76.37383270263672,0.007573387585580349,0.1659473031759262,
101,0.02,5e-05,250,251,32,256,12.837078094482422,complete,4364.47412109375,0.2182237207889557,12.981852531433105,0.016999484971165657,0.6586626172065735,
101,0.02,0.0001,50,51,32,256,98.67603302001953,complete,10368169.0,1036.8167724609375,1043.8681640625,10.507280349731445,0.024116436019539833,
101,0.02,0.0001,100,101,32,256,134.45848083496094,complete,3516813.0,351.6813049316406,371.514892578125,2.6155383586883545,-0.03949839249253273,
101,0.02,0.0001,150,151,32,256,143.40769958496094,complete,4900781.0,490.07806396484375,472.5741882324219,3.4173762798309326,-0.26618799567222595,
101,0.02,0.0001,200,201,32,256,125.49358367919922,complete,1630571.75,163.05715942382812,206.40130615234375,1.2993266582489014,0.006480680778622627,
101,0.02,0.0001,250,251,32,256,111.89080810546875,complete,1299948.75,129.99488830566406,171.44015502929688,1.1618013381958008,-0.0009108380763791502,
101,0.02,0.0002,50,51,32,256,81.94186401367188,complete,17187190.0,3437.43798828125,3460.8623046875,41.9497184753418,0.27492037415504456,
101,0.02,0.0002,100,101,32,256,119.89264678955078,complete,372910.15625,74.58203125,150.7218017578125,0.6220734119415283,0.15546785295009613,
101,0.02,0.0002,150,151,32,256,43.73463821411133,complete,157283.34375,31.456668853759766,60.931121826171875,0.7192621231079102,0.29451698064804077,
101,0.02,0.0002,200,201,32,256,85.86542510986328,complete,30730.25,6.146049976348877,85.59442901611328,0.07157770544290543,-0.07981111109256744,
101,0.02,0.0002,250,251,32,256,137.6978302001953,complete,24023.43359375,4.804686546325684,138.8231964111328,0.0348929725587368,0.21773633360862732,
