update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3959,-494.75,494.875,0.0,False
2,7677,-464.375,464.75,0.0,False
3,11620,-492.75,492.875,0.0,False
4,15495,-484.25,484.375,0.0,False
5,19217,-465.0,465.25,0.0,False
6,23185,-495.875,496.0,0.0,False
7,26944,-469.5,469.875,0.0,False
8,30737,-474.0,474.125,0.0,False
9,34242,-437.625,438.125,0.0,False
10,38242,-500.0,500.0,0.0,False
11,42094,-481.25,481.5,0.0,False
12,45798,-462.75,463.0,0.0,False
13,49442,-455.25,455.5,0.0,False
14,51200,-293.0,293.0,0.0,False
