method,t_escape,q_at_escape,maximum_q_active_phase,update_of_maximum_q_active_phase,active_intervals_above_q_two_thirds,active_fraction_above_q_two_thirds,maximum_q_total,update_of_maximum_q_total,total_intervals_above_q_two_thirds,total_fraction_above_q_two_thirds,switch_return,switch_q,switch_p_good,switch_value_s1,final_return,final_q,final_p_good,finite
pooled_policy_logdet,568,0.46477833153981135,0.6778024179204583,2000,640,0.32,0.9871101891027817,4000,2640,0.66,0.6207727709522005,0.6778024179204583,0.7275855902024371,0.7564698381328678,0.9798771181314342,0.9871101891027817,0.989272965138076,True
joint_state_action_logdet,589,0.4326329458720137,0.6432943794401356,2000,0,0.0,0.986954267849375,4000,1981,0.49525,0.6021597114882611,0.6432943794401356,0.7162074581924921,0.746208265634601,0.9796932276853665,0.986954267849375,0.9891842465429779,True
