run_id,protocol,initialization,method,alpha,beta,kappa,updates,update,phi_0,phi_1,phi_2,phi_3,return,q,p_good,value_s1,value_s1_minus_safe,pi0_a0,pi0_a1,pi0_a2,pi1_a0,pi1_a1,pi1_a2,min_pi0,min_pi1,mu0,mu1,b0,b1,pooled_policy_logdet_objective,joint_state_action_logdet_objective,joint_visitation_component,joint_correction,method_regularizer_value,reward_gradient_norm,pooled_policy_gradient_norm,joint_gradient_norm,joint_correction_gradient_norm,joint_correction_to_pooled_norm_ratio,method_regularizer_gradient_norm,applied_regularizer_gradient_norm,total_gradient_norm,cosine_reward_pooled,cosine_reward_pooled_defined,cosine_reward_joint,cosine_reward_joint_defined,cosine_reward_correction,cosine_reward_correction_defined,cosine_reward_method,cosine_reward_method_defined,cosine_pooled_joint,cosine_pooled_joint_defined,finite,reward_gradient_0,reward_gradient_1,reward_gradient_2,reward_gradient_3,pooled_policy_gradient_0,pooled_policy_gradient_1,pooled_policy_gradient_2,pooled_policy_gradient_3,joint_gradient_0,joint_gradient_1,joint_gradient_2,joint_gradient_3,joint_correction_gradient_0,joint_correction_gradient_1,joint_correction_gradient_2,joint_correction_gradient_3,method_regularizer_gradient_0,method_regularizer_gradient_1,method_regularizer_gradient_2,method_regularizer_gradient_3,total_gradient_0,total_gradient_1,total_gradient_2,total_gradient_3,pooled_policy_fisher_rank,pooled_policy_fisher_trace,pooled_policy_fisher_smallest_positive_eigenvalue,pooled_policy_fisher_condition_number,pooled_policy_fisher_logdet,pooled_policy_fisher_pseudologdet,pooled_policy_fisher_eigenvalue_0,pooled_policy_fisher_eigenvalue_1,pooled_policy_fisher_eigenvalue_2,pooled_policy_fisher_eigenvalue_3,state_distribution_fisher_rank,state_distribution_fisher_trace,state_distribution_fisher_smallest_positive_eigenvalue,state_distribution_fisher_condition_number,state_distribution_fisher_logdet,state_distribution_fisher_pseudologdet,state_distribution_fisher_eigenvalue_0,state_distribution_fisher_eigenvalue_1,state_distribution_fisher_eigenvalue_2,state_distribution_fisher_eigenvalue_3,joint_state_action_fisher_rank,joint_state_action_fisher_trace,joint_state_action_fisher_smallest_positive_eigenvalue,joint_state_action_fisher_condition_number,joint_state_action_fisher_logdet,joint_state_action_fisher_pseudologdet,joint_state_action_fisher_eigenvalue_0,joint_state_action_fisher_eigenvalue_1,joint_state_action_fisher_eigenvalue_2,joint_state_action_fisher_eigenvalue_3,handoff_update,active_beta,effective_beta,handoff_phase
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,0,2.0,-2.0,-2.0,2.0,0.43641106838981086,0.015876239976466762,0.015876239976466762,0.18923890641593372,-0.3107610935840663,0.8668133321973347,0.015876239976466762,0.11731042782619835,0.015876239976466762,0.8668133321973347,0.11731042782619835,0.015876239976466762,0.015876239976466762,0.9843718758725625,0.015628124127437554,-6.4287948854997,-6.4287948854997,-10.603229575379475,-10.26453175044447,-4.182310455224743,-0.007875765344968675,-10.603229575379475,0.055259820875646536,2.3664571506106333,2.3571216045303935,0.01024764392270796,0.0043303737488184346,2.3664571506106333,0.4732914301221267,0.4343372086367382,-0.7342971502855518,True,-0.7341074326358586,True,0.7125786677414601,True,-0.7342971502855518,True,0.9999983989155601,True,True,0.05511973369989647,-0.003924164558999386,0.00020435638403032058,0.00014809133410573433,-1.6399399977915414,1.4295493835020163,0.47618564003529984,-0.8002199982960021,-1.6331666646160925,1.4218593793628123,0.47618564003529984,-0.8002199982960021,0.0067733331754488545,-0.007690004139204173,-0.0,-0.0,-1.6399399977915414,1.4295493835020163,0.47618564003529984,-0.8002199982960021,-0.27286826585841184,0.2819857121414039,0.09544148439109029,-0.1598959083250947,4,0.13107216430296417,0.0002150701258679794,536.927597139053,-21.206459150758945,nan,0.0002150701258679794,0.0018333419275106343,0.013546666350897716,0.11547708589868785,1,0.026458205752060992,0.02645820575206099,nan,nan,-3.6321889324183654,0.0,0.0,8.673617379884035e-19,0.02645820575206099,4,0.15753037005502515,0.0002150701258679794,614.6025705381177,-20.529063500888935,nan,0.0002150701258679794,0.0018333419275106343,0.02329930579722991,0.13218265220441666,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,1,1.9863565867070794,-1.9859007143929297,-1.9952279257804455,1.9920052045837453,0.43559887116427054,0.01628933119138749,0.016061828472809143,0.18922611423541572,-0.3107738857645843,0.865033008638861,0.01628933119138749,0.11867766016975148,0.016061828472809143,0.8658214288130328,0.11811674271415795,0.01628933119138749,0.016061828472809143,0.9839717581485465,0.016028241851453507,-6.393576725313695,-6.411468116878148,-10.55208350151877,-10.213588952943955,-4.157640122128005,-0.008079041705158722,-10.55208350151877,0.05585408055281108,2.3612818681652494,2.351719302163853,0.010498097044280761,0.004445931333237203,2.3612818681652494,0.4722563736330499,0.43291474106001604,-0.7341610785197524,True,-0.7339652751587346,True,0.712599462643661,True,-0.7341610785197524,True,0.9999983101810561,True,True,0.05570910223650996,-0.004013247434149323,0.0002121279959807515,0.000151951135581867,-1.6348526050532444,1.4277423669984923,0.4759072572907863,-0.7987321432195493,-1.6279201259172673,1.4198587907427325,0.4759072572907863,-0.7987321432195493,0.006932479135977067,-0.007883576255759762,-0.0,-0.0,-1.6348526050532444,1.4277423669984923,0.4759072572907863,-0.7987321432195493,-0.2712614187741389,0.28153522596554914,0.09539357945413801,-0.159594477508328,4,0.13276212718402208,0.0002229956180380801,523.6992434421876,-21.10416700303754,nan,0.0002229956180380801,0.0018923881537166853,0.013864106954801739,0.11678263645746559,1,0.02706312254475047,0.02706312254475047,nan,nan,-3.6095832695209498,0.0,0.0,0.0,0.02706312254475047,4,0.15982524972877254,0.0002229956180380801,600.5363640995222,-20.42717790588791,nan,0.0002229956180380801,0.0018923881537166853,0.023792888290303328,0.13391697766671445,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,2,1.9727935157683725,-1.9718239530946522,-1.9904582468077385,1.9840254807083288,0.4347819639739882,0.016711134582175994,0.0162491926048534,0.18921415366645217,-0.31078584633354783,0.8632399615744312,0.016711134582175994,0.12004890384339276,0.0162491926048534,0.8648248053079937,0.11892600208715286,0.016711134582175994,0.0162491926048534,0.9835635373571043,0.016436462642895656,-6.358598698897602,-6.394194197564042,-10.501222568371873,-10.162935498055889,-4.133112640105041,-0.008286519963989592,-10.501222568371873,0.05644882480243755,2.3560539557736484,2.346260278896966,0.010753141071890042,0.0045640470353146365,2.3560539557736484,0.47121079115472975,0.4314824222623586,-0.7340231803343312,True,-0.7338211004424714,True,0.7126213466738351,True,-0.7340231803343312,True,0.9999982168744226,True,True,0.05629881491305428,-0.0041037167270995,0.00022016277065622775,0.00015587924841343388,-1.629722681175532,1.4258985821373296,0.4756262110927199,-0.7972372079619905,-1.6226283754853956,1.417817686785522,0.4756262110927199,-0.7972372079619905,0.00709430569013641,-0.00808089535180766,-0.0,-0.0,-1.629722681175532,1.4258985821373296,0.4756262110927199,-0.7972372079619905,-0.26964572132205217,0.2810759997003664,0.09534540498920022,-0.15929156234398467,4,0.13446229492132186,0.0002311766911250278,510.82724513293726,-21.002445136743745,nan,0.0002311766911250278,0.0019530322487473326,0.014186733715103594,0.1180913522663459,1,0.02767736501513162,0.02767736501513162,nan,nan,-3.5871403473039987,-8.673617379884035e-19,0.0,0.0,0.02767736501513162,4,0.1621396599364535,0.0002311766911250278,586.8367926606263,-20.32587099611178,nan,0.0002311766911250278,0.0019530322487473326,0.02429246303887352,0.1356629879577076,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,3,1.95931122970227,-1.9577701531096339,-1.9856909765582784,1.9760609025911295,0.43396045004954475,0.017141757939469666,0.01643834242889561,0.1892030377077698,-0.3107969622922302,0.8614343547514917,0.017141757939469666,0.12142388730903865,0.01643834242889561,0.863823476394371,0.11973818117673338,0.017141757939469666,0.01643834242889561,0.9831471298807006,0.016852870119299316,-6.323861886604847,-6.37697330408322,-10.450648394233827,-10.112573051799105,-4.108729046735044,-0.008498247845249763,-10.450648394233827,0.057043921619112065,2.350773472192815,2.340744572456932,0.011012804121023909,0.004684757698388991,2.350773472192815,0.470154694438563,0.4300403678817324,-0.7338834678964421,True,-0.7336749150167068,True,0.7126443594582293,True,-0.7338834678964421,True,0.9999981187825511,True,True,0.05688873709964932,-0.0041955723162536715,0.0002284680600400556,0.0001598755109808309,-1.6245506042848703,1.424017640553068,0.4753424863566566,-0.7957352145915564,-1.6172917836364056,1.4157356494035036,0.4753424863566566,-0.7957352145915564,0.007258820648464649,-0.008281991149564483,-0.0,-0.0,-1.6245506042848703,1.424017640553068,0.4753424863566566,-0.7957352145915564,-0.26802138375732476,0.28060795579435993,0.09529696533137137,-0.15898716740733043,4,0.13617246732716579,0.0002396198534464022,498.30176626999156,-20.901296788467654,nan,0.0002396198534464022,0.002015304303012897,0.01451454696500775,0.11940299620569873,1,0.028300914068745367,0.028300914068745367,nan,nan,-3.5648611756056017,0.0,0.0,8.673617379884035e-19,0.028300914068745367,4,0.16447338139591114,0.0002396198534464022,573.4938597835611,-20.22514610359821,nan,0.0002396198534464022,0.002015304303012897,0.024797942605703387,0.13742051463374844,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,4,1.9459101605144036,-1.9437397553199158,-1.9809261282917099,1.968111544220763,0.4331344349568761,0.01758130773813121,0.016629287950356095,0.1891927794110018,-0.31080722058899823,0.8596163569604378,0.01758130773813121,0.1228023353014309,0.016629287950356095,0.8628174573032285,0.12055325474641529,0.01758130773813121,0.016629287950356095,0.9827224541130666,0.01727754588693335,-6.289367333817378,-6.359805610807031,-10.400362562903364,-10.062503244856881,-4.084490362824648,-0.00871427223348886,-10.400362562903364,0.05763923824765213,2.3454404929827786,2.33517223920392,0.011277112462862969,0.004808100012173608,2.3454404929827786,0.46908809859655576,0.4285886970918513,-0.7337419532617567,True,-0.7335267251570081,True,0.712668540467157,True,-0.7337419532617567,True,0.9999980156837723,True,True,0.057478733428471374,-0.004288813316301218,0.00023705135217413824,0.00016393969220823113,-1.6193367702960093,1.422099162583201,0.4750560680744659,-0.7942261859548427,-1.611910739769738,1.4136122705653331,0.4750560680744659,-0.7942261859548427,0.007426030526271221,-0.008486892017867747,-0.0,-0.0,-1.6193367702960093,1.422099162583201,0.4750560680744659,-0.7942261859548427,-0.2663886206307305,0.280131019200339,0.09524826496706731,-0.1586812974987603,4,0.1378924395513548,0.00024833170284061385,486.113244431207,-20.800725125806725,nan,0.00024833170284061385,0.0020792344434776336,0.01484754364205936,0.1207173297629772,1,0.02893374426846295,0.02893374426846295,nan,nan,-3.542746743257741,0.0,0.0,1.734723475976807e-18,0.02893374426846295,4,0.16682618381981773,0.00024833170284061385,560.4978445653193,-20.12500648971376,nan,0.00024833170284061385,0.0020792344434776336,0.025309233494100056,0.13918938417939944,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,5,1.932590729482867,-1.929733204359899,-1.9761637150433564,1.960177479345825,0.4323040265422471,0.018029889035877045,0.0168220391222978,0.1891833918791535,-0.3108166081208465,0.8577861419584702,0.018029889035877045,0.12418396900565282,0.0168220391222978,0.8618067637842786,0.12137119709342356,0.018029889035877045,0.0168220391222978,0.9822894305657841,0.017710569434215936,-6.255116050403297,-6.342691289913173,-10.350366622846956,-10.012727671688666,-4.060397591810403,-0.00893463912168337,-10.350366622846956,0.058234641284872525,2.340055110710016,2.329543354392284,0.011546090462497681,0.004934110487250185,2.340055110710016,0.4680110221420032,0.4271275325633819,-0.7335986483222094,True,-0.7333765368303954,True,0.7126939289621556,True,-0.7335986483222094,True,0.999997907347587,True,True,0.058068667898448875,-0.00438343806530758,0.000245920270806805,0.00016807148910843214,-1.6140815928424483,1.420142777745198,0.4747669413165533,-0.7927101456764178,-1.6064856523290165,1.4114471528289205,0.4747669413165533,-0.7927101456764178,0.007595940513431847,-0.008695624916277416,-0.0,-0.0,-1.6140815928424483,1.420142777745198,0.4747669413165533,-0.7927101456764178,-0.2647476506700408,0.27964511748373205,0.09519930853411747,-0.15837395764617515,4,0.13962200217899015,0.0002573189247019684,474.25238301604816,-20.70073324569391,nan,0.0002573189247019684,0.0021448528109981693,0.015185717208254434,0.12203411323503557,1,0.02957582372313143,0.02957582372313143,nan,nan,-3.520798017497721,0.0,0.0,1.734723475976807e-18,0.02957582372313143,4,0.1691978259021216,0.0002573189247019684,547.8392939306267,-20.02545534337733,nan,0.0002573189247019684,0.0021448528109981693,0.025826236142706984,0.14096941802371446,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,6,1.9193533469493649,-1.9157509484857123,-1.9714037496166505,1.9522587814635164,0.43146933487473743,0.01848760537116408,0.017016605843962716,0.1891748882650511,-0.31082511173494887,0.8559438883887183,0.01848760537116408,0.12556850624011764,0.017016605843962716,0.8607914121054419,0.12219198205059548,0.01848760537116408,0.017016605843962716,0.9818479819747766,0.018152018025223492,-6.221109010194576,-6.325630511346754,-10.300662086377379,-9.963247889656138,-4.036451719165446,-0.009159393558731473,-10.300662086377379,0.05882999678251374,2.334617435140875,2.32385801242071,0.011819760518179127,0.005062825429240359,2.334617435140875,0.46692348702817504,0.4256570004230352,-0.7334535647527787,True,-0.7332243556399383,True,0.7127205639424181,True,-0.7334535647527787,True,0.9999977935343962,True,True,0.05865840398118237,-0.004479444112544465,0.00025508257490948065,0.000172270524331227,-1.608785503190572,1.418148125213524,0.4744750912340559,-0.7911871181581627,-1.6010169487452661,1.4092399098738826,0.4744750912340559,-0.7911871181581627,0.00776855444530595,-0.008908215339641451,-0.0,-0.0,-1.608785503190572,1.418148125213524,0.4744750912340559,-0.7911871181581627,-0.26309869665693203,0.2791501809301603,0.09515010082172067,-0.15806515310730132,4,0.14136094133245566,0.00026658828986851797,462.7101437695305,-20.601324172754758,nan,0.00026658828986851797,0.0022121895370471436,0.01552905757320479,0.12335310593233521,1,0.030227113983082476,0.030227113983082476,nan,nan,-3.499015943385886,0.0,0.0,0.0,0.030227113983082476,4,0.17158805531553814,0.00026658828986851797,535.5090151478978,-19.926495779312276,nan,0.00026658828986851797,0.0022121895370471436,0.02634884493117013,0.14276043255745235,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,7,1.9061984121165183,-1.9017934394392042,-1.9666462445755646,1.9443555238081514,0.43063047218631356,0.018954558660464714,0.017212997959327233,0.18916728176977274,-0.3108327182302273,0.8540897796947355,0.018954558660464714,0.12695566164479985,0.017212997959327233,0.8597714190522274,0.12301558298844541,0.018954558660464714,0.017212997959327233,0.9813980334065312,0.018601966593468806,-6.1873471504852615,-6.308623442781526,-10.251250428847534,-9.914065418164414,-4.012653711810995,-0.009388579596853176,-10.251250428847534,0.059425170351167664,2.3291275934246465,2.3181163270707765,0.012098143001733948,0.005194280912685154,2.3291275934246465,0.46582551868492933,0.42417723021060777,-0.7333067139574005,True,-0.733070186768524,True,0.7127484840905814,True,-0.7333067139574005,True,0.9999976739952277,True,True,0.05924780472791928,-0.004576828207093284,0.0002645461580592534,0.00017653634371923922,-1.6034489501374298,1.4161148542958926,0.4741805030610092,-0.7896571285783411,-1.5955050753625775,1.4069901670326561,0.4741805030610092,-0.7896571285783411,0.0079438747748523,-0.009124687263236448,-0.0,-0.0,-1.6034489501374298,1.4161148542958926,0.4741805030610092,-0.7896571285783411,-0.2614419852995667,0.27864614265208526,0.09510064677026109,-0.15775488937194898,4,0.14310903877745978,0.00027614665236182,451.4777395211628,-20.502500857695072,nan,0.00027614665236182,0.0022812747198436493,0.015877551020603457,0.12467406638465087,1,0.0308875699428848,0.0308875699428848,nan,nan,-3.477401443230157,-8.673617379884035e-19,0.0,0.0,0.0308875699428848,4,0.1739966087203446,0.00027614665236182,523.4980685617303,-19.828130836328832,nan,0.00027614665236182,0.0022812747198436493,0.026876948196938758,0.14456223915120037,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,8,1.8931263128515399,-1.8878611323066,-1.9618912122370515,1.936467779339554,0.42978755280956094,0.01943084909506368,0.017411225255677704,0.18916058564106406,-0.3108394143589359,0.852224004030471,0.01943084909506368,0.1283451468744653,0.017411225255677704,0.8587468019269316,0.12384197281739065,0.01943084909506368,0.017411225255677704,0.9809395123638722,0.019060487636127756,-6.153831371550671,-6.291670249581359,-10.202133087860384,-9.865181737819386,-3.989004517533343,-0.009622240238974577,-10.202133087860384,0.06002002726503556,2.3235857302658385,2.312318431733368,0.012381256200274506,0.005328512754663019,2.3235857302658385,0.4647171460531677,0.4226883548340189,-0.7331581070141068,True,-0.7329140349218933,True,0.7127777277179648,True,-0.7331581070141068,True,0.9999975484714567,True,True,0.05983673287741398,-0.004675586287253905,0.0002743190476845506,0.00018086841387523212,-1.5980723998921094,1.4140426249079572,0.47388316211648346,-0.7881202028903975,-1.5899504973460923,1.4046975618193613,0.47388316211648346,-0.7881202028903975,0.008121902546017041,-0.009345063088595914,-0.0,-0.0,-1.5980723998921094,1.4140426249079572,0.47388316211648346,-0.7881202028903975,-0.2597777471010079,0.27813293869433753,0.09505095147098125,-0.15744317216420428,4,0.1448660720330162,0.00028600094697799885,440.54662713260655,-20.404266175720768,nan,0.00028600094697799885,0.002352138399913855,0.0162311801382355,0.12599675254788884,1,0.031557139751711615,0.031557139751711615,nan,nan,-3.455955416017987,-8.673617379884035e-19,0.0,0.0,0.031557139751711615,4,0.17642321178472783,0.00028600094697799885,511.7977605356097,-19.73036347563877,nan,0.00028600094697799885,0.002352138399913855,0.027410428263432512,0.14637464417440346,2000,0.2,0.2,barrier_active
handoff__adverse__pooled_policy_logdet__beta_0p2__switch_2000,handoff_50pct,adverse,pooled_policy_logdet,0.05,0.2,nan,4000,9,1.8801374254964895,-1.873954485371883,-1.9571386646635025,1.9285956207313437,0.42894069311316124,0.019916575037515063,0.017611297462206885,0.18915481317173752,-0.31084518682826245,0.8503467541658384,0.019916575037515063,0.1297366707966467,0.017611297462206885,0.8577175785476532,0.12467112399013983,0.019916575037515063,0.017611297462206885,0.9804723488911018,0.01952765110889828,-6.120562536187949,-6.274771094761965,-10.153311462495736,-9.816598289601941,-3.9655050644069574,-0.009860417386177779,-10.153311462495736,0.0606144325673475,2.317992008085286,2.306464479622436,0.012669116259336356,0.005465556488178461,2.317992008085286,0.4635984016170573,0.4211905105224094,-0.7330077546194911,True,-0.7327559042710532,True,0.71280833270936,True,-0.7330077546194911,True,0.9999974166945232,True,True,0.060425050964497545,-0.0047757134707899435,0.00028440940417130884,0.00018526611974504015,-1.5926563359407266,1.4119311080456494,0.4735830538066897,-0.7865763678214797,-1.5843536985722593,1.4023617444555085,0.4735830538066897,-0.7865763678214797,0.008302637368467291,-0.009569363590140744,-0.0,-0.0,-1.5926563359407266,1.4119311080456494,0.4735830538066897,-0.7865763678214797,-0.2581062162236478,0.27761050813834,0.09500102016550925,-0.1571300074445509,4,0.14663181448522988,0.00029615818672980396,429.90850064791186,-20.306622924991473,nan,0.00029615818672980396,0.0024248105351072366,0.01658992375177852,0.12732092201161432,1,0.032235764731686885,0.03223576473168688,nan,nan,-3.4346787368562555,0.0,0.0,1.734723475976807e-18,0.03223576473168688,4,0.17886757921691676,0.00029615818672980396,500.3996365986355,-19.633196579203883,nan,0.00029615818672980396,0.0024248105351072366,0.027949161479774994,0.14819744901530474,2000,0.2,0.2,barrier_active
