environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active,entropy_coefficient,entropy_bonus_active
Acrobot-v1,gpomdp_entropy_handoff,1113,0,0,-500.0,-497.625,0.0,13.435028842544403,500.0,0.0,0.03125,1.04860520362854,0.2380613535642624,0.16161055862903595,-1.1477712392807007,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1113,50,199040,-500.0,-487.15625,0.0,41.972425183761445,500.0,0.0,0.09375,1.081730842590332,0.26532113552093506,0.21185091137886047,-1.1155917644500732,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1113,100,388362,-88.1875,-351.1875,20.26666976160135,93.6928535505863,89.1875,1.0,0.90625,1.0727577209472656,0.26519280672073364,0.1899501532316208,-1.1242085695266724,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1113,150,488841,-83.84375,-240.8125,17.574008254494256,54.08144246740132,84.84375,1.0,1.0,1.0479191541671753,0.24154557287693024,0.15251582860946655,-1.1494145393371582,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1113,200,587125,-93.59375,-243.15625,74.68940391013716,41.371728990669695,94.5625,0.96875,1.0,1.052738904953003,0.24339652061462402,0.14521048963069916,-1.1450828313827515,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1113,249,683358,-92.875,-256.9375,36.4919345927642,56.2356433291659,93.875,1.0,1.0,1.053462266921997,0.24219119548797607,0.1398395448923111,-1.1446473598480225,0.0,False,588.8195483317652,True
Acrobot-v1,gpomdp_entropy_handoff,1113,250,685244,-83.5,-246.0,18.454827150674976,63.658362347567454,84.5,1.0,1.0,1.0481034517288208,0.23737148940563202,0.13724248111248016,-1.15017569065094,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1113,251,687491,-85.75,-274.5625,18.924297404608303,85.55358158826925,86.75,1.0,0.96875,1.0491349697113037,0.2384057641029358,0.13592317700386047,-1.1491281986236572,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1113,300,757800,-86.0625,-132.59375,23.497340275018363,19.3904854869432,87.0625,1.0,1.0,0.8818886876106262,0.15188881754875183,0.05617130547761917,-1.3435167074203491,0.0,False,0.0,False
Acrobot-v1,gpomdp_entropy_handoff,1113,350,806092,-79.75,-146.6875,10.089918315472293,104.21734036261942,80.75,1.0,0.9375,0.6855621933937073,0.09179060906171799,0.026180952787399292,-1.635146141052246,0.0,False,0.0,False
