gradient_ratio,beta,fisher_trajectories,updates,seeds,completed,failed,mean_return_completed,std_return_completed,near_solved,strict_solved,mean_final_rank,mean_effective_rank,selected
0.01298,2.4941866581761223e-08,128,400,6,3,3,-131.22333333333333,25.2652059824046,1,0,41.666666666666664,1.5098085943418729,false
0.04,7.685790068190048e-08,128,400,6,6,0,-127.57166666666667,22.275620230796417,1,0,41.166666666666664,1.7175634483851354,false
0.05,9.60723758523756e-08,128,400,6,6,0,-127.54833333333333,13.889923565904407,2,0,41.166666666666664,1.872800311476751,true
