environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,24,12288,on_policy,analysis-on_policy-101-24,False,130,64,2,128,128,27,1e-10,1.1545518906909877,0.9907421127726925,1.1615465801749709e-10,2,1.3236529570955098,1.5353750794842005,-400.78999662328243,8529508240.844297,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,24,12288,fixed_reference,analysis-fixed_reference-101-24,False,130,38,2,76,76,20,1.182585003306945e-10,1.3021584841321643,1.182585003306945,2.1119928470353534e-10,1,1.2006866810965922,1.373476644101535,-280.6811625589933,5599379775.205977,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,27,13824,on_policy,analysis-on_policy-101-27,False,130,64,2,128,128,25,1.0259731919129883e-10,1.2215761716152427,1.0259731919129882,1.6016538561111842e-10,2,1.370426184212098,1.5901248774343668,-353.37505127983934,6405711121.653035,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,27,13824,fixed_reference,analysis-fixed_reference-101-27,False,130,38,2,76,76,21,1.2021402504804062e-10,1.3318194972167203,1.2021402504804062,1.4367695723129853e-10,1,1.213944284163459,1.3935774169059574,-299.5712239255445,8366966239.027037,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,30,15360,on_policy,analysis-on_policy-101-30,False,130,64,2,128,128,28,1.0644153954875746e-10,1.2049128755783793,1.0644153954875746,1.1682420966335502e-10,2,1.2621997082550813,1.4829493533188036,-420.1523111614894,9111256977.940048,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,101,30,15360,fixed_reference,analysis-fixed_reference-101-30,False,130,38,2,76,76,22,1.2242818562351343e-10,1.3668213282929014,1.2242818562351343,1.5377167153496535e-10,2,1.2306737040406388,1.4185157471500187,-317.8701147216966,7961686596.84987,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,0,0,on_policy,analysis-on_policy-102-0,False,130,64,2,128,128,23,1e-10,0.8592415775471155,0.812061472303148,1.4600482150579204e-10,1,1.1165499002430501,1.2650013819731583,-334.76628677054833,5561881203.155563,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,0,0,fixed_reference,analysis-fixed_reference-102-0,False,130,38,2,76,76,18,1e-10,0.9020931965707402,0.8549497357370487,1.6474964545920916e-10,1,1.1100489677886782,1.233534358466688,-255.60044360123632,5189387408.719664,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,3,1536,on_policy,analysis-on_policy-102-3,False,130,64,2,128,128,25,1e-10,0.8995052046996055,0.8150223348012908,1.5523106310767962e-10,1,1.2057917919601833,1.3846934508358517,-377.1023436814802,5250381711.525945,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,3,1536,fixed_reference,analysis-fixed_reference-102-3,False,130,38,2,76,76,18,1e-10,0.918504336856989,0.8694810990270182,1.4745927172353372e-10,1,1.1125060375570155,1.2373537467774658,-256.9460733565525,5896415253.2719555,float64,False,score_gram
