environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,reward_gradient_norm,captured_euclidean_energy_fraction,leading_k90_euclidean_energy_fraction,leading_k90_natural_energy_fraction,natural_energy
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,3,1536,on_policy,analysis-on_policy-102-3,False,1.8587070870445852,0.9999993296061004,0.06072075180475277,1.5618387576803003e-06,164798.42339581292
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,3,1536,fixed_reference,analysis-fixed_reference-102-3,False,1.8587070870445852,0.9999422458998181,0.030133655035149448,4.724336456614526e-08,2534239.604997316
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,6,3072,on_policy,analysis-on_policy-102-6,False,10.869349844156481,0.9999997188867128,0.4213881140075738,8.381571779754423e-05,677711.4909811912
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,6,3072,fixed_reference,analysis-fixed_reference-102-6,False,10.869349844156481,0.9999996134242874,0.35748043366330273,4.4243969842390225e-05,1077112.7553121364
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,9,4608,on_policy,analysis-on_policy-102-9,False,29.252259584713784,0.9999999911906828,0.7920183239093922,0.003579948296349873,215162.48355340085
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,9,4608,fixed_reference,analysis-fixed_reference-102-9,False,29.252259584713784,0.9999998853931888,0.9926045177234585,0.0005081611095115272,1848433.101652203
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,12,6144,on_policy,analysis-on_policy-102-12,False,22.939351984067578,0.999999480078432,0.15191824201562912,8.104534345744653e-05,1135461.9352106913
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,12,6144,fixed_reference,analysis-fixed_reference-102-12,False,22.939351984067578,0.9999952250584683,0.025295572803247887,8.751873427412659e-07,16496869.124811983
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,15,7680,on_policy,analysis-on_policy-102-15,False,44.8980936675907,0.9999999422872133,0.9781282178045476,0.005533374098436189,411943.2884048644
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,15,7680,fixed_reference,analysis-fixed_reference-102-15,False,44.8980936675907,0.9999999815035875,0.9529046235791274,0.007073071293370364,287700.1791178522
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,18,9216,on_policy,analysis-on_policy-102-18,False,32.617812950078,0.9999999632216937,0.9977774348883587,0.002628853496775758,586451.3581416936
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,18,9216,fixed_reference,analysis-fixed_reference-102-18,False,32.617812950078,0.99999966635254,0.9596565345479682,0.0008482398413960745,1242414.3604401308
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,21,10752,on_policy,analysis-on_policy-102-21,False,19.58221520127501,0.9999996719453412,0.9979398772850859,0.0005802102089412023,746900.28942829
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,21,10752,fixed_reference,analysis-fixed_reference-102-21,False,19.58221520127501,0.9999997354977644,0.861635389222477,0.0002796975810337568,1186410.6732361265
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,24,12288,on_policy,analysis-on_policy-102-24,False,36.325449148607895,0.999999924249817,0.9937781186137651,0.001460530024227208,988998.11840023
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,24,12288,fixed_reference,analysis-fixed_reference-102-24,False,36.325449148607895,0.9999993395364731,0.7241011901632672,0.0004748803286423667,1965777.7551733996
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,27,13824,on_policy,analysis-on_policy-102-27,False,32.81634163094178,0.9999999351346244,0.9925121083535162,0.0024033208340924765,1679129.3169796672
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,27,13824,fixed_reference,analysis-fixed_reference-102-27,False,32.81634163094178,0.9999986809670838,0.9860277013522454,0.0002877658739870031,3814043.7132909587
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,30,15360,on_policy,analysis-on_policy-102-30,False,8.077847872371105,0.9999999784903576,0.9887715198034042,0.017930047286980253,24309.011664859936
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,30,15360,fixed_reference,analysis-fixed_reference-102-30,False,8.077847872371105,0.9999985969177166,0.9619154774094775,0.000354749329937551,762848.8880553409
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,0,0,on_policy,analysis-on_policy-101-0,False,22.7820391542493,0.9999999295732438,0.9556085231570005,0.001694082012927775,322602.68639325874
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,0,0,fixed_reference,analysis-fixed_reference-101-0,False,22.7820391542493,0.9999999312805815,0.907487390453039,0.001378174322445132,361498.46342840244
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,3,1536,on_policy,analysis-on_policy-101-3,False,21.65293118513833,0.9999999960817253,0.8687720404778019,0.019657827550302168,22974.468026730417
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,3,1536,fixed_reference,analysis-fixed_reference-101-3,False,21.65293118513833,0.9999999625415418,0.7023237313249032,0.0009044664440064762,374682.26929759025
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,6,3072,on_policy,analysis-on_policy-101-6,False,16.836027275549927,0.9999999747283855,0.9959832497612068,0.02365916793970606,82998.99934025535
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,6,3072,fixed_reference,analysis-fixed_reference-101-6,False,16.836027275549927,0.9999993496109227,0.46342039064622603,8.631051188620265e-05,1524109.015585606
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,9,4608,on_policy,analysis-on_policy-101-9,False,31.998994046662748,0.9999999849630179,0.9989065104939421,0.015672060654383563,277572.3903321079
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,9,4608,fixed_reference,analysis-fixed_reference-101-9,False,31.998994046662748,0.9999999623867082,0.4244996554225065,0.0019736104912049003,213513.32098966153
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,12,6144,on_policy,analysis-on_policy-101-12,False,52.562387759552294,0.9999967007021959,0.9651407669704232,8.924657698927792e-05,31904044.86628834
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,12,6144,fixed_reference,analysis-fixed_reference-101-12,False,52.562387759552294,0.9999827437247444,0.913559798380825,7.151182800504177e-05,33128475.536338035
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,15,7680,on_policy,analysis-on_policy-101-15,False,10.155707581634244,0.9999997322418733,0.9779633684789255,0.00018752331232511495,539447.6019070235
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,15,7680,fixed_reference,analysis-fixed_reference-101-15,False,10.155707581634244,0.9999992381625205,0.9927245962689837,0.00011360928247211323,821553.9810429588
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,18,9216,on_policy,analysis-on_policy-101-18,False,13.234951367196121,0.9999992154379647,0.14380921280312406,3.129038375235779e-05,768802.2689847909
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,18,9216,fixed_reference,analysis-fixed_reference-101-18,False,13.234951367196121,0.9999935712857365,0.03276779473510635,6.026932911237212e-07,8440503.795013174
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,21,10752,on_policy,analysis-on_policy-101-21,False,5.367210996510022,0.9999992014121325,0.027503828428517087,9.96894946842062e-07,788355.0235652867
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,21,10752,fixed_reference,analysis-fixed_reference-101-21,False,5.367210996510022,0.9999987319688658,0.41409002641174875,7.89530523183561e-05,130516.71976393684
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,24,12288,on_policy,analysis-on_policy-101-24,False,3.110643729161168,0.9999993620811966,0.884913438197095,0.0007245688833929148,48410.47793333749
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,24,12288,fixed_reference,analysis-fixed_reference-101-24,False,3.110643729161168,0.999989176915942,0.016992420294456457,8.374161025793489e-07,166009.72400087776
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,27,13824,on_policy,analysis-on_policy-101-27,False,4.178789776401952,0.9999993148116663,0.9832012641488318,0.0004534768688194217,109145.94972333757
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,27,13824,fixed_reference,analysis-fixed_reference-101-27,False,4.178789776401952,0.9999980721280964,0.22302665749136133,9.09021632357679e-06,356353.51420188486
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,30,15360,on_policy,analysis-on_policy-101-30,False,30.269980098854866,0.999999997097494,0.9910495490982396,0.015496321138210723,90982.15919776111
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,101,30,15360,fixed_reference,analysis-fixed_reference-101-30,False,30.269980098854866,0.9999988672259635,0.9935146910610695,0.00010707640577442971,8922275.873512516
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,0,0,on_policy,analysis-on_policy-102-0,False,29.089078740954843,0.9999999796562447,0.9980713343579535,0.004771802616439231,217946.6163283953
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,0,0,fixed_reference,analysis-fixed_reference-102-0,False,29.089078740954843,0.9999998195141612,0.8830169861508446,0.0008371849300921907,1043919.3062721166
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,3,1536,on_policy,analysis-on_policy-102-3,False,1.8593124049775682,0.9999993299873752,0.06125205228425492,1.5763264946907073e-06,164821.1943321317
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,3,1536,fixed_reference,analysis-fixed_reference-102-3,False,1.8593124049775682,0.9999422878271829,0.030500157154726606,4.7852928586298467e-08,2534073.6146447025
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,6,3072,on_policy,analysis-on_policy-102-6,False,10.877699220979633,0.9999997192824133,0.4219746392406069,8.405798835908828e-05,677742.146977567
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,6,3072,fixed_reference,analysis-fixed_reference-102-6,False,10.877699220979633,0.999999614100551,0.3580508268070173,4.437481103737621e-05,1077314.6921498447
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,9,4608,on_policy,analysis-on_policy-102-9,False,29.249811330945622,0.9999999911862961,0.7919440402127851,0.003579204817319788,215148.4748071179
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,9,4608,fixed_reference,analysis-fixed_reference-102-9,False,29.249811330945622,0.9999998852637425,0.9926040414652395,0.000508058012135981,1848491.710387304
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,12,6144,on_policy,analysis-on_policy-102-12,False,22.943455539924106,0.9999994799186777,0.15205531971210498,8.114833441579505e-05,1135419.3838719886
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,12,6144,fixed_reference,analysis-fixed_reference-102-12,False,22.943455539924106,0.9999952227883756,0.025344440607296882,8.776787996426582e-07,16487067.511770058
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,15,7680,on_policy,analysis-on_policy-102-15,False,44.90267994085395,0.9999999422182,0.9781119550041587,0.005533958582201624,411959.2169607233
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,15,7680,fixed_reference,analysis-fixed_reference-102-15,False,44.90267994085395,0.9999999814869692,0.9528968488957256,0.007073160771755509,287730.8994499523
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,18,9216,on_policy,analysis-on_policy-102-18,False,32.62911193911071,0.9999999632624709,0.9977749007072562,0.002638297332022911,584500.0931171216
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,18,9216,fixed_reference,analysis-fixed_reference-102-18,False,32.62911193911071,0.9999996663297086,0.9595851173011847,0.0008499827562071784,1240497.8759080174
