environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,657,0,0,-500.0,-483.875,0.0,47.707948887965976,500.0,0.0,0.15625,1.0964068174362183,0.3082019090652466,0.25486308336257935,-1.1008397340774536,0.0,False
Acrobot-v1,gpomdp_reward_only,657,50,179167,-500.0,-318.0625,0.0,74.79905877448184,500.0,0.0,0.96875,1.0586283206939697,0.25331205129623413,0.1767215132713318,-1.1377151012420654,0.0,False
Acrobot-v1,gpomdp_reward_only,657,100,262374,-82.96875,-148.09375,11.690868714100016,29.546419874823325,83.96875,1.0,1.0,0.9193305373191833,0.16235394775867462,0.0842575654387474,-1.2874690294265747,0.0,False
Acrobot-v1,gpomdp_reward_only,657,150,318461,-85.59375,-114.4375,20.150817441195457,18.53843000625388,86.59375,1.0,1.0,0.7772303819656372,0.11056434363126755,0.04571088030934334,-1.4731078147888184,0.0,False
Acrobot-v1,gpomdp_reward_only,657,200,363701,-82.375,-109.90625,15.173725168325376,25.224615953468945,83.375,1.0,1.0,0.6734487414360046,0.08240295201539993,0.030121127143502235,-1.6365535259246826,0.0,False
Acrobot-v1,gpomdp_reward_only,657,250,408221,-80.09375,-95.71875,22.754452772320015,15.836328946953868,81.09375,1.0,1.0,0.5596420764923096,0.06092890352010727,0.017286410555243492,-1.8511072397232056,0.0,False
Acrobot-v1,gpomdp_reward_only,657,300,448895,-85.5,-92.1875,19.384063956865983,13.789751921790186,86.5,1.0,1.0,0.49300768971443176,0.04987436532974243,0.01319103967398405,-1.993364691734314,0.0,False
Acrobot-v1,gpomdp_reward_only,657,350,488742,-86.46875,-106.40625,21.199489304560938,55.26759499427863,87.46875,1.0,1.0,0.41564279794692993,0.03752958029508591,0.008592701517045498,-2.2079548835754395,0.0,False
Acrobot-v1,gpomdp_reward_only,657,400,526161,-80.1875,-96.40625,6.925583706621367,22.250566321172663,81.1875,1.0,1.0,0.379195898771286,0.03430945426225662,0.006713966839015484,-2.31356143951416,0.0,False
Acrobot-v1,gpomdp_reward_only,657,450,564000,-84.6875,-91.53125,14.855079504895764,15.643166858243209,85.6875,1.0,1.0,0.3573363721370697,0.03192540258169174,0.005736027844250202,-2.394890546798706,0.0,False
Acrobot-v1,gpomdp_reward_only,657,500,601331,-85.09375,-101.84375,13.12313734862848,45.45618902820321,86.09375,1.0,1.0,0.31162160634994507,0.024510161951184273,0.004711800720542669,-2.537048578262329,0.0,False
Acrobot-v1,gpomdp_reward_only,657,550,640163,-142.53125,-92.46875,140.56429693411,18.416304793797927,143.40625,0.875,1.0,0.2984545826911926,0.02457689866423607,0.003981444053351879,-2.578587055206299,0.0,False
Acrobot-v1,gpomdp_reward_only,657,600,677295,-76.84375,-97.1875,7.31815848068263,46.476103814825656,77.84375,1.0,1.0,0.26824212074279785,0.021258601918816566,0.0032824589870870113,-2.6885123252868652,0.0,False
Acrobot-v1,gpomdp_reward_only,657,650,712198,-90.8125,-90.40625,27.131029135207605,20.962115405131815,91.8125,1.0,1.0,0.2557104825973511,0.02036316879093647,0.0029620626010000706,-2.746183156967163,0.0,False
Acrobot-v1,gpomdp_reward_only,657,700,747579,-82.65625,-82.3125,10.42208998605459,16.674178414736108,83.65625,1.0,1.0,0.24724751710891724,0.020040176808834076,0.0024324124678969383,-2.8008317947387695,0.0,False
Acrobot-v1,gpomdp_reward_only,657,750,782812,-90.875,-83.5,25.956228663879752,15.878571480396607,91.875,1.0,1.0,0.22076718509197235,0.017356054857373238,0.001935033593326807,-2.9265923500061035,0.0,False
Acrobot-v1,gpomdp_reward_only,657,800,817538,-79.3125,-100.15625,8.607714094664383,76.67026566470716,80.3125,1.0,0.96875,0.1715773493051529,0.011722308583557606,0.001399170607328415,-3.1847329139709473,0.0,False
Acrobot-v1,gpomdp_reward_only,657,850,852685,-86.15625,-80.4375,13.28134606227119,16.464894227886308,87.15625,1.0,1.0,0.17373013496398926,0.01256946288049221,0.0012385454028844833,-3.195164442062378,0.0,False
Acrobot-v1,gpomdp_reward_only,657,900,886906,-89.40625,-86.6875,20.554976440064653,22.03873057054989,90.40625,1.0,1.0,0.16284720599651337,0.011439855210483074,0.0011336039751768112,-3.2608418464660645,0.0,False
Acrobot-v1,gpomdp_reward_only,657,950,921960,-79.0625,-92.0,10.995416933813248,35.429166042282354,80.0625,1.0,1.0,0.1512715369462967,0.010103228501975536,0.0010654882062226534,-3.3272104263305664,0.0,False
Acrobot-v1,gpomdp_reward_only,657,1000,956824,-84.25,-80.46875,27.53179979587241,21.255715550138206,85.25,1.0,1.0,0.15548592805862427,0.010692618787288666,0.0010769565124064684,-3.3076436519622803,0.0,False
