update,true_environment_steps,training_return,training_episode_length,beta
155,331030,-128.125,129.125,0.0
156,332103,-133.125,134.125,0.0
157,333409,-162.25,163.25,0.0
158,334517,-137.5,138.5,0.0
159,335597,-134.0,135.0,0.0
160,336731,-140.75,141.75,0.0
161,337744,-125.625,126.625,0.0
162,338749,-124.625,125.625,0.0
163,339875,-139.75,140.75,0.0
164,340879,-124.5,125.5,0.0
165,341965,-134.75,135.75,0.0
166,343026,-131.625,132.625,0.0
167,344200,-145.75,146.75,0.0
168,345328,-140.0,141.0,0.0
169,346303,-120.875,121.875,0.0
170,347244,-116.625,117.625,0.0
171,348484,-154.0,155.0,0.0
172,349509,-127.125,128.125,0.0
173,350590,-134.125,135.125,0.0
174,351671,-134.125,135.125,0.0
175,352827,-143.5,144.5,0.0
176,353894,-132.375,133.375,0.0
177,355037,-141.875,142.875,0.0
178,356116,-133.875,134.875,0.0
179,357139,-126.875,127.875,0.0
180,358108,-120.125,121.125,0.0
181,359089,-121.625,122.625,0.0
182,360074,-122.125,123.125,0.0
183,361216,-141.75,142.75,0.0
184,362333,-138.625,139.625,0.0
185,363374,-129.125,130.125,0.0
186,364352,-121.25,122.25,0.0
187,365430,-133.75,134.75,0.0
188,366650,-151.5,152.5,0.0
189,367660,-125.25,126.25,0.0
190,368695,-128.375,129.375,0.0
191,369683,-122.5,123.5,0.0
192,370750,-132.375,133.375,0.0
193,371817,-132.375,133.375,0.0
194,372849,-128.0,129.0,0.0
195,373986,-141.125,142.125,0.0
196,375063,-133.625,134.625,0.0
197,376193,-140.25,141.25,0.0
198,377292,-136.375,137.375,0.0
199,378360,-132.5,133.5,0.0
200,379381,-126.625,127.625,0.0
201,380440,-131.375,132.375,0.0
202,381490,-130.25,131.25,0.0
203,382455,-119.625,120.625,0.0
204,383540,-134.625,135.625,0.0
205,384764,-152.0,153.0,0.0
206,385832,-132.5,133.5,0.0
207,386896,-132.0,133.0,0.0
208,387954,-131.25,132.25,0.0
209,388925,-120.375,121.375,0.0
210,390121,-148.5,149.5,0.0
211,391289,-145.0,146.0,0.0
212,392492,-149.375,150.375,0.0
213,393695,-149.375,150.375,0.0
214,394877,-146.75,147.75,0.0
215,396011,-140.75,141.75,0.0
216,397012,-124.125,125.125,0.0
217,398167,-143.375,144.375,0.0
218,399162,-123.375,124.375,0.0
219,400173,-125.375,126.375,0.0
220,401224,-130.375,131.375,0.0
221,402278,-130.75,131.75,0.0
222,403251,-120.625,121.625,0.0
223,404334,-134.375,135.375,0.0
224,405354,-126.5,127.5,0.0
225,406229,-108.375,109.375,0.0
226,407248,-126.375,127.375,0.0
227,408264,-126.0,127.0,0.0
228,409252,-122.5,123.5,0.0
229,410299,-129.875,130.875,0.0
230,411229,-115.25,116.25,0.0
231,412227,-123.75,124.75,0.0
232,413233,-124.75,125.75,0.0
233,414257,-127.0,128.0,0.0
234,415322,-132.125,133.125,0.0
235,416313,-122.875,123.875,0.0
236,417337,-127.0,128.0,0.0
237,418294,-118.625,119.625,0.0
238,419259,-119.625,120.625,0.0
239,420265,-124.75,125.75,0.0
240,421348,-134.375,135.375,0.0
241,422353,-124.625,125.625,0.0
242,423413,-131.5,132.5,0.0
243,424512,-136.375,137.375,0.0
244,425583,-132.875,133.875,0.0
245,426560,-121.125,122.125,0.0
246,427632,-133.0,134.0,0.0
247,428662,-127.75,128.75,0.0
248,429666,-124.5,125.5,0.0
249,430662,-123.5,124.5,0.0
250,431660,-123.75,124.75,0.0
251,432605,-117.125,118.125,0.0
252,433696,-135.375,136.375,0.0
253,434657,-119.125,120.125,0.0
254,435714,-131.125,132.125,0.0
255,436665,-117.875,118.875,0.0
256,437602,-116.125,117.125,0.0
257,438688,-134.75,135.75,0.0
258,439722,-128.25,129.25,0.0
259,440763,-129.125,130.125,0.0
260,441851,-135.0,136.0,0.0
261,442790,-116.375,117.375,0.0
262,443825,-128.375,129.375,0.0
263,444942,-138.625,139.625,0.0
264,446042,-136.5,137.5,0.0
265,447371,-165.125,166.125,0.0
266,448488,-138.625,139.625,0.0
267,449538,-130.25,131.25,0.0
268,450655,-138.625,139.625,0.0
269,451857,-149.25,150.25,0.0
270,453056,-148.875,149.875,0.0
271,454059,-124.375,125.375,0.0
272,455049,-122.75,123.75,0.0
273,456061,-125.5,126.5,0.0
274,457063,-124.25,125.25,0.0
275,458165,-136.75,137.75,0.0
276,459154,-122.625,123.625,0.0
277,460183,-127.625,128.625,0.0
278,461475,-160.5,161.5,0.0
279,462472,-123.625,124.625,0.0
280,463443,-120.375,121.375,0.0
281,464415,-120.5,121.5,0.0
282,465633,-151.25,152.25,0.0
283,466668,-128.375,129.375,0.0
284,467712,-129.5,130.5,0.0
285,468746,-128.25,129.25,0.0
286,469724,-121.25,122.25,0.0
287,470807,-134.375,135.375,0.0
288,471987,-146.5,147.5,0.0
289,472955,-120.0,121.0,0.0
290,473840,-109.625,110.625,0.0
291,475092,-155.5,156.5,0.0
292,476048,-118.5,119.5,0.0
293,476993,-117.125,118.125,0.0
294,477980,-122.375,123.375,0.0
295,478964,-122.0,123.0,0.0
