environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,1058,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.07685387134552,0.2408745139837265,0.21235893666744232,-1.1216332912445068,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,50,198715,-500.0,-487.96875,0.0,30.494298118532512,500.0,0.0,0.15625,1.0859204530715942,0.2632669508457184,0.21221110224723816,-1.1118704080581665,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,100,340721,-448.84375,-176.71875,137.60980586191826,64.13304436117357,448.96875,0.125,0.96875,0.9409883618354797,0.17889058589935303,0.10641452670097351,-1.260420560836792,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,150,394414,-264.21875,-125.46875,202.35623879443958,37.4794432903537,264.8125,0.59375,1.0,0.7053504586219788,0.09678047150373459,0.0349007323384285,-1.5887043476104736,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,200,440165,-109.84375,-108.375,77.36803931898828,30.739015871920714,110.8125,0.96875,1.0,0.604883074760437,0.07290883362293243,0.02031734585762024,-1.7735307216644287,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,250,481471,-94.84375,-99.90625,37.14670946656713,19.89546775265096,95.84375,1.0,1.0,0.5083622336387634,0.05555599555373192,0.01138042937964201,-1.9843846559524536,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,300,520819,-78.21875,-98.875,6.597821610198324,33.62674626716253,79.21875,1.0,1.0,0.44741836190223694,0.04602765664458275,0.008141153492033482,-2.1480448246002197,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,350,558971,-80.65625,-90.125,13.982960540739253,14.764276852177417,81.65625,1.0,1.0,0.41039544343948364,0.041936468333005905,0.005584409460425377,-2.2694554328918457,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,400,597657,-81.125,-107.09375,10.403938460211641,81.49108772762982,82.125,1.0,0.96875,0.34346625208854675,0.03113277070224285,0.004402518272399902,-2.4608395099639893,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,450,634359,-87.75,-101.6875,32.93199248500245,74.5370388551244,88.75,1.0,0.96875,0.3156127333641052,0.02781214751303196,0.002985546365380287,-2.606417179107666,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,500,670870,-92.78125,-98.21875,34.216327337275885,47.60234093931963,93.78125,1.0,1.0,0.3102225065231323,0.028441322967410088,0.002696767682209611,-2.638650417327881,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,550,706662,-90.40625,-84.1875,34.572839773440656,11.16283436084859,91.40625,1.0,1.0,0.28702619671821594,0.02611721120774746,0.0017764521762728691,-2.754178524017334,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,600,743778,-81.34375,-83.25,17.804691978566012,16.360850202689306,82.34375,1.0,1.0,0.2605253756046295,0.024148615077137947,0.0013059695484116673,-2.9194962978363037,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,650,779145,-84.5625,-83.59375,11.264954218654735,22.151763018746603,85.5625,1.0,1.0,0.24051174521446228,0.022152796387672424,0.001012784312479198,-3.0454933643341064,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,700,814111,-81.875,-82.9375,8.979367029922795,19.534811772006968,82.875,1.0,1.0,0.22177846729755402,0.01990807242691517,0.0008712535491213202,-3.1422271728515625,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,750,848940,-83.6875,-80.53125,21.122434946390914,17.723657190138507,84.6875,1.0,1.0,0.21479368209838867,0.018995707854628563,0.0008231448591686785,-3.173157215118408,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,800,884521,-89.5,-89.90625,27.07695127451724,29.68149132741404,90.5,1.0,1.0,0.19906671345233917,0.017351370304822922,0.0007012372370809317,-3.2908496856689453,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,850,919643,-91.34375,-85.09375,33.159058875122966,12.30095557525984,92.34375,1.0,1.0,0.1901286393404007,0.017340777441859245,0.0005359910428524017,-3.3967788219451904,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,900,954498,-84.375,-92.1875,24.940897880725426,38.123261462211346,85.375,1.0,1.0,0.15813399851322174,0.013256384991109371,0.0004080487706232816,-3.590803384780884,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,950,989007,-79.96875,-89.84375,7.257851699388916,34.450627949705535,80.96875,1.0,1.0,0.1604064255952835,0.014092642813920975,0.0003764157881960273,-3.613722562789917,0.0,False
Acrobot-v1,gpomdp_reward_only,1058,1000,1022665,-84.1875,-89.46875,14.90494072663545,19.26719487593087,85.1875,1.0,1.0,0.15938790142536163,0.013600463047623634,0.0003801050188485533,-3.5969011783599854,0.0,False
